round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
26,5720,0.913333,"[0.5,0.7)",543,0.576491,0.590555,0.00595917,0.00351922,211.2938,33.0177,17.6116,10.0658
26,5720,0.913333,"[0.7,1.0)",54,0.740578,0.39478,0.00532964,0.00210403,249.7989,32.7329,15.7511,11.6404
26,5720,0.913333,boundary(r=t),7012,0.0,1.0,0.00837018,0.00837018,142.5561,0.0,0.0,0.0
27,5940,0.91,"[0.0,0.1)",1903,0.050222,1.217999,0.00820446,0.00999302,151.8416,33.1422,33.4736,1.6663
27,5940,0.91,"[0.1,0.3)",2923,0.192166,1.049167,0.00659024,0.00691426,203.3869,33.3052,31.0818,5.9512
27,5940,0.91,"[0.3,0.5)",1602,0.386274,0.818297,0.00526983,0.00431229,299.5307,33.2465,27.2754,10.3405
27,5940,0.91,"[0.5,0.7)",527,0.573066,0.596108,0.00619073,0.00369034,205.6738,32.9891,17.1138,9.7333
27,5940,0.91,"[0.7,1.0)",58,0.750085,0.3855,0.00581802,0.00224285,202.3649,32.3277,14.5135,10.8198
27,5940,0.91,boundary(r=t),7012,0.0,1.0,0.00833674,0.00833674,143.8132,0.0,0.0,0.0
28,6160,0.906667,"[0.0,0.1)",1897,0.050099,1.217348,0.00839761,0.01022281,149.9401,33.2681,33.4352,1.6503
28,6160,0.906667,"[0.1,0.3)",2982,0.190954,1.050427,0.00657609,0.0069077,211.3249,33.4066,32.2287,6.2258
28,6160,0.906667,"[0.3,0.5)",1593,0.385914,0.819385,0.00527277,0.00432043,300.6831,33.2073,27.3994,10.3604
28,6160,0.906667,"[0.5,0.7)",489,0.576036,0.5941,0.00617092,0.00366614,196.5609,33.1992,16.8333,9.6359
28,6160,0.906667,"[0.7,1.0)",52,0.746811,0.391808,0.00640671,0.0025102,172.5978,31.9527,13.3277,9.9531
28,6160,0.906667,boundary(r=t),7012,0.0,1.0,0.00832817,0.00832817,143.9574,0.0,0.0,0.0
29,6380,0.903333,"[0.0,0.1)",1856,0.050355,1.216249,0.0083564,0.01016347,149.3259,33.2631,33.2227,1.6262
29,6380,0.903333,"[0.1,0.3)",2906,0.192283,1.048674,0.00641337,0.00672554,208.3601,33.3283,31.7856,6.1019
29,6380,0.903333,"[0.3,0.5)",1649,0.38379,0.822563,0.00533444,0.00438791,300.024,33.2139,27.1433,10.221
29,6380,0.903333,"[0.5,0.7)",545,0.576371,0.595157,0.00606499,0.00360962,218.4113,33.1846,17.6445,10.0851
29,6380,0.903333,"[0.7,1.0)",57,0.748874,0.39157,0.00567661,0.00222279,224.473,32.8903,15.8273,11.8943
29,6380,0.903333,boundary(r=t),7012,0.0,1.0,0.00837808,0.00837808,142.5583,0.0,0.0,0.0
30,6600,0.9,"[0.0,0.1)",1899,0.048978,1.217065,0.00837585,0.01019395,151.669,33.1962,33.2059,1.6152
30,6600,0.9,"[0.1,0.3)",2935,0.192267,1.048511,0.00653446,0.00685145,204.1156,33.3612,32.1609,6.1503
30,6600,0.9,"[0.3,0.5)",1591,0.38543,0.821277,0.00525506,0.00431586,317.0559,33.1702,28.2104,10.6792
