arm,raw_corr,qrs_e_dev,raw_qrs_energy_ratio,slope_dev,raw_slope_ratio,p2p_dev,raw_p2p_ratio,raw_qrs_rmse,raw_rmse,hf_ratio,hf_gt,f1,precision,recall,beats_ratio,missing,spurious,morph,rr_mae_ms,hf_err,beats_ratio_dev,qrs_deriv_rmse,qrs_curvature_err,qrs_rmse_core,ww_rmse,ww_corr,chance_f1,f1_excess,matched_coverage,n_windows_empty_pred,n_windows_nref0,n_windows_overlapping_stamps,n_events_total
N-R1,0.025433930634371167,0.3443040576166041,1.0070942286043638,0.13889878770553102,1.0284459644762687,0.11495555852454725,1.030351002246017,0.5502556190957062,0.5377190130931389,0.19031684730373566,0.19442246762679946,0.6133889587808792,0.6076903558409906,0.6214418251832803,1.0635024602675969,0.3785581748167198,0.44206063508431676,0.5410204637668812,18.24150955020736,0.029592314148691207,0.07950447854012307,0.3561975273845876,0.2408039520643076,0.5693727761581179,0.5513634654343011,-0.0030502401822236312,0.12679001064727066,0.4865989481336085,0.6598632010943912,0,0,0,21965
N-R1-A,0.14904115327323725,0.35635679923936536,0.9197482248104936,0.14063244558359675,1.0352739484413631,0.1429034553078703,1.073415266678946,0.5205102822262757,0.39558528274896454,0.160469697620007,0.19442246762679946,0.5322333793701102,0.47831049741019294,0.6083979862910527,1.2919454155599175,0.3916020137089473,0.6835474292688648,0.858156693580097,18.1899756305794,0.04473345280065055,0.2955682697565022,0.3431391963975463,0.2193705671783673,0.5676395956988141,0.4495392967886127,0.03669820635266465,0.13747984470801433,0.39475353466209573,0.6436114911080711,0,0,853,21965
N-SHUFFLE,0.009665683053541062,0.7424041841992992,0.2961650058528585,0.14926188555224557,0.9991858447791246,0.136850737660627,0.9786107158246744,0.5869074325009611,0.5425669062229994,0.19031684730373566,0.19442246762679946,0.1316158163738349,0.12888701332304847,0.1377942708875326,1.079121710402228,0.8622057291124674,0.9413274395146954,0.5383341887491727,37.446337963430125,0.030550849190010346,0.1792299639650714,0.3091331976583346,0.19528420495298845,0.596466395935458,0.5482109889977418,0.0018702862055408997,0.1262003126267101,0.005415503747124777,0.1493844049247606,0,0,0,21965
N-CONST,-0.021189773305585174,0.40312524708373704,0.8432441375083775,0.1400938778962233,1.0261555781263638,0.11866813355229322,1.0246624066954335,0.5799665009257117,0.5452906326402905,0.1920538856302775,0.19442246762679946,0.42389995885900844,0.4191519702681906,0.43235439555019634,1.1023905002603733,0.5676456044498037,0.6700361047101769,0.5432122763631635,19.686651362476614,0.030165691413069816,0.11918356098653951,0.34914042653147837,0.23402308520605733,0.5960365868410025,0.555521309863475,-0.04162057407642261,0.12903788258252089,0.2948620762764876,0.45937072503419973,0,0,0,22733
N-GT (GT-R leakage; diagnostic only),0.5415916561839477,0.3341072749142954,1.1828743719924075,0.13864775201630203,1.030747487310546,0.11487456484391355,1.0335333699457765,0.24977508282519295,0.4556553113624616,0.18725581529783386,0.19442246762679946,0.9992925355846636,1.0,0.9986558593858399,0.9986558593858399,0.0013441406141601454,0.0,0.541811443111295,0.0,0.0292144227834484,0.0013441406141601457,0.14601927769102535,0.08777422168152824,0.16468884880754986,0.4892706268447717,0.4680478166721678,0.12512131306239666,0.874171222522267,1.0837756497948017,0,0,0,19834
