dataset,functional,S,n_blocks,I,C,G,G_lo,G_hi,G_over_I,SD,MAD,waveform_pairwise_RMS,rho_bar,rho_lo,rho_hi,K_eff
BIDMC,RR,1,48,3.85546875,2.65625,1.19921875,0.6897460937500001,1.73828125,0.3110435663627153,3.5862419278026025,2.46875,0.2996564879935856,0.29951429030033017,0.0854839769959292,0.4179877888889436,2.9129495850948994
BIDMC,RR,2,48,4.23828125,2.7708333333333335,1.4674479166666667,0.92578125,2.0078125,0.34623655913978496,4.172303783042543,2.7291666666666665,0.42975329046861993,0.24217113738561538,0.0934809926991469,0.3291148482952153,3.4538086097973113
BIDMC,RR,4,48,4.348958333333333,2.9166666666666665,1.4322916666666667,0.921875,1.91796875,0.3293413173652695,4.400065708936213,2.78125,0.6360126103067564,0.23017677365741723,0.08458194115122954,0.30891261838114337,3.593364453336463
BIDMC,RR,8,48,4.3046875,2.8333333333333335,1.4713541666666667,1.0755208333333333,1.83203125,0.3418027828191168,4.298862130004913,2.75,0.73226743462599,0.24371291755874433,0.09228315567748674,0.33512471077025086,3.436652153938087
WESAD,RR,1,107,4.878504672897196,3.7429906542056073,1.1355140186915889,0.9193779205607476,1.3557242990654206,0.2327586206896552,4.14647598632295,2.705607476635514,0.17225482501553782,0.47603285850386634,0.37102277223199487,0.5865754393804526,1.965482955474278
WESAD,RR,2,107,5.221378504672897,3.5514018691588785,1.6699766355140186,1.416398948598131,1.9089077102803733,0.31983443338181006,5.017514392449254,3.2149532710280373,0.31878089597593773,0.3655603570161425,0.2804669069806868,0.45882389998286643,2.467838909233594
WESAD,RR,4,107,5.249415887850467,3.4205607476635516,1.828855140186916,1.5607330607476637,2.0911214953271027,0.3483921219539335,5.14305787497449,3.3878504672897196,0.6298716742092761,0.3749759050656725,0.2892115114846764,0.46500977754936734,2.415226101239914
WESAD,RR,8,107,4.918808411214953,3.4205607476635516,1.498247663551402,1.245911214953271,1.7476635514018692,0.3045956537228358,4.604892885456431,3.0794392523364484,0.8004982913951635,0.41664882388096397,0.3279527417644652,0.5096138475278628,2.206978024764027
