dataset,model,rmse_all,rmse_qrs,rmse_nonqrs,resid_std,resid_lf_frac,resid_hf_frac,pred_std_qrs,pred_std_nonqrs,gt_std_qrs,gt_std_nonqrs,qrs_over_nonqrs_rmse,qrs_amp_ratio,nonqrs_amp_ratio
a5a,R,0.29317817091941833,0.4141489565372467,0.23086953163146973,0.23695819079875946,0.5583456754684448,0.18550504744052887,0.0586567223072052,0.05925244092941284,0.3895804286003113,0.16738361120224,1.7938657977542942,0.15056383226936657,0.3539918902682863
a5a,O1,0.3104534447193146,0.4252869486808777,0.25325897336006165,0.23867160081863403,0.5703981518745422,0.18056441843509674,0.10700611770153046,0.10887618362903595,0.3895804286003113,0.16738361120224,1.6792571771040135,0.27467015754868174,0.6504590434333928
a5a,O50,0.44940030574798584,0.5342423319816589,0.4124484956264496,0.3268076181411743,0.6351314783096313,0.15289974212646484,0.3221539855003357,0.3232107162475586,0.3895804286003113,0.16738361120224,1.2952946553247142,0.826925486626148,1.9309579589428363
a5a,M1,0.45748159289360046,0.5404032468795776,0.4215598404407501,0.3172011375427246,0.6747459769248962,0.13755445182323456,0.31539008021354675,0.31854185461997986,0.3895804286003113,0.16738361120224,1.2819134913671428,0.8095634612515922,1.9030647763663318
a5b,R,0.3220280408859253,0.4597415626049042,0.2599404454231262,0.2635223865509033,0.622854471206665,0.11954735219478607,0.08253806829452515,0.08919812738895416,0.45497915148735046,0.2250576913356781,1.7686418974028664,0.1814106603010356,0.3963344992103085
a5b,O1,0.35507094860076904,0.48408249020576477,0.2995678782463074,0.27187439799308777,0.66805499792099,0.10539143532514572,0.1518450677394867,0.1538207083940506,0.45497915148735046,0.2250576913356781,1.6159359042084873,0.33374071590554705,0.6834723464954766
a5b,O50,0.46032029390335083,0.5677802562713623,0.41810938715934753,0.3496936559677124,0.6409478187561035,0.12423840910196304,0.3272761404514313,0.32331186532974243,0.45497915148735046,0.2250576913356781,1.3579706022122222,0.7193211807212453,1.436573277771326
a5b,M1,0.46170637011528015,0.5556665062904358,0.4255466163158417,0.32274380326271057,0.6972314715385437,0.11356717348098755,0.2785016894340515,0.27976301312446594,0.45497915148735046,0.2250576913356781,1.3057711775530105,0.6121196730083456,1.243072438289584
a5c,R,0.36077362298965454,0.42823073267936707,0.33189624547958374,0.22125039994716644,0.7233214974403381,0.11536598950624466,0.10425034910440445,0.08019662648439407,0.38840705156326294,0.2641892731189728,1.2902548266569929,0.2684048826735175,0.3035574667268152
a5c,O1,0.37510043382644653,0.4398344159126282,0.3476700782775879,0.2230139523744583,0.7277652621269226,0.11362971365451813,0.13685713708400726,0.1014186218380928,0.38840705156326294,0.2641892731189728,1.265091370795085,0.35235492386964623,0.3838862215742605
a5c,O50,0.46130234003067017,0.5472317337989807,0.4245356619358063,0.2994972765445709,0.6934571862220764,0.12823572754859924,0.3421606123447418,0.2475626915693283,0.38840705156326294,0.2641892731189728,1.289012403112856,0.8809330597053061,0.9370656448183762
a5c,M1,0.5105602145195007,0.5846738219261169,0.47975611686706543,0.31254005432128906,0.7545583248138428,0.10390499979257584,0.4216136932373047,0.3740534484386444,0.38840705156326294,0.2641892731189728,1.2186896662083058,1.085494435645263,1.4158540353385065
