batch,median_ms,model,nfe,p10_ms,p90_ms,samples_per_s
64,79.6866226196289,iMF,1,71.02504425048828,80.25569534301758,803.1460977521103
64,310.4283752441406,iMF,4,309.3103942871094,320.51817932128904,206.1667202608857
64,628.7819213867188,iMF,8,620.0932739257812,636.0142700195313,101.7840968755178
64,1252.4839477539062,iMF,16,1240.6587890625,1263.7149536132813,51.098459277479705
64,1961.7211303710938,iMF,25,1951.1828247070312,1971.6350463867188,32.62441282257753
64,3923.35986328125,iMF,50,3906.7380615234374,3933.82451171875,16.31254899632746
64,3922.546142578125,OT-CFM,50,3910.355224609375,3933.387109375,16.31593298681644
