amp_ratio,beats_ratio,f1,hf_gt,hf_ratio,mae,missing,model,morph,nfe,oracle_absent,oracle_corr,oracle_p2p,oracle_qrs_e,oracle_slope,precision,qrs_energy,recall,rmse,rr_mae_ms,same_coord_corr,slope_ratio,spurious,subject,timing_bias_ms,timing_mae_ms,timing_sd_ms
0.9058555459097124,0.9685719604695435,0.40331218305457206,0.17690672569731397,0.2225204427796531,0.3635218641369976,0.59722100206109,iMF,0.6269949416439412,1,0.40285930432414807,0.5666123349533184,0.83513028840258,0.583674871546806,0.9169667749601236,0.4084958274960716,0.6519008487917106,0.40277899793891003,0.4575455091740005,24.938307886024234,0.077121083508828,1.24324175658914,0.5657929625306334,an0,-7.309880010523985,24.512737737104676,19.058262008314745
0.9530291083440363,0.9885105146183026,0.41620786338291116,0.21193820955628495,0.22058046158673017,0.345253925467216,0.5845156227236306,iMF,0.7037007870704879,1,0.3679289880583826,0.6114667128262097,0.7630873600815516,0.4699404507640696,0.8124104266431993,0.42031599653059615,0.5285696233809608,0.41548437727636944,0.44415639264721607,25.55753619696427,0.10993538883458626,1.1347761346633272,0.5730261373419332,k2s,-2.1687784418134095,23.317127575856833,19.69130325473179
0.8158143660801073,0.9579744392976814,0.4124253389896805,0.17690672569731397,0.22555710344032448,0.3506879936488267,0.5884352355543762,iMF,0.6854211390140195,2,0.36520958289757116,0.6140594521381295,0.7904995830113635,0.5912585862105499,0.8487013074516983,0.4175616911029508,0.5960103835343169,0.41156476444562384,0.4408342872077725,23.648591689552298,0.08456495459577101,1.0506036482516572,0.5464096748520577,an0,-8.13241166900302,24.51022015268678,18.61773687085171
0.8712783967788568,0.9808208565929513,0.4279378100422012,0.21193820955628495,0.21882344631980247,0.3320408166072605,0.5723538885159979,iMF,0.7666137908495424,2,0.3378349697990811,0.6656864702582694,0.7317021349946219,0.5059189611428482,0.7668511429900995,0.43151160769568975,0.5090756411288068,0.4276461114840021,0.4273357465804776,23.884476648630585,0.11971724074099283,0.9674531922101363,0.5531747451089493,k2s,-2.5981559332089996,23.421543384275385,19.16688696552272
0.820361081914255,0.9332322720140103,0.4254927817150216,0.17690672569731397,0.23305752892005796,0.33366400929012213,0.5785813507645783,iMF,0.7256522334259616,4,0.34565105169353216,0.6375013058016077,0.8131682483031504,0.6159405022246385,0.8216228943081904,0.4346627053231057,0.6096147015001865,0.42141864923542166,0.42543183277781804,22.963989589372524,0.08661927703288314,0.9977510374749591,0.5118136227785886,an0,-8.235069840329613,24.448789129537584,18.44559181788759
0.8791854104891725,0.9573652459058953,0.4360330172550959,0.21193820955628495,0.22394439707129282,0.3091882610311012,0.566880255838996,iMF,0.8137609388503695,4,0.3252042242154547,0.6897317743976261,0.758730849072508,0.5338059365561715,0.7456227185149016,0.4430385085292312,0.5270745666047371,0.43311974416100396,0.4072734027597958,22.897319738439002,0.11712207622934726,0.9207099708309494,0.5242455017448914,k2s,-2.444585091317928,23.588606068113382,19.040178830545763
0.8348287568193606,0.900271810370077,0.4216749493955523,0.17690672569731397,0.2408123055526085,0.33573567335190985,0.5859864043427276,iMF,0.7317489100777604,8,0.3526861349371115,0.6334593211501518,0.8271076652131735,0.6335688708638967,0.8404143356069675,0.43693065763988614,0.6260941862073953,0.4140135956572724,0.4280809984540162,22.68445623978915,0.08540917498002457,1.0177580953214065,0.48625821471280456,an0,-8.18979660771649,24.462074346580962,18.362589571996867
0.8962800400380971,0.9265641656114069,0.4320108967083975,0.21193820955628495,0.2315840121448446,0.308376220932033,0.5737666799617483,iMF,0.8223700389949405,8,0.3348336044380966,0.6839677732836834,0.7734397084918531,0.551943791443047,0.7630237785602606,0.4431021188284372,0.543743281519336,0.42623332003825165,0.40771885068021263,22.51138833381868,0.11505325111598015,0.9417605660414691,0.5003308455731551,k2s,-2.2709524361744666,23.564291943947698,19.05095747962743
0.8488428549370554,0.8818025185670451,0.41872569301628376,0.17690672569731397,0.24630708662890863,0.3415128048330472,0.5903860791037304,iMF,0.7297084429582573,16,0.36125677707708953,0.6256538970551033,0.8337983155198213,0.6401902930044143,0.8553694781330179,0.4362115965631591,0.6373075315077443,0.4096139208962695,0.4339770005212404,22.630467271765657,0.08462805283579929,1.0321204723808104,0.47218859767077537,an0,-8.049131687568657,24.590309305534635,18.31004256853079
0.9112249356038907,0.9088940038097754,0.42918012744978296,0.21193820955628495,0.23753390683087353,0.3130800073154199,0.578220134628826,iMF,0.8179428405931136,16,0.34251879373339333,0.6758164659876492,0.78299775256754,0.5588983587846388,0.7773812025263375,0.443160064626129,0.5535592831776283,0.42177986537117396,0.4127429741824312,22.272713639186577,0.11464837532432913,0.9573457886941934,0.4871141384386013,k2s,-2.255252705294058,23.611720419522694,18.936342546289463
