amp_ratio,amp_ratio__an0,amp_ratio__k2s,beats_ratio,beats_ratio__an0,beats_ratio__k2s,f1,f1__an0,f1__k2s,hf_gt,hf_gt__an0,hf_gt__k2s,hf_ratio,hf_ratio__an0,hf_ratio__k2s,mae,mae__an0,mae__k2s,missing,missing__an0,missing__k2s,model,morph,morph__an0,morph__k2s,nfe,oracle_absent,oracle_absent__an0,oracle_absent__k2s,oracle_corr,oracle_corr__an0,oracle_corr__k2s,oracle_p2p,oracle_p2p__an0,oracle_p2p__k2s,oracle_qrs_e,oracle_qrs_e__an0,oracle_qrs_e__k2s,oracle_slope,oracle_slope__an0,oracle_slope__k2s,precision,precision__an0,precision__k2s,qrs_energy,qrs_energy__an0,qrs_energy__k2s,recall,recall__an0,recall__k2s,rmse,rmse__an0,rmse__k2s,rr_mae_ms,rr_mae_ms__an0,rr_mae_ms__k2s,same_coord_corr,same_coord_corr__an0,same_coord_corr__k2s,seed,slope_ratio,slope_ratio__an0,slope_ratio__k2s,spurious,spurious__an0,spurious__k2s,timing_bias_ms,timing_bias_ms__an0,timing_bias_ms__k2s,timing_mae_ms,timing_mae_ms__an0,timing_mae_ms__k2s,timing_sd_ms,timing_sd_ms__an0,timing_sd_ms__k2s
0.9282788813309983,0.9102385651476723,0.9463191975143244,0.9809943643866983,0.9669593427405927,0.995029386032804,0.41436739378181514,0.40799840148289324,0.42073638608073705,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.22295112845186227,0.22377855729043064,0.22212369961329387,0.34720903199072684,0.35585287113424136,0.33856519284721226,0.5862611340211437,0.5932259851693444,0.579296282872943,iMF,0.6678340304800356,0.632655915284416,0.7032395903859718,1,0.3784624162187639,0.39398366932546625,0.3629411631120616,0.5922468079585881,0.5707177327924303,0.6137758831247457,0.8014861679966541,0.8421519010941463,0.7608204348991618,0.5372985670321002,0.6079830234418344,0.4666141106223659,0.8709485293678485,0.9267272963194402,0.8151697624162568,0.4187856712514916,0.413634762047848,0.42393658045513516,0.5909841355411928,0.6623645123632627,0.5196037587191229,0.41373886597885623,0.40677401483065545,0.420703717127057,0.4448517486681454,0.4508933064955309,0.43881019084075995,25.368652862075855,24.826442508672756,25.911717090051244,0.09594739417018544,0.07919287325229687,0.11270191508807402,0,1.192930612566764,1.2483003354748505,1.1375608896586775,0.5672554984078422,0.5601853279099374,0.574325668905747,-4.553749784626651,-7.175309772258067,-1.9321897969952346,23.689771359555806,24.396916762238586,22.982625956873026,19.30040401171841,18.879063757243742,19.725525524887086
0.8418093996715064,0.8181152239993036,0.8655035753437093,0.9709177134714244,0.9563547644846473,0.9854806624582015,0.4273179660580381,0.4215958397922739,0.43304009232380236,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.22413714856322867,0.22808887862068145,0.2201854185057759,0.3341974544165027,0.3433576778421598,0.3250372309908457,0.5729508826676796,0.5793893552194334,0.5665124101159258,iMF,0.727303227522618,0.6880495015491328,0.7663023347330319,2,0.34535954496891996,0.3593878777472527,0.33133121219058714,0.643800522372793,0.6182636144463823,0.6693374302992035,0.763356745875146,0.7962241736729734,0.7304893180773188,0.5548166021426348,0.6054499390653959,0.5041832652198739,0.810493972810751,0.8520821171164381,0.768905828505064,0.43114512305186126,0.4263988209056568,0.4358914251980658,0.5550238418781548,0.6068282289499727,0.5032194548063369,0.4270491173323204,0.42061064478056664,0.43348758988407426,0.42838180258967273,0.43459517025283956,0.42216843492650596,23.813691038532454,23.333841860109274,24.30966314935065,0.10362288987951657,0.08651131755324866,0.12073446220578446,0,1.0125029632708997,1.0544566016820118,0.9705493248597876,0.543868596139104,0.5357441197040806,0.5519930725741273,-5.472726718175747,-8.421337685202122,-2.549452902316087,23.7871179821018,24.342553353336807,23.236455417493953,18.86536571289218,18.5893081448666,19.14682910796787
0.8467660068912397,0.8215457254290819,0.8719862883533975,0.9492316284247437,0.936106092258436,0.9623571645910514,0.4367299150733669,0.4339944036542151,0.4394654264925187,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.2305282923033032,0.2352981188719937,0.22575846573461272,0.31517688264342436,0.32760008631609017,0.3027536789707586,0.5661580180073833,0.5694617502722972,0.5628542857424693,iMF,0.7740884385631834,0.7273188805421497,0.8212193507852626,4,0.3298259330730034,0.34111454951298703,0.31853731663301976,0.6677086002734389,0.6409291232736792,0.6944880772731987,0.787098932142833,0.8183901329923217,0.7558077312933444,0.5815991781609469,0.6302882063973629,0.5329101499245307,0.7865128359063072,0.8259931321803886,0.7470325396322256,0.4434863232470655,0.44158526748858784,0.4453873790055431,0.5699425433958801,0.6194507102175674,0.5204343765741929,0.43384198199261675,0.4305382497277028,0.4371457142575307,0.41129559579526465,0.42031798678785204,0.4022732048026773,23.082153505052705,22.99937293972661,23.168019060390954,0.10404221327971297,0.08870954602812656,0.11937488053129938,0,0.962602386639862,1.0027557322119631,0.9224490410677608,0.5153896464321268,0.5055678425307331,0.5252114503335206,-5.343531490779205,-8.329258988598244,-2.3447373518318537,23.697470067024344,24.263610773644473,23.1288517205503,18.698325166805134,18.58882283567306,18.810445083541964
0.8623437756922441,0.8357321216605473,0.8889554297239408,0.9160645547486368,0.9017057540983322,0.9304233553989414,0.43412757915741207,0.43129899678709666,0.4369561615277275,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.2384426881640067,0.24311484874066416,0.23377052758734926,0.31604884837481295,0.3298499539761601,0.30224774277346583,0.5721674484369798,0.5760689221260511,0.5682659747479084,iMF,0.7794240500672039,0.7346022553944725,0.8244461656099811,8,0.33663865431443557,0.3451328294101732,0.32814447921869794,0.6630583933269054,0.6375510122153909,0.6885657744384198,0.8006770833385364,0.8319520884866217,0.7694020781904511,0.5998211794022301,0.649256701540627,0.5503856572638332,0.8037934869193716,0.8446657329968825,0.7629212408418606,0.4458972559558497,0.44511081366550115,0.4466836982461983,0.5867714558041253,0.6373053586043993,0.5362375530038513,0.4278325515630203,0.42393107787394896,0.43173402525209165,0.41292449595573155,0.42302419970377986,0.4028247922076833,22.65781070119579,22.79119404238679,22.517124568377586,0.10206744118780053,0.08701207900278606,0.117122803372815,0,0.9836730479442193,1.0234191774347197,0.9439269184537189,0.48823200318561644,0.4777746762243833,0.49868933014684963,-5.464885618803529,-8.616297521078357,-2.3169559396251387,23.817212064776328,24.371381771651404,23.263654700118792,18.739878143346,18.563359037177218,18.924177705985034
0.8763794829561492,0.8495189237035782,0.9032400422087202,0.898909854116153,0.8863175439469385,0.9115021642853675,0.4301690040099259,0.42769109766118296,0.43264691035866887,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.24432860587260857,0.2486107427313617,0.24004646901385546,0.3212397819672299,0.3354433776017325,0.3070361863327273,0.5775829950756708,0.5808507532506556,0.5743152369006861,iMF,0.7788543547955945,0.7341025994260727,0.8239620900373739,16,0.3454260921912289,0.3531391189106033,0.33771306547185453,0.6550679741690959,0.6304465038960775,0.6796894444421143,0.8093260294527495,0.8406033307899268,0.7780487281155721,0.6058346975664803,0.6549944465520691,0.5566749485808915,0.8201184975666329,0.8620002280000202,0.7782367671332456,0.4440975867123328,0.44285889891358643,0.44533627451107916,0.5966554082150187,0.6487562149090054,0.5445546015210321,0.4224170049243291,0.4191492467493444,0.42568476309931386,0.41822335921130455,0.42868973903988905,0.40775697938272004,22.396066066822332,22.479016593256212,22.3089206524285,0.10126935671159806,0.08590110898416356,0.11663760443903257,0,0.998799906420963,1.0386477877518088,0.9589520250901171,0.4764928491918238,0.46716829719759406,0.48581740118605354,-5.756166829388752,-8.951433970045587,-2.557313530324894,24.012420754546913,24.607176235145335,23.416997759379914,18.626648127084906,18.52330433398611,18.734933817462682
0.8836867194787121,0.8568994504495259,0.9104739885078983,0.8918137120041418,0.880700476281531,0.9029269477267525,0.42839083232484776,0.4247841312150963,0.43199753343459923,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.24636141715076976,0.25044322370778693,0.24227961059375258,0.3244833575724242,0.3387548241411129,0.3102118910037355,0.5799729519883329,0.5837766779661311,0.5761692260105347,iMF,0.7783020665336814,0.7362226067571224,0.8202858911743847,25,0.34999644723765816,0.3578139471205877,0.3421789473547286,0.6512550424730914,0.6266726810090532,0.6758374039371295,0.8141793824469714,0.8456463352589736,0.7827124296349692,0.6097657784768986,0.660259208018817,0.5592723489349801,0.8274126794531114,0.870225717253226,0.7845996416529968,0.44330323403809735,0.4400296643460706,0.4465768037301241,0.601470024588448,0.6544568704374829,0.5484831787394131,0.4200270480116671,0.4162233220338689,0.42383077398946534,0.4214915667134228,0.4320240457687551,0.4109590876580905,22.193642310516307,22.348778188223342,22.031373748776765,0.10089297170647354,0.08536738045252276,0.11641856296042433,0,1.005351174486666,1.045299739771968,0.9654026092013643,0.4717866639924745,0.464477154247662,0.47909617373728697,-5.712760748388215,-9.013951205653852,-2.4412106094818635,24.044172320930354,24.693368896148836,23.400804671190823,18.58453775669598,18.541512922062843,18.629388256165036
0.8916722658243699,0.864775447321631,0.9185690843271088,0.8862606489376509,0.874350036898865,0.8981712609764367,0.4261490118669132,0.4218425155078803,0.430455508225946,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.2480270703081075,0.25196421723550166,0.24408992338071334,0.3282016920910894,0.3424965704366324,0.3139068137455464,0.5826376727927021,0.5871839721693237,0.5780913734160804,iMF,0.7775620681118102,0.7355905038599567,0.8194375875942086,50,0.3537034254807692,0.3621540568806194,0.345252794080919,0.6475240152366644,0.6227498288925157,0.672298201580813,0.818667060982338,0.8494591736912169,0.787874948273459,0.6149977075692404,0.6662836185420531,0.5637117965964278,0.8340054501379831,0.8764556784436448,0.7915552218323214,0.44200009246395966,0.43787362810800307,0.4461265568199162,0.6071039463177366,0.6609266850259186,0.5532812076095545,0.41736232720729793,0.4128160278306763,0.4219086265839196,0.4252566095001027,0.4357922620809042,0.41472095691930116,22.042559841217304,22.203039046652854,21.875184008771306,0.10038218512134636,0.08471170258312301,0.11605266765956973,0,1.0120629681805877,1.0523091257973811,0.9718168105637942,0.46889832173035295,0.4615340090681887,0.47626263439251715,-5.784604586791377,-9.100863661867082,-2.498322994880198,24.09628144588417,24.805087598167702,23.39388258085292,18.61101410142543,18.516693270792448,18.708698727730056
0.8621233057099611,0.8323752035319751,0.8918714078879469,1.0038246970314841,0.9911769518458972,1.0164724422170712,0.4827641382020122,0.48731038015564343,0.47821789624838096,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.26871523727206936,0.27533453353126863,0.26209594101287015,0.2568256753785194,0.28226292747252535,0.23138842328451348,0.5153572196846122,0.5113519184808247,0.5193625208883997,OT-CFM,0.8160716367567739,0.7629099966365392,0.8706794585995393,50,0.25050038801259505,0.25949443080790735,0.24150634521728273,0.7159692912844482,0.6859251262690066,0.7460134562998897,0.8873584303026951,0.9213368582168685,0.8533800023885219,0.7065832602251654,0.7685708849644761,0.6445956354858546,0.9179117198051494,0.9652352286740112,0.8705882109362875,0.4829294593210609,0.48823725103021975,0.47762166761190206,0.6297825717973825,0.6797809186989556,0.5797842248958094,0.48464278031538777,0.48864808151917527,0.48063747911160026,0.3643773577742263,0.3812720365472575,0.3474826790011951,21.273623255134236,20.715791616448577,21.851993613948235,0.12390083606076935,0.10692599673018244,0.14087567539135626,0,1.022872805827854,1.0635177846703256,0.9822278269853822,0.5191819167160965,0.5025288703267219,0.535834963105471,-3.02757386627483,-7.42090073669021,1.4602331518914182,23.40838466950086,24.098371520657704,22.70355939143742,18.430776614802333,17.870499716082637,19.01910331974805
0.9302109660275419,0.9019221050129984,0.9584998270420854,0.9773181632007315,0.9670703564014111,0.987565970000052,0.4067958156768769,0.40026831528087203,0.41332331607288175,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.22144139884322575,0.2237371172161921,0.2191456804702594,0.3583511833713373,0.3683583243771653,0.3483440423655093,0.5939750855156128,0.5999549834388701,0.5879951875923556,iMF,0.6675282922660467,0.6268032272997905,0.7078087604531954,1,0.3880259375498633,0.40831529310533216,0.36773658199439446,0.5879891981435352,0.5649198818275419,0.6110585144595286,0.7987986913373013,0.8321163660616299,0.7654810166129727,0.5198848147948485,0.5651383354985025,0.47463129409119464,0.8623651238071026,0.9155012757186757,0.8092289718955294,0.41174585234643823,0.4052355982775904,0.4182561064152861,0.5910333111523234,0.6487565123789536,0.533310109925693,0.40602491448438716,0.4000450165611299,0.4120048124076444,0.4546957016597004,0.46232208158824534,0.44706932173115554,25.130357860587964,24.949328814460394,25.314320926912092,0.09384128544934309,0.07876167179276171,0.10892089910592448,1,1.184670973142452,1.2371001097835663,1.132241836501338,0.5712932487163445,0.5670253398402813,0.5755611575924076,-4.462579056439571,-7.475850336259595,-1.4819189376565596,23.897957206920754,24.60825906424751,23.195342599132168,19.36535631090483,19.27376625643282,19.457183032184258
0.8454200174883829,0.8143124078137247,0.8765276271630411,0.9686619471836757,0.956726243591478,0.9805976507758734,0.4155325419427119,0.4098480901654007,0.4212169937200231,0.19442246762679946,0.17690672569731397,0.21193820955628495,0.22140484100232094,0.22565903484059524,0.21715064716404664,0.34546069951397307,0.35566265694290394,0.33525874208504225,0.5846020841138029,0.5904675822766643,0.5787365859509415,iMF,0.7314615366206603,0.6873616381752482,0.7748723741528627,2,0.35015307636157245,0.3656929794380966,0.33461317328504825,0.6388498443855373,0.6120571485003095,0.665642540270765,0.7583741750053032,0.7854327987097868,0.7313155513008198,0.5453069448541875,0.5796647075888262,0.5109491821195489,0.8081053853133966,0.8496591057740958,0.7665516648526975,0.41924832979520477,0.41451341627122873,0.4239832433191808,0.5527867260142486,0.5947776463480348,0.5107958056804625,0.4153979158861971,0.4095324177233357,0.42126341404905854,0.4380998975706803,0.4458889535813082,0.4303108415600524,23.82245414789145,23.880675581043224,23.76319641091334,0.10254285355101281,0.08617127141084518,0.11891443569118043,1,1.0090477910319824,1.051983851216824,0.966111730847141,0.5532640312974786,0.5471938258681424,0.5593342367268148,-5.288578350569407,-8.559472382330528,-2.0754484518195193,23.97982303120892,24.544754071615024,23.424868697918157,18.963044771771933,18.797073761441776,19.132589855002873
