beat_count_max,beat_count_mean,beat_count_min,beat_count_sd,cond_timing_sd_ms,frac_unstable_beats,gt_detection_prob,nfe,seed_pair_f1,subject,window
11,9.125,6,0.9069623173877128,54.06313061114804,0.0,0.90625,1,0.4210526315789474,an0,72
10,8.0625,3,1.2684127749837335,38.03389720281078,0.0,0.90625,1,0.625,an0,214
13,9.5625,5,1.522678031330581,69.79503623433669,1.0,0.625,1,0.19999999999999998,an0,248
13,9.53125,4,1.883448707095063,76.64493074529207,0.7692307692307693,0.40625,1,0.1818181818181818,an0,329
13,8.65625,5,1.894122913884742,79.0815147512111,0.6428571428571429,0.34375,1,0.13333333333333333,an0,340
10,8.90625,6,0.777065405973841,18.45317218700831,0.0,0.96875,1,0.8888888888888888,an0,389
11,9.65625,7,0.9370294518041506,44.9305393152772,0.2,0.90625,1,0.5,an0,401
10,9.0,7,0.508000508000762,47.3220866278369,0.2222222222222222,0.90625,1,0.4444444444444444,an0,446
10,8.21875,7,0.6082431071696208,24.219235089034267,0.0,1.0,1,0.823529411764706,an0,525
12,9.9375,7,1.2164862143392416,64.73528306816098,0.8,0.75,1,0.2222222222222222,an0,692
10,8.5625,5,1.2164862143392416,54.65325383646048,0.625,0.75,1,0.3,an0,1028
12,9.71875,6,1.2243332616097102,88.85954673669119,1.0,0.453125,1,0.10526315789473685,an0,1145
11,9.34375,8,0.6530017536902797,49.56432962271107,0.3,0.875,1,0.4210526315789474,an0,1186
11,9.40625,4,1.3879521930969312,47.678592328780866,0.1,0.890625,1,0.4000000000000001,an0,1402
10,8.90625,5,0.9283830897266078,25.234275921005377,0.0,0.96875,1,0.823529411764706,an0,1656
13,9.59375,7,1.4336818156017384,75.32034463101944,0.75,0.34375,1,0.19999999999999998,an0,1755
12,9.90625,6,1.1175830776653122,82.43156434713455,1.0,0.40625,1,0.10526315789473685,an0,1875
11,9.21875,6,1.2110878873837942,43.5061128156063,0.4444444444444444,0.90625,1,0.4210526315789474,an0,1964
10,8.875,7,0.6090712125322324,40.29067550205764,0.2222222222222222,0.96875,1,0.5555555555555556,an0,1967
13,9.71875,5,1.8532338779688906,nan,0.9090909090909091,0.375,1,0.11111111111111112,an0,1985
12,9.96875,4,1.4915758066879383,75.0812798470931,0.7857142857142857,0.375,1,0.15384615384615383,an0,2011
11,8.65625,3,1.9610625000321276,68.67981399852775,0.8,0.640625,1,0.2105263157894737,an0,2160
13,9.84375,6,1.6482517620095973,81.14874142287277,1.0,0.359375,1,0.10526315789473685,an0,2214
13,10.0,7,1.6655910507645917,64.01667739165696,0.9230769230769231,0.34375,1,0.17391304347826086,an0,2219
13,9.75,8,1.1071614388213236,70.1180165115052,0.5454545454545454,0.59375,1,0.2105263157894737,an0,2434
12,9.875,7,1.0998533626601497,51.93840633894794,0.7,0.703125,1,0.28571428571428564,an0,2536
11,9.4375,6,1.2164862143392416,61.85642584765335,0.7,0.609375,1,0.2105263157894737,an0,2546
12,9.625,4,1.6214290789499601,44.234616294103006,0.4,0.8125,1,0.39999999999999997,an0,2562
12,10.0,7,1.2181424250644648,49.93860210744426,0.4,0.828125,1,0.380952380952381,an0,2635
12,8.9375,5,1.9827888472813302,nan,0.21428571428571427,0.15625,1,0.1904761904761905,an0,2901
12,10.59375,6,1.738730998133687,35.263175107374956,0.36363636363636365,0.78125,1,0.45454545454545453,an0,2937
12,9.3125,5,1.4013242584852925,64.950059422829,0.3,0.796875,1,0.3,an0,3012
13,9.78125,6,1.8619167196649107,80.41397897600676,1.0,0.59375,1,0.125,an0,3017
12,9.96875,5,1.959005261070839,77.7763215186013,0.8,0.34375,1,0.13333333333333333,an0,3093
11,9.75,8,0.8032193289024988,29.78050014313914,0.2727272727272727,0.78125,1,0.5358851674641147,an0,3134
12,8.90625,5,1.784509962553197,nan,0.8,0.34375,1,0.11111111111111112,an0,3195
11,9.71875,8,0.8884337432408971,65.62215386580749,0.5,0.765625,1,0.28571428571428564,an0,3207
12,9.59375,5,1.7012210984485383,75.20976728067359,1.0,0.53125,1,0.13333333333333333,an0,3213
12,9.46875,4,1.4587748947484622,53.0756865627754,0.4,0.796875,1,0.33333333333333326,an0,3215
12,9.4375,5,1.3663584756098845,70.74885083410442,0.9,0.59375,1,0.19999999999999998,an0,3236
12,8.875,4,1.699145895499721,87.30002397731081,0.9,0.328125,1,0.1111111111111111,an0,3407
12,9.625,4,1.791557260975724,74.75998931204829,1.0,0.328125,1,0.10526315789473685,an0,3446
11,9.46875,7,1.015504800579495,60.161333526844885,0.4,0.859375,1,0.3,an0,3556
12,9.28125,3,1.8532338779688906,60.786700530008176,0.8,0.65625,1,0.2105263157894737,an0,3572
12,9.71875,7,1.4861592629454992,90.44559888964716,0.9,0.4375,1,0.1111111111111111,an0,3721
12,9.21875,7,1.184152752788036,82.92543400047218,0.6,0.265625,1,0.11764705882352941,an0,3845
13,10.25,9,1.1639753904947558,78.92743686609691,0.7,0.390625,1,0.1904761904761905,an0,3989
12,9.75,6,1.6263951827039393,53.79121829455145,0.9,0.375,1,0.11764705882352942,an0,4062
11,9.71875,7,0.8513509188911317,31.08668998170725,0.0,0.890625,1,0.631578947368421,an0,4248
13,9.65625,2,2.041652951457115,72.74207147637198,0.9090909090909091,0.375,1,0.10526315789473685,an0,4296
13,9.96875,7,1.307160799151623,79.52005256826952,0.9,0.5,1,0.11111111111111112,an0,4354
11,9.5625,5,1.189673308368798,37.35473238911693,0.3,0.921875,1,0.5555555555555556,an0,4415
12,8.84375,5,1.370410228197523,33.72499386758086,0.2222222222222222,0.875,1,0.5555555555555556,an0,4430
10,8.84375,3,1.1390254748064526,28.349294242821585,0.0,0.96875,1,0.7368421052631577,an0,4537
11,9.03125,7,0.594836654184399,21.860129478025648,0.0,0.96875,1,0.8888888888888888,an0,4543
10,9.09375,8,0.5303300858899106,37.66691008632629,0.0,0.9375,1,0.631578947368421,an0,4548
12,9.875,7,1.1845783243211963,72.8194121977105,0.9,0.53125,1,0.1904761904761905,an0,4742
13,9.8125,6,1.533233984626255,94.88649204666825,1.0,0.375,1,0.10526315789473685,an0,4756
10,8.53125,5,1.0771639884736754,32.425481125646535,0.1111111111111111,0.875,1,0.5555555555555556,an0,4814
10,8.78125,5,1.0075321174741456,39.47233733171512,0.1111111111111111,0.875,1,0.47058823529411764,an0,4819
10,8.4375,7,0.8007053342260588,28.19713334328911,0.0,0.96875,1,0.7058823529411765,an0,4899
10,8.3125,7,0.6927039119836262,21.437503763290565,0.0,0.96875,1,0.823529411764706,an0,4923
11,8.125,4,1.0701220913160239,43.06781927029466,0.0,0.921875,1,0.5,an0,4984
11,8.25,7,0.762000762001143,22.435706882900455,0.0,0.953125,1,0.7777777777777777,an0,5001
13,10.0625,6,1.3663584756098845,71.50178197616232,0.875,0.375,1,0.17391304347826086,an0,5043
12,9.5625,7,1.2164862143392416,72.12831309454678,1.0,0.515625,1,0.11764705882352941,an0,5047
12,9.0,5,1.545023227719748,82.04387946576642,0.7692307692307693,0.3125,1,0.2222222222222222,an0,5108
12,9.40625,5,1.6036123536083031,74.29580703753997,0.9,0.34375,1,0.1111111111111111,an0,5192
12,8.96875,5,1.5551034609290626,71.37749863371067,0.8,0.34375,1,0.12916666666666668,an0,5212
12,9.125,4,1.6800537625806178,81.34485839377419,0.8888888888888888,0.40625,1,0.1111111111111111,an0,5233
12,9.34375,4,1.5782672205158537,72.0541669753778,1.0,0.34375,1,0.10526315789473685,an0,5429
14,10.21875,5,1.4308665319512035,79.63017207505122,0.7777777777777778,0.53125,1,0.18181818181818182,an0,5603
11,8.6875,7,0.9651174088696285,41.39264026090632,0.1111111111111111,0.9375,1,0.5555555555555556,an0,5701
11,9.0625,3,1.522678031330581,80.81302041981209,0.9,0.40625,1,0.1904761904761905,an0,5728
14,10.0625,5,1.79493013611906,78.29841863735889,0.9230769230769231,0.5625,1,0.125,an0,5872
10,8.3125,7,0.6444552588389371,25.81126865945663,0.0,0.96875,1,0.7777777777777778,an0,6136
11,8.4375,6,0.981687158630159,24.989416847138312,0.0,0.9375,1,0.75,an0,6138
11,9.59375,6,1.073414058942533,55.227369949084625,0.9,0.71875,1,0.28571428571428564,an0,6273
13,9.5,6,1.4142135623730951,62.14400128510669,0.7777777777777778,0.6875,1,0.2222222222222222,an0,6413
13,10.03125,6,1.8401327967506638,78.2729713267525,1.0,0.53125,1,0.15384615384615383,an0,6432
12,10.03125,6,1.575710285308123,73.38853692409913,1.0,0.53125,1,0.11764705882352941,an0,6433
11,8.1875,5,1.0906494070196242,31.17457798101561,0.125,0.890625,1,0.6666666666666666,an0,6575
11,8.4375,6,1.4577379737113252,50.04406153199454,0.375,0.828125,1,0.36931818181818177,an0,6640
12,8.0,7,1.4142135623730951,25.06096083178975,0.0,0.9375,1,0.75,an0,6647
11,9.53125,5,1.190943648622196,46.21831993736709,0.2,0.875,1,0.4444444444444445,an0,6773
11,7.9375,6,1.1053389496206072,32.972201036194484,0.0,0.90625,1,0.6250000000000001,an0,6853
10,8.34375,6,0.8273305303514508,32.93308934079859,0.0,0.953125,1,0.7058823529411765,an0,7058
10,9.71875,7,0.7288689868556626,23.520189805201156,0.0,0.96875,1,0.8000000000000002,an0,7217
10,8.75,5,1.0472698761772856,35.28826503822884,0.0,0.875,1,0.631578947368421,an0,7262
14,10.125,5,2.1812988140392484,60.74689742591798,1.0,0.5625,1,0.19999999999999998,an0,7544
13,10.15625,5,1.4392958627902608,82.79355390215487,1.0,0.40625,1,0.10526315789473685,an0,7561
