epoch,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.9999593194235455,0.30071288899264553,0.7569295772393657,0.5605414712060751,0.2335236604291712,0.2335236604291712,25.338423785653596,0.5253862766051486,1.0833507776260376,1.0283370618941088,0.001,144.16519085504115,144.16519085504115,16903.87841796875,1,0,0,best
1,0.9999464904720133,0.2116900688883933,0.8056605745445599,0.5255444587631659,0.22650633669342224,0.22650633669342224,24.834912325769622,0.48395402905528834,1.0790603160858154,1.0178970917225951,0.001,144.29797124001198,288.4631620950531,16903.87841796875,1,1,0,best
2,0.9999428285793824,0.19934599501165476,0.8146269101988185,0.5279244888912548,0.19147419762508622,0.19147419762508622,22.0111848844955,0.569880538950834,0.8344712257385254,0.9023117076808352,0.001,144.3795709980186,432.84273309307173,16903.87841796875,1,2,0,best
3,0.9999393228780139,0.18874533112076194,0.8201883614063263,0.5159305723553355,0.1963770491170683,0.1963770491170683,19.815376523421108,0.5802838207081628,0.6446911692619324,0.8970917225950783,0.001,144.28629419999197,577.1290272930637,16903.87841796875,0,2,1,
4,0.9999381497502327,0.18624797236513008,0.822152455151081,0.5273494578897953,0.18841354793331244,0.18841354793331244,19.164804490833266,0.5657399832143408,0.9025816917419434,0.9440715883668904,0.001,144.34756228304468,721.4765895761084,16903.87841796875,1,4,0,best
5,0.9999359930103475,0.18236839862709694,0.8229130070317875,0.5099061720073224,0.19667754639483573,0.19667754639483573,18.31495563368806,0.605833694657613,0.9693871736526489,0.9507829977628636,0.001,144.09110814193264,865.567697718041,16903.87841796875,0,4,1,
6,0.999935008449988,0.18097296346994965,0.8247714747082103,0.5033241855827245,0.19065671949379745,0.19065671949379745,18.44746042178876,0.5576388229197018,0.7718325853347778,1.0022371364653244,0.001,144.1133250151761,1009.6810227332171,16903.87841796875,0,4,2,
7,0.9999349718744105,0.180525652454658,0.8252620813521472,0.505132659863342,0.1846614068672127,0.1846614068672127,16.501009173233296,0.5884364701157478,0.8174402713775635,0.9351230425055929,0.001,144.18036838504486,1153.861391118262,16903.87841796875,1,7,0,best
8,0.9999337642030283,0.1787016057155349,0.8268852185119282,0.507440752603791,0.18839337869450964,0.18839337869450964,18.517649983801963,0.5348670577578859,0.8801485896110535,0.941834451901566,0.001,144.1415685939137,1298.0029597121757,16903.87841796875,0,7,1,
9,0.9999330024827611,0.17689795202829622,0.8269277699969032,0.5036468169905922,0.19361991676066326,0.19361991676066326,18.290306467583545,0.5595331705985425,0.8848690986633301,0.9321401938851603,0.001,144.2437860891223,1442.246745801298,16903.87841796875,0,7,2,
10,0.9999321649020368,0.17880175238983198,0.8287903904914856,0.49766747748309914,0.19376434590651018,0.19376434590651018,18.34633940058913,0.5860469620174257,0.8723633289337158,0.9873228933631618,0.001,143.97021031100303,1586.216956112301,16903.87841796875,0,7,3,
11,0.9999315213073384,0.1780739280310544,0.8292932342399251,0.5020399375395341,0.18253960228705438,0.18253960228705438,20.984981375103388,0.5478268352183978,0.9135972261428833,0.9679343773303505,0.001,144.03588069300167,1730.2528368053026,16903.87841796875,1,11,0,best
12,0.9999317407608033,0.1783729624003172,0.8294141598723151,0.5067556798458099,0.22302724056729797,0.22302724056729797,15.083920788263145,0.6165642846364932,0.7426581382751465,0.9612229679343773,0.001,144.15541290002875,1874.4082497053314,16903.87841796875,0,11,1,
13,0.9999301200563258,0.1759863814508373,0.8294714174487374,0.50624407292767,0.18954619733661177,0.18954619733661177,17.045217032649973,0.5668078423446414,0.7988402843475342,0.9545115585384042,0.001,144.4234209349379,2018.8316706402693,16903.87841796875,0,11,2,
14,0.9999298446557738,0.1771135891703042,0.8317695306106048,0.5222132773561912,0.19980596911218132,0.19980596911218132,18.287955292487474,0.5237633072711945,0.9263961315155029,0.9716629381058911,0.001,144.16240903898142,2162.9940796792507,16903.87841796875,0,11,3,
15,0.9999298503453081,0.1814872844652696,0.8306881414218382,0.5147491808642041,0.19196175576033686,0.19196175576033686,19.600177152913666,0.5981656109557689,0.9698842167854309,0.9261744966442953,0.001,143.8482818081975,2306.842361487448,16903.87841796875,0,11,4,
16,0.9999286386099728,0.17460749565877698,0.831796001710675,0.512396946481683,0.18506980444297233,0.18506980444297233,17.202073398319683,0.5301619615834402,0.8968840837478638,0.9656972408650261,0.001,144.1413873708807,2450.983748858329,16903.87841796875,0,11,5,
17,0.9999286300756715,0.17657197578386827,0.8330901355905966,0.5167910011654551,0.21180112466914375,0.21180112466914375,17.696027071570313,0.5746858010206549,0.8937598466873169,0.9463087248322147,0.001,144.19593892688863,2595.1796877852175,16903.87841796875,0,11,6,
18,0.9999284887855703,0.17750424834137613,0.8334440972317348,0.5167351193726063,0.1886017489387834,0.1886017489387834,18.57840980668412,0.5770278932102411,1.0258265733718872,0.9880686055182699,0.001,144.23524999408983,2739.4149377793074,16903.87841796875,0,11,7,
19,0.9999272747473283,0.17826528644019907,0.8339019672437148,0.5174889192662456,0.21148464906133982,0.21148464906133982,18.164623144086875,0.5896195181920958,1.0447766780853271,0.9858314690529456,0.001,144.21935083298013,2883.6342886122875,16903.87841796875,0,11,8,
20,0.9999271254647862,0.17829761630432173,0.8341288336298682,0.5182040503756566,0.19178848779018373,0.19178848779018373,21.127206156908777,0.5327932392078512,0.795144259929657,0.9463087248322147,0.001,144.05240171891637,3027.686690331204,16903.87841796875,0,11,9,
21,0.9999274291775443,0.17737078903750939,0.8340364903211593,0.5228766110133041,0.19681058034867338,0.19681058034867338,18.034446899010014,0.549233262943219,0.8328031301498413,0.8933631618195377,0.001,144.22237134398893,3171.909061675193,16903.87841796875,0,11,10,
22,0.9999274767257951,0.1780126923864538,0.833805522593585,0.5337029406970197,0.1819861593279925,0.1819861593279925,17.077772004887443,0.5397105533911463,0.8614319562911987,0.9701715137956749,0.001,144.2076317789033,3316.116693454096,16903.87841796875,1,22,0,best
23,0.9999267221851782,0.17648234746672892,0.8353103461590681,0.5228342417966235,0.19774492200098398,0.19774492200098398,20.703574215423895,0.5695507053377478,0.9574754238128662,0.9932885906040269,0.001,144.01441039307974,3460.131103847176,16903.87841796875,0,22,1,
