epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.11854208606210621,0.1013413518667221,0.1013413518667221,nan,nan,0.0007673552026972175,0.0,0.001,72.50758309988305,72.50758309988305,20721.177734375,1,0,0,best
1,0.11722790402444926,0.09213374555110931,0.09213374555110931,11.598238253654232,0.1352693554901044,0.071144238114357,1.0132042253521127,0.001,72.67933901399374,145.1869221138768,20721.177734375,1,1,0,best
2,0.11446357298303735,0.10016211867332458,0.10016211867332458,18.145732774204042,0.23971169279093793,0.15218284726142883,0.6126760563380281,0.001,72.80060061300173,217.98752272687852,20721.177734375,0,1,1,
3,0.11360971416262063,0.0962483212351799,0.0962483212351799,41.578747133095845,0.2515881756434715,0.1208881139755249,0.18661971830985916,0.001,72.73506776988506,290.7225904967636,20721.177734375,0,1,2,
4,0.11305042291906747,0.09435804188251495,0.09435804188251495,17.467254817489053,0.384950699412247,0.19081050157546997,0.6910211267605634,0.001,72.77566950698383,363.4982600037474,20721.177734375,0,1,3,
5,0.11107677485455167,0.09800460934638977,0.09800460934638977,17.57892491963106,0.43785639277417493,0.1836894005537033,0.7209507042253521,0.001,72.76214190712199,436.2604019108694,20721.177734375,0,1,4,
6,0.11154332563958384,0.09213466942310333,0.09213466942310333,19.208008169511498,0.4695422312646822,0.2091282606124878,0.6875,0.001,72.81331279105507,509.0737147019245,20721.177734375,0,1,5,
7,0.11090355478227139,0.08876089006662369,0.08876089006662369,15.008892403387915,0.5089572485753597,0.20758315920829773,0.7711267605633803,0.001,72.80564642488025,581.8793611268047,20721.177734375,1,7,0,best
8,0.11085361682555893,0.08836355060338974,0.08836355060338974,11.998485387910646,0.5676740296113463,0.1832626909017563,0.8177816901408451,0.001,72.79349721316248,654.6728583399672,20721.177734375,1,8,0,best
9,0.11056769916957075,0.092286117374897,0.092286117374897,13.813561126629518,0.5186210983993017,0.18603038787841797,0.7790492957746479,0.001,72.84327745204791,727.5161357920151,20721.177734375,0,8,1,
10,0.1094006414779208,0.08696217089891434,0.08696217089891434,15.654914378268433,0.5383845170440064,0.18817223608493805,0.7632042253521126,0.001,72.79996326705441,800.3160990590695,20721.177734375,1,10,0,best
11,0.10916585603898221,0.08810079097747803,0.08810079097747803,14.561416437040895,0.5837415937148346,0.23586565256118774,0.7596830985915493,0.001,72.80217014695518,873.1182692060247,20721.177734375,0,10,1,
12,0.10931095105003227,0.09127984195947647,0.09127984195947647,13.7631743639632,0.5581726413068591,0.20220115780830383,0.7834507042253521,0.001,72.77086228621192,945.8891314922366,20721.177734375,0,10,2,
13,0.10971174778586085,0.09482762217521667,0.09482762217521667,13.359884258333729,0.6001729338542778,0.19238367676734924,0.8345070422535211,0.001,72.71745411888696,1018.6065856111236,20721.177734375,0,10,3,
14,0.10707735476846045,0.08474113047122955,0.08474113047122955,13.402071926630706,0.5549804409352206,0.23792436718940735,0.7984154929577465,0.001,72.84019880509004,1091.4467844162136,20721.177734375,1,14,0,best
15,0.10804170607165857,0.09020356833934784,0.09020356833934784,12.252832229754132,0.5783476091293467,0.28581702709198,0.8001760563380281,0.001,72.83383176010102,1164.2806161763147,20721.177734375,0,14,1,
16,0.10763742503794757,0.09040603786706924,0.09040603786706924,13.820788065345432,0.5246103271495065,0.1373097002506256,0.8107394366197183,0.001,72.79970628512092,1237.0803224614356,20721.177734375,0,14,2,
17,0.10795150223103436,0.09006660431623459,0.09006660431623459,12.39279205260489,0.583158674260882,0.22465389966964722,0.7808098591549296,0.001,72.75623608194292,1309.8365585433785,20721.177734375,0,14,3,
18,0.10732459016144276,0.09375236928462982,0.09375236928462982,12.873449267508974,0.5653081954694872,0.20467054843902588,0.7825704225352113,0.001,72.75022141705267,1382.5867799604312,20721.177734375,0,14,4,
19,0.10771370306611061,0.09026632457971573,0.09026632457971573,15.89350273684688,0.5188040119098126,0.24274875223636627,0.7059859154929577,0.001,72.74299481301568,1455.3297747734468,20721.177734375,0,14,5,
20,0.1069372795888635,0.09615252912044525,0.09615252912044525,13.669832303184794,0.5647076675158986,0.2651987671852112,0.7887323943661971,0.001,61.317165079992265,1516.646939853439,20702.357421875,0,14,6,
21,0.10626778263937343,0.08717487752437592,0.08717487752437592,14.862310174683582,0.5182376063650178,0.193816676735878,0.7394366197183099,0.001,72.76776604889892,1589.414705902338,20721.177734375,0,14,7,
22,0.10620210627940568,0.09518313407897949,0.09518313407897949,11.31894411693937,0.5881998608843577,0.2419583797454834,0.8001760563380281,0.001,72.83684048010036,1662.2515463824384,20721.177734375,0,14,8,
23,0.10729837380349636,0.08781737834215164,0.08781737834215164,12.32891029311328,0.5524065880808801,0.2224835455417633,0.733274647887324,0.001,72.81196290999651,1735.063509292435,20721.177734375,0,14,9,
24,0.10699384009296244,0.09049181640148163,0.09049181640148163,14.360407159370705,0.5358417312571848,0.2747293710708618,0.6936619718309859,0.001,72.81122464197688,1807.8747339344118,20721.177734375,0,14,10,
25,0.10731760348108682,0.09603704512119293,0.09603704512119293,13.222030547011276,0.5576827348016611,0.19877567887306213,0.7746478873239436,0.001,72.76548071601428,1880.640214650426,20721.177734375,0,14,11,
26,0.10793844390321862,0.08948422968387604,0.08948422968387604,12.758150248843096,0.5526774213929754,0.18712928891181946,0.7737676056338029,0.001,72.78639788995497,1953.426612540381,20721.177734375,0,14,12,
27,0.10655185024846683,0.08788320422172546,0.08788320422172546,14.274672353905894,0.5482426378754806,0.2295231819152832,0.7588028169014085,0.001,72.75999784492888,2026.18661038531,20721.177734375,0,14,13,
28,0.10497670329429887,0.0891476571559906,0.0891476571559906,13.722693240474632,0.5380692948759579,0.19722092151641846,0.7852112676056338,0.001,72.77906030905433,2098.9656706943642,20721.177734375,0,14,14,
29,0.10680565485222773,0.0871778279542923,0.0871778279542923,11.808199990594819,0.5616843668292059,0.23339718580245972,0.801056338028169,0.001,72.7900525140576,2171.755723208422,20721.177734375,0,14,15,
