K,N,beta_mean,beta_median,beta_q25,beta_q75,d_pair_mean,d_pair_median,dataset,model,n_pairs,pair_rmse_endpoint_median,pair_rmse_source_median,r_source_mean,r_source_median,r_source_q25,r_source_q75,std_retention_mean,std_retention_median,v_endpoint_median,v_source_median
32,3907,-0.0005995535765370222,-0.0005667318133565562,-0.0012863955028030545,0.0001572938340298713,0.03767431549627878,0.036676345156856936,wildppg,OT1,496,0.051868908176924564,1.4138465746983708,0.0018466189067716653,0.0016811461812554537,0.0012767821165606602,0.0022763834430712926,0.04213607472214931,0.04100178265948267,0.0016826413813765596,0.9999538253231448
32,3907,0.10884551149798877,0.10941811220967612,0.10107216128545495,0.11685056085826115,0.35078793451868434,0.3519016792057251,wildppg,iMF1,496,0.4975236989718842,1.4138465746983708,0.15033399528610436,0.15004957038996825,0.13003339221894464,0.16984718421602812,0.385823649026578,0.3873623244327825,0.15019398204989193,0.9999538253231448
0,3907,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,wildppg,MSE(A6),,,,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,,
32,1025,0.0041797957618998575,0.004250097387607048,0.0027883539489173275,0.005495193517103625,0.038027995218170484,0.0376172046325949,dalia_s2,OT1,496,0.05319645589827871,1.4139300553951288,0.0018054850316266337,0.0016958864338640401,0.001346398154323048,0.0021314935002373536,0.041884093717352064,0.041181141726086716,0.0016925372792110348,1.000053819819021
32,1025,0.09082644097938944,0.0911131634378806,0.08454971297196975,0.09720595079869078,0.30359403689106396,0.30450540761621464,dalia_s2,iMF1,496,0.43021728128483555,1.4139300553951288,0.10229428222095499,0.10246137052687615,0.09344782521671713,0.11108792917893913,0.31921721268542347,0.32009587708509485,0.10250024252966136,1.000053819819021
0,1025,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,dalia_s2,MSE(A6),,,,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,,
32,1151,-0.004370666458544444,-0.004357211619820541,-0.005936285109487715,-0.0029649052060237687,0.0303247348613599,0.029656458442185202,dalia_s1,OT1,496,0.04185967017198748,1.4138718417640517,0.0011275667714394045,0.001017611350226291,0.0007435237960248378,0.0014020492142592582,0.03278819407819645,0.03190002116341447,0.0010188396369652448,0.9999885985598989
32,1151,0.1140078709440222,0.1133879825603509,0.10599024839828611,0.12320394810317477,0.26341965608257767,0.2628687076525168,dalia_s1,iMF1,496,0.3721270932222753,1.4138718417640517,0.07826449597169788,0.07732861810866588,0.06869473747407176,0.08700058102249542,0.2788280743644351,0.27808023681783983,0.0771333144411339,0.9999885985598989
0,1151,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,dalia_s1,MSE(A6),,,,,N/A - deterministic model has no source latent,,,,N/A - deterministic model has no source latent,,
