M1_closest_to_M_A6,N,Q_MSE_mean,Q_MSE_median,dataset,imf1_seed0_parity_max_abs_diff,mse_reinference_max_abs_diff,ot1_seed0_parity_max_abs_diff,pcc_F0_M_A6_mean,pcc_Fbar_M_A6_mean,pcc_Fbar_M_A6_median,rmse_F0_M_A6,rmse_Fbar_GT,rmse_Fbar_M_A6,rmse_Fbar_OT50seed0,rmse_Fbar_iMF1seed0,rmse_Fk_M_A6_median_over_k_mean,rmse_Fk_M_A6_spread_over_k
True,3907,0.8977973417314582,0.9249281200998811,wildppg,0.0,0.0,0.0,0.5116585050606992,0.5450529277757592,0.5466925551530685,0.0781082690995282,0.35272284935591247,0.06749807608788412,0.2514946352997879,0.3498257855077332,0.07352354763169414,0.019057623728033775
True,1025,0.8868243233234541,0.9331168808871544,dalia_s2,0.0,0.0,0.0,0.12596568406582243,0.17581836092444117,0.17739274379445355,0.0817230109139224,0.30101340857571535,0.07267057851910118,0.2976207045071736,0.31871082632760833,0.07868874736203288,0.02394698594707496
True,1151,0.95928809787118,0.9785278666111097,dalia_s1,0.0,0.0,0.0,0.12084810078169678,0.13647475124210753,0.10027170888748617,0.1203683946228482,0.34578401226761146,0.11541243495744363,0.2807932703427452,0.30086662678890974,0.1182325727685081,0.0176388936033753
