K,beta_median,dataset,diagnostic,n_windows,r_source_median,rho_J_mean,rho_J_median,std_retention_median,t
32,-0.00037685788610533947,wildppg,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.0016091539940652246,0.04673631912737619,0.04128246754407883,0.040114121383562296,0.0
32,0.0005377621052807648,wildppg,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.001986257111307577,0.05066257095313631,0.044193632900714874,0.04456563871702852,0.01
32,0.004476722209861566,wildppg,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.006388172789935733,0.07811354156729067,0.06596418842673302,0.07992604271791941,0.05
32,0.009447853478097016,wildppg,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.014302153243583467,0.11857643649273086,0.10063547641038895,0.11959160246581668,0.1
32,0.003823283102229823,dalia_s2,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.0016892619220950028,0.0470994292627438,0.042306821793317795,0.0411006191105634,0.0
32,0.005239010052783068,dalia_s2,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.001985266067226708,0.049964134756010026,0.04441860876977444,0.044556272517671004,0.01
32,0.011410733938674356,dalia_s2,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.004682511185245195,0.07004372114897706,0.059923525899648666,0.06842887608199102,0.05
32,0.019080744827563993,dalia_s2,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.013113107504270794,0.10945347110100556,0.08645705878734589,0.11451189251648247,0.1
32,-0.004148909561148202,dalia_s1,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.0010432011032557344,0.0389956730796257,0.03464542515575886,0.03229841422467876,0.0
32,-0.0030723004885838904,dalia_s1,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.0013164233309647766,0.04142704964760924,0.03604472428560257,0.036282540259034754,0.01
32,0.0013179283703006633,dalia_s1,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.0035742328181883063,0.06219569648237666,0.048455821350216866,0.05978359030245796,0.05
32,0.006834327147239768,dalia_s1,ORACLE PATH-STATE DIAGNOSTIC (x_t uses the ground-truth target; not a realisable generation state),64,0.009786413199481998,0.09776109753875062,0.07345374301075935,0.09892594707979614,0.1
