representation,arm,rpeak_f1,rpeak_precision,rpeak_recall,rr_mae_ms,beats_ratio
window-norm,R,0.42085713615249476,0.4732711150294974,0.3970672254496893,17.344312726739425,0.7117933025689115
window-norm,O1,0.481116791562724,0.5196401684371994,0.4600374319584937,15.113236096270903,0.777607778298744
window-norm,O50,0.43994307329758187,0.4432345482063936,0.440693511481119,21.248640830980293,0.9755694297065866
window-norm,M1,0.3851953066294742,0.3961149492375497,0.38074240018856376,25.739984373743734,0.9279915109937568
global-z,R,0.4872594026537458,0.5137118420072092,0.4725372564550341,16.80111104712827,0.8350319571601313
global-z,O1,0.433953582002139,0.4898194829088098,0.40861593646320155,15.988182225697361,0.7122128174123338
global-z,O50,0.3982377806581091,0.40067694726000336,0.40029188977783664,25.037317655924657,0.9933617945364361
global-z,M1,0.38197079782494964,0.3868556826388922,0.38110152555796084,27.674979612074246,0.9829232781383412
