representation,model,rmse_all,rmse_qrs,rmse_nonqrs,qrs_energy_retention,nonqrs_energy_retention,peak_amp_ratio,max_slope_ratio,qrs_over_nonqrs_rmse
window-norm,R,0.3685494661331177,0.44329801201820374,0.3395250737667084,0.06609096378087997,0.10955868661403656,0.45511114597320557,0.04732869938015938,1.3056414570512662
window-norm,O1,0.37510043382644653,0.4473802149295807,0.34722816944122314,0.12094400078058243,0.1486843228340149,0.43529537320137024,0.15237842500209808,1.2884329507295655
window-norm,O50,0.46130234003067017,0.5558587908744812,0.4245324432849884,0.7592270374298096,0.8884320855140686,0.629324197769165,0.959982693195343,1.3093434899187044
window-norm,M1,0.5105602145195007,0.5925400257110596,0.4796310365200043,1.1343739032745361,2.0215747356414795,0.6303184032440186,1.083270788192749,1.2354080128139209
global-z,R,0.3653600215911865,0.6045777201652527,0.23432835936546326,0.2563232183456421,0.22014875710010529,0.26991161704063416,0.12024150788784027,2.5800450351053796
global-z,O1,0.3662167489528656,0.5869096517562866,0.2507548928260803,0.14440472424030304,0.36832088232040405,0.20760992169380188,0.19222335517406464,2.340571085738925
global-z,O50,0.7654819488525391,0.9655460119247437,0.6846012473106384,2.001704454421997,8.608400344848633,0.4531867504119873,1.061446189880371,1.4103772315895684
global-z,M1,0.44483044743537903,0.6620866060256958,0.34122058749198914,0.4162732660770416,1.4112368822097778,0.23376032710075378,0.8631433844566345,1.9403477700220526
