representation,arm,hr_abs_err_bpm,morph_corr,amp_ratio,amp_ratio_median,cond_gain_bpm,beats_ratio,hf_ratio_pred,hf_ratio_target,rpeak_f1,rpeak_precision,rpeak_recall,rr_mae_ms,qrs_width_err_ms,rmse,mae,pcc,latency_ms_batch64,actual_NFE,frac_windows_no_pred_beats,hr_err_shuffled_right_target,hr_err_shuffled_wrong_target
window-norm,R,20.214060300368295,0.31604924923489125,0.24139685928821564,0.19387780129909515,4.9478335868113525,0.7117933025689115,0.006538171299675096,0.2798842449674964,0.42085713615249476,0.4732711150294974,0.3970672254496893,17.344312726739425,94.97944607306925,0.3500113743613721,0.29450790095175833,0.1177587744851934,81.4784070244059,1.0,0.0043511645764013306,20.214060300368295,25.161893887179648
window-norm,O1,15.587550388752447,0.37932513031358017,0.32145801186561584,0.2508726716041565,6.63650266635911,0.777607778298744,0.06456434034038669,0.2798842449674964,0.481116791562724,0.5196401684371994,0.4600374319584937,15.113236096270903,75.12563584641842,0.35458242538430174,0.30069144129681113,0.1406433526128372,81.48579648695886,1.0,0.0007678525723061172,15.679772322004837,22.316274988363947
window-norm,O2,40.614182018588735,0.10595630276246758,3.091973066329956,3.051872968673706,0.30443854878775767,0.37600868642499324,0.8473665096989494,0.2798842449674964,0.07252099036302953,0.1381267425802875,0.052214154002382794,29.451121794871796,38.23943580256737,0.7604765716994627,0.5950434282821905,0.016065398637961168,159.68725294806063,2.0,0.011005886869721013,40.10140837783688,40.40584692662464
window-norm,O4,15.374339571090896,0.3774465726711203,1.4787569046020508,1.4624089002609253,3.392338409946664,0.8251116649803815,0.6372016149995787,0.2798842449674964,0.40204290659039926,0.4368044463002231,0.3806625640062549,20.63392231878231,36.2627884724656,0.4753866304572051,0.3792947597605785,0.04105948793058686,320.4488705378026,4.0,0.0,15.660788572874232,19.053126982820896
window-norm,O10,9.948644188733123,0.5856768615217333,1.068684697151184,1.0603598356246948,7.232975194266668,0.9432421094193423,0.4123337526023539,0.2798842449674964,0.4454509424645614,0.4544571484455027,0.4416791698093676,21.156338284069157,34.98832691078384,0.43998743428658865,0.3635324189044614,0.05922641314396652,810.8803179347888,10.0,0.0,9.681519611570582,16.91449480583725
window-norm,O20,9.576906040677143,0.6480171951637086,0.9988198280334473,0.9938435554504395,7.438869220935487,0.9535325617550527,0.30855530462697295,0.2798842449674964,0.4431708844866133,0.45050752400061334,0.44046351566721653,21.11521779305558,32.417004331066835,0.4402514554869484,0.36795615683319366,0.06433907082009918,1630.417665001005,20.0,0.0,9.339928285859827,16.778797506795314
window-norm,O50,9.432528846411996,0.6699211441722588,0.9770241379737854,0.9738945960998535,7.161464014819931,0.9755694297065866,0.2629241873332914,0.2798842449674964,0.43994307329758187,0.4432345482063936,0.440693511481119,21.248640830980293,29.937919486263485,0.4402715621624593,0.369271707072422,0.06621215332611799,4159.285853966139,50.0,0.0,9.075445114015078,16.23690912883501
window-norm,M1,11.854721169673326,0.5511208540375794,1.0394450426101685,0.996976375579834,4.287975748876137,0.9279915109937568,0.2202435530675112,0.2798842449674964,0.3851953066294742,0.3961149492375497,0.38074240018856376,25.739984373743734,41.7092015313377,0.48519355715759716,0.4140543548893216,0.04851075096085464,81.42671245150268,1.0,0.0,11.929596324522139,16.217572073398276
window-norm,M2,11.621396709195006,0.6008907706747217,0.936332643032074,0.9177101254463196,5.168017367760459,0.9239937813093799,0.2231427662495306,0.2798842449674964,0.3941800068374055,0.40429470211272106,0.3905069952772002,24.33647887825064,35.9303716034119,0.4667518020361289,0.40004609162011356,0.057028128378262155,162.79643401503563,2.0,0.0,11.824093542461128,16.992110910221587
window-norm,M4,12.184291892968218,0.6372498044969898,0.9478578567504883,0.9285499453544617,5.390491316092541,0.8984033758606225,0.22788861570924532,0.2798842449674964,0.3973189030613974,0.41179583079378324,0.3908611973976514,23.70290670440995,33.66669665644232,0.46095482853151454,0.39296372783282596,0.058167532879946256,319.6794521063566,4.0,0.0002559508574353724,12.121271552079849,17.51176286817239
global-z,R,13.71318145912251,0.3450186473849726,4.315924644470215,0.6419947147369385,6.697372830563475,0.8350319571601313,0.0075102653152389846,0.2798842444242463,0.4872594026537458,0.5137118420072092,0.4725372564550341,16.80111104712827,95.71401284218841,0.31380076205240276,0.19160395053842597,0.1359860772789345,83.42791709583253,1.0,0.0,13.713181459122508,20.410554289685983
global-z,O1,20.893217013406414,0.32479745388217285,3.9857070446014404,0.5199622511863708,4.617882543013874,0.7122128174123338,0.0785434223521319,0.2798842444242463,0.433953582002139,0.4898194829088098,0.40861593646320155,15.988182225697361,76.81039111384429,0.3127621787273378,0.19804398348397073,0.1197737824485658,83.55535753071308,1.0,0.0005119017148707448,20.93802269257818,25.555905235592054
global-z,O2,28.375972880277544,0.20339743062774784,15.944294929504395,1.5792325735092163,0.24447322824790163,0.60081928781186,0.6509775548765485,0.2798842444242463,0.1716574887628839,0.22836425156619677,0.14562041402892664,24.081102910419833,46.16124524538798,0.5945433604318298,0.44191483024509637,0.0371197107849816,165.7740109367296,2.0,0.0007678525723061172,27.986640321440763,28.231113549688665
global-z,O4,11.766426641991426,0.4595608001166161,12.283940315246582,1.2701574563980103,3.9754776633958375,0.9492387039459074,0.45435544088424007,0.2798842444242463,0.4013264997343839,0.412202719926037,0.39674049100602293,24.601440362913216,36.79337186642295,0.5001674069060024,0.3400617480170407,0.044693259023633226,337.20198611263186,4.0,0.0,12.008581732799422,15.98405939619526
global-z,O10,10.216251700079201,0.6269403580774906,13.790947914123535,1.5030486583709717,5.6160811871633225,0.9888211632899836,0.25503587345192,0.2798842444242463,0.4058590276139076,0.4093509716686067,0.40654450757195615,24.81721946119317,33.31988484775302,0.5451158265818464,0.33166597925693053,0.05341660907618909,835.4889615438879,10.0,0.0,10.180966459681748,15.797047646845071
global-z,O20,10.321209896013322,0.6416219039191865,15.246256828308105,1.643131136894226,5.396649289636024,0.9912148656318633,0.23059080444326707,0.2798842444242463,0.40148802062832634,0.40453678647945346,0.40283471140179467,24.97516961269259,32.46607420768039,0.5881896396831792,0.3525886022095874,0.05358954633337939,1669.4087504874915,20.0,0.0,10.42201569127445,15.818664980910473
global-z,O50,10.478442733749581,0.6441751716964319,16.284530639648438,1.7214076519012451,5.364631190863578,0.9933617945364361,0.22500659876314782,0.2798842444242463,0.3982377806581091,0.40067694726000336,0.40029188977783664,25.037317655924657,32.015530979182316,0.6198683558272349,0.3717944784340131,0.05336011622071838,4159.315210999921,50.0,0.0,10.526553325265551,15.89118451612913
global-z,M1,10.517076599049048,0.6052697053159153,8.595773696899414,0.8868358135223389,4.955404891779629,0.9829232781383412,0.2435933775182375,0.2798842444242463,0.38197079782494964,0.3868556826388922,0.38110152555796084,27.674979612074246,37.104178346266956,0.4062864755902194,0.24266842613611364,0.0626344154747304,83.74496002215892,1.0,0.0,10.44390364081371,15.39930853259334
global-z,M2,10.432992223976164,0.6384987036507088,9.160419464111328,0.9323328137397766,5.1140423980496,0.9963724304715841,0.2317604430591283,0.2798842444242463,0.38177323066331736,0.3851055778109784,0.3823363257945527,27.56162791136282,34.087250914085836,0.41908564888504846,0.24668384261129755,0.05620480649518529,167.57403244264424,2.0,0.0,10.518368612718698,15.632411010768298
global-z,M4,11.33545834626512,0.6566909803190378,8.366275787353516,0.8493850231170654,4.901777017507117,0.9427238852009969,0.22090002927170166,0.2798842444242463,0.3781992664916718,0.3892286949747917,0.3722537127471689,27.50593182025054,33.79393988524848,0.40228848510473547,0.23520980687776216,0.05556602977700817,327.99493661150336,4.0,0.0,11.247692183060446,16.149469200567562
