arm,metric,window_norm,global_z,delta
R,hr_abs_err_bpm,20.214060300368295,13.71318145912251,-6.500878841245786
R,morph_corr,0.31604924923489125,0.3450186473849726,0.02896939815008137
R,amp_ratio_median,0.19387780129909515,0.6419947147369385,0.4481169134378433
R,cond_gain_bpm,4.9478335868113525,6.697372830563475,1.7495392437521229
R,beats_ratio,0.7117933025689115,0.8350319571601313,0.12323865459121985
R,hf_ratio_pred,0.006538171299675096,0.0075102653152389846,0.0009720940155638885
R,rpeak_f1,0.42085713615249476,0.4872594026537458,0.06640226650125103
R,rr_mae_ms,17.344312726739425,16.80111104712827,-0.5432016796111547
O1,hr_abs_err_bpm,15.587550388752447,20.893217013406414,5.305666624653966
O1,morph_corr,0.37932513031358017,0.32479745388217285,-0.054527676431407324
O1,amp_ratio_median,0.2508726716041565,0.5199622511863708,0.26908957958221436
O1,cond_gain_bpm,6.63650266635911,4.617882543013874,-2.0186201233452365
O1,beats_ratio,0.777607778298744,0.7122128174123338,-0.06539496088641017
O1,hf_ratio_pred,0.06456434034038669,0.0785434223521319,0.013979082011745206
O1,rpeak_f1,0.481116791562724,0.433953582002139,-0.04716320956058501
O1,rr_mae_ms,15.113236096270903,15.988182225697361,0.8749461294264584
O50,hr_abs_err_bpm,9.432528846411996,10.478442733749581,1.0459138873375853
O50,morph_corr,0.6699211441722588,0.6441751716964319,-0.025745972475826884
O50,amp_ratio_median,0.9738945960998535,1.7214076519012451,0.7475130558013916
O50,cond_gain_bpm,7.161464014819931,5.364631190863578,-1.7968328239563522
O50,beats_ratio,0.9755694297065866,0.9933617945364361,0.017792364829849583
O50,hf_ratio_pred,0.2629241873332914,0.22500659876314782,-0.0379175885701436
O50,rpeak_f1,0.43994307329758187,0.3982377806581091,-0.04170529263947276
O50,rr_mae_ms,21.248640830980293,25.037317655924657,3.788676824944364
M1,hr_abs_err_bpm,11.854721169673326,10.517076599049048,-1.3376445706242777
M1,morph_corr,0.5511208540375794,0.6052697053159153,0.05414885127833591
M1,amp_ratio_median,0.996976375579834,0.8868358135223389,-0.11014056205749512
M1,cond_gain_bpm,4.287975748876137,4.955404891779629,0.667429142903492
M1,beats_ratio,0.9279915109937568,0.9829232781383412,0.054931767144584476
M1,hf_ratio_pred,0.2202435530675112,0.2435933775182375,0.02334982445072631
M1,rpeak_f1,0.3851953066294742,0.38197079782494964,-0.003224508804524573
M1,rr_mae_ms,25.739984373743734,27.674979612074246,1.9349952383305116
