representation,arm,cond_gain_bpm,hr_right,hr_wrong
window-norm,R,4.9478335868113525,20.214060300368295,25.161893887179648
window-norm,O1,6.63650266635911,15.679772322004837,22.316274988363947
window-norm,O50,7.161464014819931,9.075445114015078,16.23690912883501
window-norm,M1,4.287975748876137,11.929596324522139,16.217572073398276
global-z,R,6.697372830563475,13.713181459122508,20.410554289685983
global-z,O1,4.617882543013874,20.93802269257818,25.555905235592054
global-z,O50,5.364631190863578,10.526553325265551,15.89118451612913
global-z,M1,4.955404891779629,10.44390364081371,15.39930853259334
