metric,arm,group,n_patients,value,ref,win_rate,wr_lo,wr_hi,mean_diff,md_lo,md_hi
HR,C1,all,1156,8.471911106302239,9.686377799244903,0.6842560553633218,0.6565743944636678,0.71280276816609,-1.1193713838702817,-1.3440618430717788,-0.909783583346379
HR,C1,SBV low,384,6.285328507008778,8.151666770427871,0.75,0.7083333333333334,0.7942708333333334,-1.1193713838702817,-1.3440618430717788,-0.909783583346379
HR,C1,SBV mid,385,7.150940678372786,8.584779299868758,0.7064935064935065,0.6623376623376623,0.7532467532467533,-1.1193713838702817,-1.3440618430717788,-0.909783583346379
HR,C1,SBV high,384,11.82667031569484,12.229871335345317,0.5989583333333334,0.546875,0.6458333333333334,-1.1193713838702817,-1.3440618430717788,-0.909783583346379
HR,I1,all,1156,10.13931696312187,9.686377799244903,0.40743944636678203,0.379757785467128,0.4359861591695502,0.452939163876967,0.35100940175453443,0.5556519133805347
HR,I1,SBV low,384,8.647953673273502,8.151666770427871,0.3932291666666667,0.3463541666666667,0.4401041666666667,0.452939163876967,0.35100940175453443,0.5556519133805347
HR,I1,SBV mid,385,8.983405616610243,8.584779299868758,0.42597402597402595,0.37922077922077924,0.4753246753246753,0.452939163876967,0.35100940175453443,0.5556519133805347
HR,I1,SBV high,384,12.651554606286735,12.229871335345317,0.40625,0.3567708333333333,0.4557291666666667,0.452939163876967,0.35100940175453443,0.5556519133805347
HR,S1,all,1156,8.711794917329689,9.686377799244903,0.6911764705882353,0.6660899653979239,0.7188581314878892,-0.9745676132949732,-1.1158497401185583,-0.8470641517421341
HR,S1,SBV low,384,6.934415833742444,8.151666770427871,0.7265625,0.6822916666666666,0.7708333333333334,-0.9745676132949732,-1.1158497401185583,-0.8470641517421341
HR,S1,SBV mid,385,7.454304090845414,8.584779299868758,0.7298701298701299,0.6831168831168831,0.7714285714285715,-0.9745676132949732,-1.1158497401185583,-0.8470641517421341
HR,S1,SBV high,384,11.634688403995549,12.229871335345317,0.6197916666666666,0.5703125,0.6666666666666666,-0.9745676132949732,-1.1158497401185583,-0.8470641517421341
HR,I1_K16,all,1156,6.674682474445718,9.686377799244903,0.9420415224913494,0.9282006920415224,0.9550173010380623,-3.011695324799186,-3.130843578827722,-2.896814748531082
HR,I1_K16,SBV low,384,4.860988107017515,8.151666770427871,0.9713541666666666,0.953125,0.9869791666666666,-3.011695324799186,-3.130843578827722,-2.896814748531082
HR,I1_K16,SBV mid,385,5.3962180101583055,8.584779299868758,0.9636363636363636,0.9428571428571428,0.9818181818181818,-3.011695324799186,-3.130843578827722,-2.896814748531082
HR,I1_K16,SBV high,384,9.648556294765777,12.229871335345317,0.8958333333333334,0.8645833333333334,0.9244791666666666,-3.011695324799186,-3.130843578827722,-2.896814748531082
Rpeak_F1,C1,all,1156,0.7555461640959374,0.6446507510503076,0.9619377162629758,0.9506920415224913,0.9731833910034602,0.11089541304562982,0.10803648563145948,0.11389371816599778
Rpeak_F1,C1,SBV low,384,0.7962792067547287,0.6761578047551947,0.9765625,0.9583333333333334,0.9895833333333334,0.11089541304562982,0.10803648563145948,0.11389371816599778
Rpeak_F1,C1,SBV mid,385,0.7876079381852514,0.6717201237869149,0.9636363636363636,0.9428571428571428,0.9818181818181818,0.11089541304562982,0.10803648563145948,0.11389371816599778
Rpeak_F1,C1,SBV high,384,0.6878507948199925,0.5903552887706255,0.9479166666666666,0.9270182291666667,0.96875,0.11089541304562982,0.10803648563145948,0.11389371816599778
Rpeak_F1,I1,all,1156,0.674113237142601,0.6446507510503076,0.8486159169550173,0.8278546712802768,0.8693771626297578,0.029462486092293346,0.02778271888724046,0.03119207220577152
Rpeak_F1,I1,SBV low,384,0.7052537481892195,0.6761578047551947,0.8385416666666666,0.7994791666666666,0.8776041666666666,0.029462486092293346,0.02778271888724046,0.03119207220577152
Rpeak_F1,I1,SBV mid,385,0.7044703281280283,0.6717201237869149,0.8701298701298701,0.8363636363636363,0.9012987012987013,0.029462486092293346,0.02778271888724046,0.03119207220577152
Rpeak_F1,I1,SBV high,384,0.6169874625429174,0.5903552887706255,0.8385416666666666,0.7994791666666666,0.875,0.029462486092293346,0.02778271888724046,0.03119207220577152
Rpeak_F1,S1,all,1156,0.628814798020377,0.6446507510503076,0.4134948096885813,0.38494809688581316,0.4420415224913495,-0.01583595302993072,-0.019390584148293352,-0.012219534499176097
Rpeak_F1,S1,SBV low,384,0.6615051914061691,0.6761578047551947,0.4427083333333333,0.3958333333333333,0.4947916666666667,-0.01583595302993072,-0.019390584148293352,-0.012219534499176097
Rpeak_F1,S1,SBV mid,385,0.6576304648804232,0.6717201237869149,0.4155844155844156,0.3661688311688312,0.4649350649350649,-0.01583595302993072,-0.019390584148293352,-0.012219534499176097
Rpeak_F1,S1,SBV high,384,0.571460091495091,0.5903552887706255,0.3802083333333333,0.3307291666666667,0.4270833333333333,-0.01583595302993072,-0.019390584148293352,-0.012219534499176097
morph_corr@GT,C1,all,1156,0.3584540284593764,0.17917994521798447,0.948961937716263,0.9359861591695502,0.9610726643598616,0.17927408324139193,0.17371198771873042,0.18462028315462223
morph_corr@GT,C1,SBV low,384,0.3689381767743252,0.185878161550076,0.9609375,0.9401041666666666,0.9791666666666666,0.17927408324139193,0.17371198771873042,0.18462028315462223
morph_corr@GT,C1,SBV mid,385,0.3818790032248231,0.18696691743245425,0.9662337662337662,0.948051948051948,0.9818181818181818,0.17927408324139193,0.17371198771873042,0.18462028315462223
morph_corr@GT,C1,SBV high,384,0.32448390284052914,0.16467447809794802,0.9270833333333334,0.9010416666666666,0.9505208333333334,0.17927408324139193,0.17371198771873042,0.18462028315462223
morph_corr@GT,I1,all,1156,0.19695921730918933,0.17917994521798447,0.6868512110726643,0.6608780276816609,0.71280276816609,0.017779272091204876,0.015437256581587249,0.02001248005900255
morph_corr@GT,I1,SBV low,384,0.19849077280996963,0.185878161550076,0.6328125,0.5859375,0.6770833333333334,0.017779272091204876,0.015437256581587249,0.02001248005900255
morph_corr@GT,I1,SBV mid,385,0.2078097536212159,0.18696691743245425,0.7194805194805195,0.6753246753246753,0.7636363636363637,0.017779272091204876,0.015437256581587249,0.02001248005900255
morph_corr@GT,I1,SBV high,384,0.18454886889140323,0.16467447809794802,0.7135416666666666,0.6666666666666666,0.7604166666666666,0.017779272091204876,0.015437256581587249,0.02001248005900255
morph_corr@GT,S1,all,1156,0.1503855389918887,0.17917994521798447,0.3235294117647059,0.2984429065743945,0.3512326989619376,-0.028794406226095793,-0.032409517834830905,-0.025214576277306208
morph_corr@GT,S1,SBV low,384,0.15366004425463978,0.185878161550076,0.328125,0.28125,0.375,-0.028794406226095793,-0.032409517834830905,-0.025214576277306208
morph_corr@GT,S1,SBV mid,385,0.15745072550181535,0.18696691743245425,0.3142857142857143,0.2675324675324675,0.35844155844155845,-0.028794406226095793,-0.032409517834830905,-0.025214576277306208
morph_corr@GT,S1,SBV high,384,0.14002744829600797,0.16467447809794802,0.3307291666666667,0.2838541666666667,0.3776041666666667,-0.028794406226095793,-0.032409517834830905,-0.025214576277306208
morph_corr@GT,GLOBAL_tmpl,all,1156,0.6759804024812126,0.17917994521798447,0.995674740484429,0.9913494809688581,0.9991349480968859,0.496800457263228,0.48798849271764533,0.5055100440561502
