round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
83,18260,0.276667,0.723333,1.0,1.0,1.0,1.0,1.0,0,22
84,18480,0.28,0.72,1.0,1.0,1.0,1.0,1.0,0,23
85,18700,0.283333,0.716667,1.0,1.0,1.0,1.0,1.0,0,24
86,18920,0.286667,0.713333,1.0,1.0,1.0,1.0,1.0,0,25
87,19140,0.29,0.71,1.0,1.0,1.0,1.0,1.0,0,26
88,19360,0.293333,0.706667,1.0,1.0,1.0,1.0,1.0,0,27
89,19580,0.296667,0.703333,1.0,1.0,1.0,1.0,1.0,0,28
90,19800,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0,29
91,20020,0.303333,0.696667,1.0,1.0,1.0,1.0,1.0,0,30
92,20240,0.306667,0.693333,1.0,1.0,1.0,1.0,1.0,0,31
93,20460,0.31,0.69,1.0,1.0,1.0,1.0,1.0,0,32
94,20680,0.313333,0.686667,1.0,1.0,1.0,1.0,1.0,0,33
95,20900,0.316667,0.683333,1.0,1.0,1.0,1.0,1.0,0,34
96,21120,0.32,0.68,1.0,1.0,1.0,1.0,1.0,0,35
97,21340,0.323333,0.676667,1.0,1.0,1.0,1.0,1.0,0,36
98,21560,0.326667,0.673333,1.0,1.0,1.0,1.0,1.0,0,37
99,21780,0.33,0.67,1.0,1.0,1.0,1.0,1.0,0,38
100,22000,0.333333,0.666667,1.0,1.0,1.0,1.0,1.0,0,39
101,22220,0.336667,0.663333,1.0,1.0,1.0,1.0,1.0,0,40
102,22440,0.34,0.66,1.0,1.0,1.0,1.0,1.0,0,41
103,22660,0.343333,0.656667,1.0,1.0,1.0,1.0,1.0,0,42
104,22880,0.346667,0.653333,1.0,1.0,1.0,1.0,1.0,0,43
105,23100,0.35,0.65,1.0,1.0,1.0,1.0,1.0,0,44
106,23320,0.353333,0.646667,1.0,1.0,1.0,1.0,1.0,0,45
107,23540,0.356667,0.643333,1.0,1.0,1.0,1.0,1.0,0,46
108,23760,0.36,0.64,1.0,1.0,1.0,1.0,1.0,0,47
109,23980,0.363333,0.636667,1.0,1.0,1.0,1.0,1.0,0,48
110,24200,0.366667,0.633333,1.0,1.0,1.0,1.0,1.0,0,49
111,24420,0.37,0.63,1.0,1.0,1.0,1.0,1.0,0,50
112,24640,0.373333,0.626667,1.0,1.0,1.0,1.0,1.0,0,51
113,24860,0.376667,0.623333,1.0,1.0,1.0,1.0,1.0,0,52
114,25080,0.38,0.62,1.0,1.0,1.0,1.0,1.0,0,53
115,25300,0.383333,0.616667,1.0,1.0,1.0,1.0,1.0,0,54
116,25520,0.386667,0.613333,1.0,1.0,1.0,1.0,1.0,0,55
117,25740,0.39,0.61,1.0,1.0,1.0,1.0,1.0,0,56
118,25960,0.393333,0.606667,1.0,1.0,1.0,1.0,1.0,0,57
119,26180,0.396667,0.603333,1.0,1.0,1.0,1.0,1.0,0,58
120,26400,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0,59
121,26620,0.403333,0.596667,1.0,1.0,1.0,1.0,1.0,0,60
122,26840,0.406667,0.593333,1.0,1.0,1.0,1.0,1.0,0,61
123,27060,0.41,0.59,1.0,1.0,1.0,1.0,1.0,0,62
124,27280,0.413333,0.586667,1.0,1.0,1.0,1.0,1.0,0,63
125,27500,0.416667,0.583333,1.0,1.0,1.0,1.0,1.0,0,64
126,27720,0.42,0.58,1.0,1.0,1.0,1.0,1.0,0,65
127,27940,0.423333,0.576667,1.0,1.0,1.0,1.0,1.0,0,66
128,28160,0.426667,0.573333,1.0,1.0,1.0,1.0,1.0,0,67
129,28380,0.43,0.57,1.0,1.0,1.0,1.0,1.0,0,68
130,28600,0.433333,0.566667,1.0,1.0,1.0,1.0,1.0,0,69
131,28820,0.436667,0.563333,1.0,1.0,1.0,1.0,1.0,0,70
132,29040,0.44,0.56,1.0,1.0,1.0,1.0,1.0,0,71
133,29260,0.443333,0.556667,1.0,1.0,1.0,1.0,1.0,0,72
134,29480,0.446667,0.553333,1.0,1.0,1.0,1.0,1.0,0,73
135,29700,0.45,0.55,1.0,1.0,1.0,1.0,1.0,1,0
136,29920,0.453333,0.546667,1.0,1.0,1.0,1.0,1.0,0,1
137,30140,0.456667,0.543333,1.0,1.0,1.0,1.0,1.0,0,2
138,30360,0.46,0.54,1.0,1.0,1.0,1.0,1.0,0,3
139,30580,0.463333,0.536667,1.0,1.0,1.0,1.0,1.0,0,4
140,30800,0.466667,0.533333,1.0,1.0,1.0,1.0,1.0,0,5
141,31020,0.47,0.53,1.0,1.0,1.0,1.0,1.0,0,6
142,31240,0.473333,0.526667,1.0,1.0,1.0,1.0,1.0,0,7
143,31460,0.476667,0.523333,1.0,1.0,1.0,1.0,1.0,0,8
144,31680,0.48,0.52,1.0,1.0,1.0,1.0,1.0,0,9
145,31900,0.483333,0.516667,1.0,1.0,1.0,1.0,1.0,0,10
146,32120,0.486667,0.513333,1.0,1.0,1.0,1.0,1.0,0,11
147,32340,0.49,0.51,1.0,1.0,1.0,1.0,1.0,0,12
