epoch,global_step,schedule_s,beta_mean_train,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,w_mean,w_median,w_p01,w_p10,w_p25,w_p75,w_p90,w_p99,w_min,w_max,w_std,w_saturation_frac,w_near_lower_frac,delta2_mean,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,220,0.996667,1.0,0.9999593194235455,0.30071288899264553,0.7569295772393657,0.5605414712060751,0.00406809115917316,0.003880268008188895,0.001614086409972515,0.0023618670824692924,0.003083991685046137,0.004907957393549044,0.00590212054653834,0.007380362171600361,0.0014970353922266937,0.007663673151877116,0.0014724816835454972,0.0,0.0,307.92999756552956,0.2335236604291712,0.2335236604291712,25.338423785653596,0.5253862766051486,1.0833507776260376,1.0283370618941088,0.001,144.2389755458571,144.2389755458571,16904.01611328125,1,0,0,best
1,440,0.993333,1.0,0.9999464904720133,0.2116900688883933,0.8056605745445599,0.5255444587631659,0.00535212577405301,0.0050540769493884665,0.0022568018868200437,0.0032812629257519305,0.004098017446019433,0.006320682709867304,0.007685945495243438,0.010044804816557602,0.0021020828483994014,0.010506376082246954,0.0019226456869298337,0.0,0.0,216.77063019492408,0.22650633669342224,0.22650633669342224,nan,nan,nan,nan,0.001,143.2245677250903,287.4635432709474,16904.01611328125,1,1,0,best
2,660,0.99,1.0,0.9999428285793824,0.19934599501165476,0.8146269101988185,0.5279244888912548,0.00571854307887737,0.005404063581425527,0.0023719091542509637,0.0034043379852929235,0.004338450961619277,0.006845532551365482,0.008242415750018236,0.010605831978715617,0.002189401908121495,0.01104239856781946,0.0020704522168009795,0.0,0.0,204.1303000016646,0.19147419762508622,0.19147419762508622,nan,nan,nan,nan,0.001,143.42954322020523,430.89308649115264,16904.01611328125,1,2,0,best
3,880,0.986667,1.0,0.9999393228780139,0.18874533112076194,0.8201883614063263,0.5159305723553355,0.006068791605701501,0.005710937039376321,0.002413533948261333,0.0035734603615393016,0.0045500902289694,0.0072719411733983596,0.008889695315156132,0.011544778536666524,0.0022174723474150102,0.012057923129759729,0.002283463352994824,0.0,0.0,193.27521948380902,0.1963770491170683,0.1963770491170683,nan,nan,nan,nan,0.001,143.30986426305026,574.2029507542029,16904.01611328125,0,2,1,
4,1100,0.983333,1.0,0.9999381497502327,0.18624797236513008,0.822152455151081,0.5273494578897953,0.00618616063782776,0.005789501610508358,0.002461428615523883,0.0036261707163331184,0.0045971238773993475,0.007437738142272627,0.009111111849250102,0.01193663980494338,0.0022663856254604813,0.012508948073214428,0.002369515598878603,0.0,0.0,190.71792321638628,0.18841354793331244,0.18841354793331244,19.164804490833266,0.5657399832143408,0.9025816917419434,0.9440715883668904,0.001,144.08371710800566,718.2866678622086,16904.01611328125,1,4,0,best
5,1320,0.98,1.0,0.9999359930103475,0.18236839862709694,0.8229130070317875,0.5099061720073224,0.006401869869494641,0.005967882981481538,0.002464948313982776,0.0036752410989720373,0.004713789249283515,0.007664910162037069,0.009512047735254534,0.012716199730692263,0.002270120671693638,0.013352802342904563,0.0025473101993239568,0.0,0.0,186.74523970864036,0.19667754639483573,0.19667754639483573,nan,nan,nan,nan,0.001,143.4771144601982,861.7637823224068,16904.01611328125,0,4,1,
6,1540,0.976667,1.0,0.999935008449988,0.18097296346994965,0.8247714747082103,0.5033241855827245,0.006500305646014485,0.006028105663558977,0.002450446552062534,0.003722605911951343,0.0047438880455129865,0.007801602009302852,0.009604700687553057,0.01319351081143726,0.002226104769810759,0.013846550323069095,0.00264375813157213,0.0,0.0,185.31631403836337,0.19065671949379745,0.19065671949379745,nan,nan,nan,nan,0.001,143.62195304199122,1005.385735364398,16904.01611328125,0,4,2,
7,1760,0.973333,1.0,0.9999349718744105,0.180525652454658,0.8252620813521472,0.505132659863342,0.0065038791624829175,0.005996629310009832,0.0024553864757763224,0.003693955032874576,0.004748098891948096,0.007836562224706127,0.009724925211842426,0.013186459545977414,0.002254306371800009,0.013900594974190675,0.002665095512797548,0.0,0.0,184.8582682869651,0.1846614068672127,0.1846614068672127,nan,nan,nan,nan,0.001,143.71612044004723,1149.1018558044452,16904.01611328125,1,7,0,best
8,1980,0.97,1.0,0.9999337642030283,0.1787016057155349,0.8268852185119282,0.507440752603791,0.006624551005238159,0.006155593424442817,0.002424915024047633,0.003705042761496522,0.004791216320485216,0.007987057680094783,0.009948448359500617,0.013455110898410732,0.0021937312684630426,0.014157628938979046,0.002737290175123648,0.0,0.0,182.99044466885653,0.18839337869450964,0.18839337869450964,nan,nan,nan,nan,0.001,143.68546161497943,1292.7873174194247,16904.01611328125,0,7,1,
9,2200,0.966667,1.0,0.9999330024827611,0.17689795202829622,0.8269277699969032,0.5036468169905922,0.006700786399993707,0.006199819879310036,0.002474790458588607,0.0037431145023385233,0.0048455302794040605,0.008044364045120099,0.01004816413412548,0.013846261517822065,0.002266840634481262,0.014639669569971208,0.0028038562706735153,0.0,0.0,181.1435037092729,0.19361991676066326,0.19361991676066326,18.290306467583545,0.5595331705985425,0.8848690986633301,0.9321401938851603,0.001,143.96013351390138,1436.747450933326,16904.01611328125,0,7,2,
