round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
1,220,0.996667,"[0.0,0.1)",1839,0.048515,1.0,0.00352598,0.00352598,364.3991,27.9563,28.2797,1.3572
1,220,0.996667,"[0.1,0.3)",3004,0.191445,1.0,0.0039806,0.0039806,302.1723,29.4178,24.0946,4.4913
1,220,0.996667,"[0.3,0.5)",1591,0.386691,1.0,0.00414505,0.00414505,294.5434,30.415,18.3969,7.0371
1,220,0.996667,"[0.5,0.7)",528,0.578273,1.0,0.0041882,0.0041882,298.6653,30.6678,14.7135,8.4649
1,220,0.996667,"[0.7,1.0)",51,0.756304,1.0,0.00399373,0.00399373,344.2516,30.4486,14.365,10.9013
1,220,0.996667,boundary(r=t),7012,0.0,1.0,0.00421446,0.00421446,298.9956,0.0,0.0,0.0
2,440,0.993333,"[0.0,0.1)",1909,0.049555,1.0,0.00482466,0.00482466,245.3296,30.6979,30.3925,1.4458
2,440,0.993333,"[0.1,0.3)",2958,0.191979,1.0,0.00507813,0.00507813,223.0196,31.8367,24.2888,4.5138
2,440,0.993333,"[0.3,0.5)",1559,0.385548,1.0,0.00554959,0.00554959,203.0536,32.0597,17.4707,6.6762
2,440,0.993333,"[0.5,0.7)",538,0.576038,1.0,0.00573816,0.00573816,205.5414,32.0249,16.2641,9.3759
2,440,0.993333,"[0.7,1.0)",49,0.747878,1.0,0.00526801,0.00526801,322.6953,31.6489,17.1146,12.8092
2,440,0.993333,boundary(r=t),7012,0.0,1.0,0.00553126,0.00553126,209.6795,0.0,0.0,0.0
3,660,0.99,"[0.0,0.1)",1826,0.049748,1.0,0.00535925,0.00535925,222.8259,31.5868,33.1592,1.6062
3,660,0.99,"[0.1,0.3)",2974,0.191437,1.0,0.00535678,0.00535678,213.1134,32.2129,25.7886,4.7637
3,660,0.99,"[0.3,0.5)",1644,0.385488,1.0,0.00557241,0.00557241,206.177,32.3332,18.6947,7.1226
3,660,0.99,"[0.5,0.7)",518,0.577773,1.0,0.00597603,0.00597603,196.5734,31.8713,16.0216,9.2734
3,660,0.99,"[0.7,1.0)",51,0.75201,1.0,0.00532979,0.00532979,255.0126,32.0745,16.6474,12.487
3,660,0.99,boundary(r=t),7012,0.0,1.0,0.00597273,0.00597273,195.606,0.0,0.0,0.0
4,880,0.986667,"[0.0,0.1)",1830,0.049886,1.0,0.0057839,0.0057839,204.6774,31.8223,34.8565,1.6841
4,880,0.986667,"[0.1,0.3)",2997,0.192789,1.0,0.00551714,0.00551714,211.3606,32.5776,27.5129,5.1438
4,880,0.986667,"[0.3,0.5)",1556,0.385573,1.0,0.00588756,0.00588756,201.6376,32.5258,18.6427,7.0659
4,880,0.986667,"[0.5,0.7)",564,0.576005,1.0,0.00630164,0.00630164,182.7737,32.1215,15.7192,9.0475
4,880,0.986667,"[0.7,1.0)",66,0.747546,1.0,0.00555452,0.00555452,234.1302,31.5283,15.4897,11.5881
4,880,0.986667,boundary(r=t),7012,0.0,1.0,0.0063949,0.0063949,181.3267,0.0,0.0,0.0
5,1100,0.983333,"[0.0,0.1)",1883,0.048571,1.0,0.00607431,0.00607431,196.1847,32.1962,34.4426,1.6486
5,1100,0.983333,"[0.1,0.3)",2864,0.193371,1.0,0.00563062,0.00563062,209.3814,32.5807,28.2904,5.3128
5,1100,0.983333,"[0.3,0.5)",1664,0.385611,1.0,0.00582784,0.00582784,205.3727,32.7207,19.3662,7.3626
5,1100,0.983333,"[0.5,0.7)",545,0.572813,1.0,0.00616936,0.00616936,183.8933,32.3824,16.054,9.1824
5,1100,0.983333,"[0.7,1.0)",57,0.75265,1.0,0.00567479,0.00567479,210.7235,32.334,15.9697,12.0187
5,1100,0.983333,boundary(r=t),7012,0.0,1.0,0.00652905,0.00652905,178.7604,0.0,0.0,0.0
6,1320,0.98,"[0.0,0.1)",1837,0.050084,1.0,0.00629592,0.00629592,193.4813,32.1323,34.4808,1.6975
6,1320,0.98,"[0.1,0.3)",2981,0.193185,1.0,0.00584619,0.00584619,205.8211,32.727,27.86,5.252
6,1320,0.98,"[0.3,0.5)",1595,0.386363,1.0,0.00586706,0.00586706,211.3715,32.6748,19.565,7.4332
6,1320,0.98,"[0.5,0.7)",550,0.573665,1.0,0.0064554,0.0064554,175.7623,32.3981,15.1915,8.7136
6,1320,0.98,"[0.7,1.0)",50,0.751562,1.0,0.0057961,0.0057961,207.9493,31.6938,14.5325,10.9124
6,1320,0.98,boundary(r=t),7012,0.0,1.0,0.00679191,0.00679191,171.6824,0.0,0.0,0.0
7,1540,0.976667,"[0.0,0.1)",1857,0.049109,1.0,0.00659327,0.00659327,186.1312,32.3062,34.2702,1.627
7,1540,0.976667,"[0.1,0.3)",2919,0.194209,1.0,0.00582435,0.00582435,212.062,32.6846,29.0008,5.5215
7,1540,0.976667,"[0.3,0.5)",1642,0.388073,1.0,0.00583711,0.00583711,210.1432,32.7125,19.8744,7.5775
7,1540,0.976667,"[0.5,0.7)",539,0.571491,1.0,0.00656181,0.00656181,174.2334,32.6337,15.3151,8.7285
7,1540,0.976667,"[0.7,1.0)",56,0.75329,1.0,0.00639084,0.00639084,186.3865,32.0585,15.0646,11.3008
