corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_wesad,MAE,1,lower_better,0.7593386355964269,0.7787871895273215,-0.01944855393089459,-0.02555564407922663,-0.01334146378256255,-0.02169254007900546,-0.01728059453685226,0.16986598664090513,2
u2_wesad,MAE,2,lower_better,0.7593386355964269,0.7781892965766231,-0.01885066098019615,-0.025937161272847127,-0.011764160687545176,-0.02114055011019334,-0.01663643687067897,0.16986598664090513,2
u2_wesad,MAE,4,lower_better,0.7593386355964269,0.775038923888385,-0.01570028829195815,-0.022955722951014983,-0.008444853632901315,-0.018005496285502676,-0.013433139604094809,0.16986598664090513,2
u2_wesad,RMSE,1,lower_better,0.8937411050576745,0.9197095119824302,-0.02596840692475571,-0.03276849280376021,-0.019168321045751207,-0.028313064561062702,-0.023612603824320098,0.22887716415430337,2
u2_wesad,RMSE,2,lower_better,0.8937411050576745,0.9179730413301064,-0.02423193627243195,-0.03211614673211621,-0.01634772581274769,-0.02670503716287683,-0.021942496872658167,0.22887716415430337,2
u2_wesad,RMSE,4,lower_better,0.8937411050576745,0.9138225164518586,-0.02008141139418419,-0.02828649062090413,-0.011876332167464247,-0.022601735069478768,-0.01770054758252282,0.22887716415430337,2
u2_wesad,RR,1,lower_better,5.020188247712879,5.12689127375088,-0.10670302603800141,-0.15306122448979592,-0.060344827586206906,-0.30310960591133007,0.08270657400891387,0.786608608960826,2
u2_wesad,RR,2,lower_better,5.020188247712879,5.119575416373446,-0.09938716866056768,-0.1096938775510204,-0.08908045977011494,-0.29750469153178516,0.09660230471498928,0.786608608960826,2
u2_wesad,RR,4,lower_better,5.020188247712879,5.122962115880835,-0.10277386816795685,-0.14942528735632185,-0.05612244897959184,-0.30317374794745483,0.10147196809758384,0.786608608960826,2
u2_wesad,Resp_corr,1,higher_better,0.038099616244831117,0.0017574423888191625,-0.03634217385601196,-0.04442590535659862,-0.0282584423554253,-0.043236159616048986,-0.030210885740128687,0.10751818334495457,2
u2_wesad,Resp_corr,2,higher_better,0.038099616244831117,0.002032732458509283,-0.036066883786321835,-0.04452631448933208,-0.027607453083311594,-0.04303894662165894,-0.02994763142297561,0.10751818334495457,2
u2_wesad,Resp_corr,4,higher_better,0.038099616244831117,0.00217723276927967,-0.03592238347555145,-0.04437425449972772,-0.027470512451375176,-0.04268888577694212,-0.029844821421787494,0.10751818334495457,2
