corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_dalia,HR,1,lower_better,10.632432224071096,15.569683555083262,-4.937251331012169,-5.022290201120831,-4.852212460903506,-5.153903480466552,-4.726120045927788,22.578097356151815,2
u2_dalia,HR,2,lower_better,10.632432224071096,14.529723420763222,-3.8972911966921284,-4.052154387212303,-3.7424280061719544,-4.0911500968930605,-3.6953868317803464,22.578097356151815,2
u2_dalia,HR,4,lower_better,10.632432224071096,13.720202244334146,-3.0877700202630525,-3.2781353624399574,-2.8974046780861475,-3.271091502580992,-2.903246477153799,22.578097356151815,2
u2_dalia,MAE,1,lower_better,0.334020615990848,0.3646370665772752,-0.030616450586427157,-0.09267972405425463,0.03144682288140032,-0.03269254664852988,-0.028344967585806395,0.11018150929076842,2
u2_dalia,MAE,2,lower_better,0.334020615990848,0.36640710809314425,-0.032386492102296265,-0.06923850674986824,0.004465522545275709,-0.0342433515869041,-0.03054758280492355,0.11018150929076842,2
u2_dalia,MAE,4,lower_better,0.334020615990848,0.37288541635881106,-0.03886480036796307,-0.06998618977359886,-0.007743410962327284,-0.0406686569430982,-0.037120457081806495,0.11018150929076842,2
u2_dalia,MAE_HR,1,lower_better,10.632432224071096,15.569683555083262,-4.937251331012169,-5.022290201120831,-4.852212460903506,-5.153903480466552,-4.726120045927788,22.578097356151815,2
u2_dalia,MAE_HR,2,lower_better,10.632432224071096,14.529723420763222,-3.8972911966921284,-4.052154387212303,-3.7424280061719544,-4.0911500968930605,-3.6953868317803464,22.578097356151815,2
u2_dalia,MAE_HR,4,lower_better,10.632432224071096,13.720202244334146,-3.0877700202630525,-3.2781353624399574,-2.8974046780861475,-3.271091502580992,-2.903246477153799,22.578097356151815,2
u2_dalia,RMSE,1,lower_better,0.4328416737969272,0.4479670931607711,-0.015125419363844001,-0.06420843778404514,0.03395759905635714,-0.016843040011055667,-0.013243604408207257,0.13162945768823658,2
u2_dalia,RMSE,2,lower_better,0.4328416737969272,0.4537203485801084,-0.02087867478318126,-0.05000340933972547,0.008246059773362948,-0.022412278583874956,-0.01932423352318624,0.13162945768823658,2
u2_dalia,RMSE,4,lower_better,0.4328416737969272,0.4601806110935118,-0.027338937296584747,-0.05152636495114214,-0.0031515096420273543,-0.02886387426710555,-0.025867171907552295,0.13162945768823658,2
u2_dalia,RR_MAE_ms,1,lower_better,32.41114280348326,33.22261607023281,-1.0154409615561595,-1.2359886468418626,-0.7948932762704565,-2.0806093508879844,0.04495308320964658,3.180039952980465,2
u2_dalia,RR_MAE_ms,2,lower_better,32.41114280348326,33.72034020842493,-1.3891963286018378,-1.5846026719674555,-1.1937899852362204,-2.425859896543408,-0.42127819865083393,3.180039952980465,2
u2_dalia,RR_MAE_ms,4,lower_better,32.41114280348326,33.35907697039785,-1.0179124871399177,-1.0194444444444444,-1.0163805298353912,-1.9948497994829242,-0.08426352451629568,3.180039952980465,2
u2_dalia,Rpeak_F1,1,higher_better,0.14000547528056267,0.1448170034339632,0.004811528153400531,0.004574208339946717,0.0050488479668543435,0.002612339163692923,0.007004431062944276,0.06950259063557286,2
u2_dalia,Rpeak_F1,2,higher_better,0.14000547528056267,0.14481809189815337,0.004812616617590697,0.0037578342513883275,0.005867398983793066,0.002536811635985585,0.006989946666634711,0.06950259063557286,2
u2_dalia,Rpeak_F1,4,higher_better,0.14000547528056267,0.14147294219990536,0.0014674669193427022,0.0005921852300591504,0.002342748608626254,-0.0006023409306069654,0.0035914098343636713,0.06950259063557286,2
