corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_mimicbp,DBP,1,lower_better,12.552641698406733,23.7633317182398,-11.210690019833066,-11.713541937036565,-10.670955098940695,-11.314425962128254,-11.10776115628269,1.4853839730912082,229
u2_mimicbp,DBP,2,lower_better,12.552641698406733,23.434580758789625,-10.881939060382885,-11.385640664714511,-10.340869424134482,-10.985316116839076,-10.773541555314164,1.4853839730912082,229
u2_mimicbp,DBP,4,lower_better,12.552641698406733,22.345638770483703,-9.792997072076975,-10.295488638632802,-9.263992904015023,-9.897463500645882,-9.684340120465075,1.4853839730912082,229
u2_mimicbp,MAE,1,lower_better,13.961412315626983,26.416411575301137,-12.454999259674153,-12.845917132647344,-12.079169797250563,-12.516768562895576,-12.394573477352436,1.1992823060645428,229
u2_mimicbp,MAE,2,lower_better,13.961412315626983,24.729675406548342,-10.768263090921357,-11.139461958063873,-10.41249580917241,-10.827637536901111,-10.706384284897487,1.1992823060645428,229
u2_mimicbp,MAE,4,lower_better,13.961412315626983,23.986599941325625,-10.025187625698644,-10.416777514109313,-9.648823332629727,-10.085160720761722,-9.960634299381592,1.1992823060645428,229
u2_mimicbp,RMSE,1,lower_better,16.62223636253653,32.422977861270155,-15.800741498733625,-16.229092207884648,-15.402850133809252,-15.86186594446221,-15.739164910224961,1.695345668473884,229
u2_mimicbp,RMSE,2,lower_better,16.62223636253653,30.402981178017544,-13.780744815481013,-14.229333606827968,-13.372287606461324,-13.846962534441916,-13.713370203570557,1.695345668473884,229
u2_mimicbp,RMSE,4,lower_better,16.62223636253653,29.58108646847608,-12.95885010593955,-13.433595838770861,-12.519738756181027,-13.029019321148226,-12.888084884182433,1.695345668473884,229
u2_mimicbp,SBP,1,lower_better,15.0965019478508,22.002671140530467,-6.9061691926796644,-7.830921901814042,-5.945120618805455,-7.117637016463288,-6.691830958093138,0.9793800972915161,229
u2_mimicbp,SBP,2,lower_better,15.0965019478508,14.374591061121512,0.7219108867292882,0.47898674462119484,0.9706115933364774,0.6367843852573327,0.804509448748849,0.9793800972915161,229
u2_mimicbp,SBP,4,lower_better,15.0965019478508,14.271898165540403,0.8246037823103963,0.24918802110468885,1.3904748409355807,0.6736150490024325,0.9709479734807116,0.9793800972915161,229
