corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_ucibp,DBP,1,lower_better,9.593212790807089,15.864465587377548,-6.27125279657046,-6.27125279657046,-6.27125279657046,-6.412998926291863,-6.130360370119413,0.6811519290606185,1
u2_ucibp,DBP,2,lower_better,9.593212790807089,9.255406220912933,0.33780656989415486,0.33780656989415486,0.33780656989415486,0.27017201288143794,0.4111543989300727,0.6811519290606185,1
u2_ucibp,DBP,4,lower_better,9.593212790807089,9.134575035095216,0.4586377557118734,0.4586377557118734,0.4586377557118734,0.352333789841334,0.5756279989997545,0.6811519290606185,1
u2_ucibp,MAE,1,lower_better,15.549205499381758,25.82995465126913,-10.280749151887372,-10.280749151887372,-10.280749151887372,-10.45857905253769,-10.106020774057482,1.68053994832343,1
u2_ucibp,MAE,2,lower_better,15.549205499381758,22.406777413260812,-6.857571913879054,-6.857571913879054,-6.857571913879054,-6.959704406430844,-6.7524667657845425,1.68053994832343,1
u2_ucibp,MAE,4,lower_better,15.549205499381758,23.47920875031237,-7.930003250930613,-7.930003250930613,-7.930003250930613,-8.021978871132209,-7.836363441264618,1.68053994832343,1
u2_ucibp,RMSE,1,lower_better,19.24329155290095,32.519627002431605,-13.276335449530661,-13.276335449530661,-13.276335449530661,-13.474770089675339,-13.073987965036665,2.5097351465722753,1
u2_ucibp,RMSE,2,lower_better,19.24329155290095,28.56447197333509,-9.321180420434143,-9.321180420434143,-9.321180420434143,-9.45508837069644,-9.186084990061442,2.5097351465722753,1
u2_ucibp,RMSE,4,lower_better,19.24329155290095,29.260897168006874,-10.017605615105929,-10.017605615105929,-10.017605615105929,-10.124813525195076,-9.906204723630296,2.5097351465722753,1
u2_ucibp,SBP,1,lower_better,26.470126231193543,19.76227151552836,6.7078547156651815,6.7078547156651815,6.7078547156651815,6.297556698330243,7.131523455015818,8.60910049279531,1
u2_ucibp,SBP,2,lower_better,26.470126231193543,23.33252082983653,3.137605401357015,3.137605401357015,3.137605401357015,2.841128066333135,3.441993910360336,8.60910049279531,1
u2_ucibp,SBP,4,lower_better,26.470126231193543,26.367969107627868,0.10215712356567383,0.10215712356567383,0.10215712356567383,-0.16864910689989726,0.37501912604967713,8.60910049279531,1
