corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_bidmc,MAE,1,lower_better,0.8032252954899972,0.8262707353715351,-0.023045439881537712,-0.05646306649277137,0.009208334173966772,-0.036026583962240205,-0.011487220588620735,0.09373638176069998,8
u2_bidmc,MAE,2,lower_better,0.8032252954899972,0.8298696509239907,-0.02664435543399341,-0.05820647128606512,0.0041477369575256,-0.03983114660277127,-0.015154031975189412,0.09373638176069998,8
u2_bidmc,MAE,4,lower_better,0.8032252954899972,0.8306701729533417,-0.02744487746334436,-0.05773622741028913,0.002277648794615981,-0.04047637507329749,-0.01601535352892802,0.09373638176069998,8
u2_bidmc,RMSE,1,lower_better,0.9576085324300767,0.978035582401604,-0.020427049971527216,-0.05383885998186803,0.012770029533904412,-0.033701974475498615,-0.008405083625431688,0.136720800813517,8
u2_bidmc,RMSE,2,lower_better,0.9576085324300767,0.9835751151487899,-0.025966582718713237,-0.05771153716401867,0.006011729730000958,-0.03940167912415903,-0.014217417451889779,0.136720800813517,8
u2_bidmc,RMSE,4,lower_better,0.9576085324300767,0.9867734028002774,-0.029164870370200626,-0.05999927083950864,0.0016420084651664012,-0.04271575381771535,-0.01747290465979288,0.136720800813517,8
u2_bidmc,RR,1,lower_better,2.80859375,3.55078125,-0.7421875,-1.2109375,-0.34375,-1.1328125,-0.37890625,0.4296875,8
u2_bidmc,RR,2,lower_better,2.80859375,3.48046875,-0.671875,-1.16015625,-0.2265625,-1.06259765625,-0.3046875,0.4296875,8
u2_bidmc,RR,4,lower_better,2.80859375,3.5625,-0.75390625,-1.125,-0.44921875,-1.17197265625,-0.35146484375000053,0.4296875,8
u2_bidmc,Resp_corr,1,higher_better,0.0030903396632351934,-0.001090167987642875,-0.004180507650878074,-0.0598411787067777,0.05049025552049805,-0.027373943835225067,0.017734207865353967,0.008906466030941008,8
u2_bidmc,Resp_corr,2,higher_better,0.0030903396632351934,-0.0009462166263715663,-0.004036556289606761,-0.05683108544593371,0.04940884170368063,-0.027126538066492636,0.017824836949920857,0.008906466030941008,8
u2_bidmc,Resp_corr,4,higher_better,0.0030903396632351934,8.801075263404744e-05,-0.003002328910601145,-0.05307707314710003,0.04821107803112019,-0.026047153954053704,0.018632557732611996,0.008906466030941008,8
