corpus,metric,k,orient,armC_nfe50,armI_nfek,diff_positive_means_I_better,ci_lo,ci_hi,within_subject_ci_lo,within_subject_ci_hi,armC_span_nfe1_to_50,n_subjects
u2_dalia,HR,1,lower_better,10.097656370722344,13.403544216179949,-3.3058878454576055,-4.332384236539999,-2.279391454375212,-3.5231297802453834,-3.0948877768153213,23.811610879366885,2
u2_dalia,HR,2,lower_better,10.097656370722344,11.543349288398321,-1.4456929176759776,-2.3291177114961337,-0.5622681238558215,-1.6469559995385727,-1.2455398384037992,23.811610879366885,2
u2_dalia,HR,4,lower_better,10.097656370722344,10.921778600421831,-0.8241222296994866,-1.6397941907151654,-0.008450268683807783,-1.0209727872674936,-0.6317496119522441,23.811610879366885,2
u2_dalia,MAE,1,lower_better,0.32405697704448555,0.3514666007201951,-0.027409623675709552,-0.031012686019652465,-0.02380656133176664,-0.02872330717381352,-0.02611624761084393,0.08311119440239756,2
u2_dalia,MAE,2,lower_better,0.32405697704448555,0.36108797671984216,-0.03703099967535657,-0.04507069035848004,-0.028991308992233098,-0.03838956483140704,-0.03570085932063436,0.08311119440239756,2
u2_dalia,MAE,4,lower_better,0.32405697704448555,0.35952932704860363,-0.03547235000411805,-0.0398021024002348,-0.031142597608001307,-0.03682174258136714,-0.03415569041139963,0.08311119440239756,2
u2_dalia,MAE_HR,1,lower_better,10.097656370722344,13.403544216179949,-3.3058878454576055,-4.332384236539999,-2.279391454375212,-3.5231297802453834,-3.0948877768153213,23.811610879366885,2
u2_dalia,MAE_HR,2,lower_better,10.097656370722344,11.543349288398321,-1.4456929176759776,-2.3291177114961337,-0.5622681238558215,-1.6469559995385727,-1.2455398384037992,23.811610879366885,2
u2_dalia,MAE_HR,4,lower_better,10.097656370722344,10.921778600421831,-0.8241222296994866,-1.6397941907151654,-0.008450268683807783,-1.0209727872674936,-0.6317496119522441,23.811610879366885,2
u2_dalia,RMSE,1,lower_better,0.41855736627440443,0.43988876343709715,-0.021331397162692667,-0.025980643188590242,-0.016682151136795092,-0.022425738031563225,-0.020237138463129738,0.10920218410535137,2
u2_dalia,RMSE,2,lower_better,0.41855736627440443,0.45010125992340805,-0.03154389364900356,-0.03800393651910189,-0.025083850778905244,-0.03273063109596136,-0.030390280914267383,0.10920218410535137,2
u2_dalia,RMSE,4,lower_better,0.41855736627440443,0.4485759039457887,-0.030018537671384325,-0.03336422743544307,-0.026672847907325582,-0.031125281162360234,-0.02887550168554164,0.10920218410535137,2
u2_dalia,RR_MAE_ms,1,lower_better,31.926066160346682,31.407088838029313,-0.3017246464392183,-0.7390459656084656,0.13559667273002893,-1.3190063804723822,0.7079437045079623,0.9741642641417307,2
u2_dalia,RR_MAE_ms,2,lower_better,31.926066160346682,31.85254716677197,-0.0017559746032912195,-0.04816828547297307,0.04465633626639063,-0.8520919850167316,0.9168127019156238,0.9741642641417307,2
u2_dalia,RR_MAE_ms,4,lower_better,31.926066160346682,31.906423094897868,0.06214650875751798,-0.15768023835417805,0.281973255869214,-0.7824598069430515,0.9027555294855883,0.9741642641417307,2
u2_dalia,Rpeak_F1,1,higher_better,0.14711719635981113,0.13808857549261289,-0.009028620867198266,-0.010237179082080338,-0.007820062652316192,-0.011355578147306216,-0.006641081655070442,0.08589696849659849,2
u2_dalia,Rpeak_F1,2,higher_better,0.14711719635981113,0.13991631868316365,-0.007200877676647503,-0.008163845108947897,-0.0062379102443471095,-0.009389629568313495,-0.004999364624480237,0.08589696849659849,2
u2_dalia,Rpeak_F1,4,higher_better,0.14711719635981113,0.13961117539645107,-0.0075060209633600865,-0.008650143110676056,-0.006361898816044116,-0.009616167271752239,-0.0053375101010473295,0.08589696849659849,2
