K,S,B_vector_field_NFE,encoder_decoder_calls,hamilton_err,hamilton_lo,hamilton_hi,hamilton_coverage,hamilton_nested_err,project_err,project_lo,project_hi,latency_seq_batch1_ms,latency_batched_ms,per_sample_rpeak_F1,per_sample_RMSE
1,5,5,3,6.141762843453454,5.74724992688458,6.552933224631898,0.9866850321395776,5.946006670500778,7.850489286940395,7.365085301278063,8.352310809816561,19.935626070946455,20.0645518489182,0.12370923748980353,1.2230570252875042
1,10,10,3,6.157166681840775,5.7701221526826565,6.569338993889356,0.9890178523199914,6.001327987204965,7.762354929387869,7.294854531450904,8.239871629589697,30.033137882128358,30.116800917312503,0.12743448285873898,1.229186905084002
2,5,10,6,5.917007625566515,5.533437856554053,6.323903888577796,0.9984267811807919,5.875041395110951,7.536399368580233,7.057189929129838,8.028921720319014,39.5721304230392,20.39790595881641,0.12370923748980353,1.2230570252875042
1,15,15,3,6.165208217011037,5.781712087977723,6.573262891591058,0.990206206449522,6.0219474682690945,7.777179441569989,7.315957019797614,8.251235879431613,40.08067212998867,40.301806991919875,0.12853382599190033,1.2281563027262432
3,5,15,9,5.7203200020297125,5.336918673209142,6.120506127024069,0.9997839356128126,5.709329445993705,7.006222621477215,6.522781454771446,7.505452674162673,59.99861075542867,21.264014998450875,0.12370923748980353,1.2230570252875042
1,20,20,3,6.19124753821375,5.8087908590521184,6.59607534893452,0.9909151677199806,5.9896485798782795,7.792244970441939,7.333592800213772,8.269305251824212,50.35043298266828,51.00322188809514,0.128996044426545,1.2264652630714448
2,10,20,6,5.953060743541449,5.5724386067474025,6.358354531877703,0.9991222384270513,5.857207463845077,7.308936145237832,6.854679544408418,7.779052482532972,61.40673393383622,30.901723075658083,0.12743448285873898,1.229186905084002
4,5,20,12,5.649572615401523,5.266578117374595,6.051124407497844,0.9999729919516016,5.644413245438765,6.88096957594482,6.397549612456767,7.373639989897419,79.16985172778368,26.310860877856612,0.12370923748980353,1.2230570252875042
1,25,25,3,6.198382261430905,5.815097156251736,6.605274659485141,0.9913405444822557,6.003266225958479,7.818509947910435,7.360742474845642,8.296091748130104,63.22717689909041,60.40695100091398,0.12928870232594664,1.2249981672968409
5,5,25,15,5.610570123765239,5.227319006472757,6.012416812012238,0.9999819946344011,5.6338983279180255,6.721488187382232,6.23826190928759,7.216294340097185,98.88460044749081,24.695201078429818,0.12370923748980353,1.2230570252875042
16,5,80,48,5.484025503700975,5.101391513009071,5.884161123802228,1.0,5.484025503700975,6.351017661816057,5.864642029259425,6.839963465932042,316.6995197534561,32.996441004797816,0.12370923748980353,1.2230570252875042
16,10,160,48,5.5396692475334826,5.156614201388818,5.9431982759547815,1.0,5.5396692475334826,5.801841490380462,5.336530721491412,6.288444409094173,478.68775948882103,46.37147788889706,0.12743448285873898,1.229186905084002
16,15,240,48,5.559724829711469,5.179471942205612,5.963306958612828,1.0,5.559724829711469,5.729415511901397,5.266559142775018,6.213633167220477,643.0783830583096,56.44375807605684,0.12853382599190033,1.2281563027262432
16,20,320,48,5.572531288193918,5.190346256117479,5.973889266343202,1.0,5.572531288193918,5.7046288950557615,5.245162844084885,6.1892715063153005,834.4857133924961,66.67787488549948,0.128996044426545,1.2264652630714448
16,25,400,48,5.576218440661396,5.19281946399339,5.977536876165559,1.0,5.576218440661396,5.71873327058634,5.25716620887118,6.20280850798886,968.4882387518883,77.08816509693861,0.12928870232594664,1.2249981672968409
