patient,n_windows,n_omega_hr,ham_K1_S5,ham_K1_S10,ham_K2_S5,ham_K1_S15,ham_K3_S5,ham_K1_S20,ham_K2_S10,ham_K4_S5,ham_K1_S25,ham_K5_S5,ham_K16_S5,ham_K16_S10,ham_K16_S15,ham_K16_S20,ham_K16_S25,proj_K1_S5,proj_K1_S10,proj_K2_S5,proj_K1_S15,proj_K3_S5,proj_K1_S20,proj_K2_S10,proj_K4_S5,proj_K1_S25,proj_K5_S5,proj_K16_S5,proj_K16_S10,proj_K16_S15,proj_K16_S20,proj_K16_S25,ppg_findpeaks,ppg_official,mech_I_S5,mech_C_S5,mech_G_S5,mech_SD_S5,mech_MAD_S5,mech_wRMS_S5,mech_I_S10,mech_C_S10,mech_G_S10,mech_SD_S10,mech_MAD_S10,mech_wRMS_S10,mech_I_S15,mech_C_S15,mech_G_S15,mech_SD_S15,mech_MAD_S15,mech_wRMS_S15,mech_I_S20,mech_C_S20,mech_G_S20,mech_SD_S20,mech_MAD_S20,mech_wRMS_S20,mech_I_S25,mech_C_S25,mech_G_S25,mech_SD_S25,mech_MAD_S25,mech_wRMS_S25
3434,16.0,16.0,12.005022,10.830815,11.63231,11.571519,11.679568,12.353148,10.354118,10.989738,12.191882,10.872006,10.894529,10.077138,10.329647,10.446911,10.191952,28.961499,28.749595,27.950756,28.756426,28.802504,28.075999,27.882097,27.816741,27.262144,28.000286,26.795106,26.609209,26.563078,26.14835,24.734172,13.689354,,0.302794,0.185686,0.117107,0.296226,0.173004,0.966642,0.314689,0.182971,0.131718,0.324612,0.185028,1.035568,0.568106,0.188769,0.379337,1.247598,0.201226,1.053886,0.469883,0.181019,0.288864,0.854065,0.216657,1.060373,0.590881,0.183693,0.407187,1.290466,0.214577,1.064158
3442,15.0,15.0,0.294244,0.400223,0.276899,0.347721,0.267851,0.354161,0.376219,0.250609,0.367004,0.252728,0.236092,0.22392,0.224747,0.22428,0.22025,0.288579,0.342821,0.261773,0.350519,0.250726,0.352905,0.312553,0.225914,0.379135,0.219598,0.196297,0.201653,0.200423,0.198113,0.200293,2.345462,,0.294244,0.236092,0.058153,0.201783,0.127054,1.03164,0.400223,0.22392,0.176303,0.612979,0.149802,1.087982,0.347721,0.224747,0.122974,0.384814,0.161631,1.10583,0.354161,0.22428,0.12988,0.388331,0.169865,1.113476,0.367004,0.22025,0.146754,0.439059,0.178755,1.117502
3454,15.0,15.0,4.279154,4.501884,4.250761,4.363266,4.131692,4.421113,4.401123,4.13198,4.417291,4.119455,4.115037,4.114643,4.119877,4.126423,4.118983,9.183928,9.113547,9.153512,9.089662,9.232292,9.053207,9.059572,9.226092,9.068293,9.214022,9.206305,9.205949,9.205337,9.205009,9.209602,4.282067,,4.279154,4.115037,0.164117,0.589278,0.142894,1.043969,4.501884,4.114643,0.387241,1.86742,0.162797,1.100119,4.363266,4.119877,0.243389,1.283588,0.167293,1.117586,4.421113,4.126423,0.29469,1.508174,0.17524,1.124215,4.417291,4.118983,0.298308,1.608443,0.178789,1.127517
3460,16.0,16.0,10.256462,10.962247,9.395426,10.334176,9.478646,9.879592,10.198718,9.759084,10.013714,9.087561,8.798757,8.858693,9.657746,8.146413,8.808735,12.219576,14.701437,11.712895,13.62448,11.9037,14.222187,13.363957,11.011467,13.363089,7.877365,6.708248,9.965045,10.250946,9.75117,9.491823,6.642753,,1.793699,1.53108,0.262619,1.324737,0.432067,0.950663,1.816558,1.456728,0.35983,1.620337,0.532956,1.036703,2.102991,1.328201,0.77479,2.398094,0.571864,1.056436,2.361672,1.328127,1.033545,3.234595,0.610751,1.061568,2.406344,1.331453,1.074891,3.306296,0.548449,1.063982
3479,15.0,15.0,18.024875,16.400782,17.057159,15.860535,15.580137,16.627945,15.517007,15.745104,16.36121,15.633486,15.14297,14.233639,13.713656,14.276888,14.353997,19.091051,16.424218,18.415842,16.51479,18.035699,16.574551,15.209337,17.6024,16.696945,17.688689,17.766339,12.039972,11.36114,11.493265,11.966768,18.96817,,21.206192,20.878172,0.32802,4.511384,1.647592,0.972795,21.317677,20.733242,0.584435,3.630406,1.582742,1.025081,21.134217,20.464555,0.669662,4.80103,2.013179,1.030558,21.444129,20.426823,1.017306,4.963563,2.363184,1.029721,21.368553,20.317126,1.051427,4.496507,2.505592,1.028245
3483,15.0,15.0,37.943002,37.227229,37.844711,37.256253,37.636461,37.126801,37.174192,37.951979,37.149764,37.682649,37.973199,36.883465,37.137841,36.806575,36.624292,22.628023,22.926689,21.734201,22.274941,22.469336,22.316654,21.596651,22.313262,22.154145,21.956905,22.40923,21.033167,20.572834,20.333911,20.498404,38.613447,,38.819742,38.821358,-0.001616,0.262228,0.101743,0.97677,38.806124,38.821697,-0.015573,0.355867,0.131618,1.034945,38.808092,38.813636,-0.005544,0.402155,0.134614,1.052443,38.726534,38.812029,-0.085495,0.536115,0.222923,1.060425,38.659393,38.809626,-0.150232,0.606023,0.248577,1.064725
3486,16.0,16.0,3.424675,3.767879,2.911682,3.884806,3.01814,4.528742,3.44752,3.003829,4.486619,3.007799,2.852849,3.192639,3.207554,3.358452,3.442071,7.230387,6.058958,7.281171,6.752432,6.93717,6.231375,6.061104,7.291493,6.225962,7.075596,6.96068,6.411794,6.76358,5.97545,5.682617,3.294916,,2.774916,3.056316,-0.2814,1.505148,0.547303,1.043152,3.200433,3.157846,0.042587,0.755373,0.47537,1.092101,3.446606,3.286322,0.160284,1.156399,0.463462,1.103532,3.555774,3.298949,0.256825,2.387491,0.553555,1.106661,3.951637,3.528308,0.423329,2.443162,0.440285,1.107734
3488,15.0,15.0,0.87741,0.908307,0.853766,0.913169,0.326617,0.843514,0.876452,0.433401,0.965681,0.423743,0.175429,0.351013,0.797988,0.560008,0.799305,2.392681,3.683781,2.354669,3.606127,0.848158,3.825513,3.630688,1.198165,3.924892,0.81417,0.767168,0.789728,0.804097,1.018676,1.024141,0.69804,,0.87741,0.175429,0.701982,1.544603,0.142638,0.966652,0.908307,0.351013,0.557294,1.515824,0.360919,1.032798,0.913169,0.797988,0.115181,1.245908,0.696828,1.052209,0.843514,0.560008,0.283506,1.192425,0.55747,1.060699,0.965681,0.799305,0.166376,1.448147,0.701403,1.065105
3498,15.0,15.0,2.542539,2.32635,2.301844,2.300742,1.8167,2.178367,2.075865,2.062494,2.149928,1.77532,1.419541,1.527473,1.546867,1.313621,1.355819,5.732441,3.852035,5.371978,4.034173,6.329491,4.076069,3.960151,5.14171,3.771485,5.639665,4.656075,2.808159,3.088135,3.701832,2.944309,8.298212,,1.684684,1.210193,0.474491,1.215386,0.606691,0.999165,1.401478,1.058292,0.343186,1.035439,0.539078,1.066571,1.219151,0.887771,0.33138,1.01005,0.656322,1.084987,1.103501,0.827737,0.275764,1.088782,0.54057,1.091814,1.090533,0.80285,0.287683,1.200358,0.442058,1.094681
3504,15.0,15.0,44.104419,42.594857,43.390755,42.620344,43.164258,42.854966,42.340071,43.051495,42.315467,43.196273,42.944196,42.100098,42.342432,42.363255,42.401594,40.238135,39.876057,39.154182,39.204006,41.219025,39.577585,39.229494,40.803264,39.441114,40.762986,40.185801,39.917503,39.206953,39.177669,39.307861,45.876032,,47.174891,47.196311,-0.02142,0.332716,0.130854,1.008187,47.090382,47.206545,-0.116163,0.513623,0.167073,1.057208,47.088495,47.211549,-0.123053,0.521617,0.169394,1.070058,47.05729,47.197412,-0.140122,0.544274,0.182948,1.074599,46.832824,47.19577,-0.362946,1.351408,0.203855,1.076692
