patient,n_windows,n_omega_hr,ham_K1_S5,ham_K1_S10,ham_K2_S5,ham_K1_S15,ham_K3_S5,ham_K1_S20,ham_K2_S10,ham_K4_S5,ham_K1_S25,ham_K5_S5,ham_K16_S5,ham_K16_S10,ham_K16_S15,ham_K16_S20,ham_K16_S25,proj_K1_S5,proj_K1_S10,proj_K2_S5,proj_K1_S15,proj_K3_S5,proj_K1_S20,proj_K2_S10,proj_K4_S5,proj_K1_S25,proj_K5_S5,proj_K16_S5,proj_K16_S10,proj_K16_S15,proj_K16_S20,proj_K16_S25,ppg_findpeaks,ppg_official,mech_I_S5,mech_C_S5,mech_G_S5,mech_SD_S5,mech_MAD_S5,mech_wRMS_S5,mech_I_S10,mech_C_S10,mech_G_S10,mech_SD_S10,mech_MAD_S10,mech_wRMS_S10,mech_I_S15,mech_C_S15,mech_G_S15,mech_SD_S15,mech_MAD_S15,mech_wRMS_S15,mech_I_S20,mech_C_S20,mech_G_S20,mech_SD_S20,mech_MAD_S20,mech_wRMS_S20,mech_I_S25,mech_C_S25,mech_G_S25,mech_SD_S25,mech_MAD_S25,mech_wRMS_S25
4,15.0,15.0,0.243786,0.259116,0.214595,0.273008,0.205881,0.278928,0.221677,0.204208,0.336614,0.200152,0.168466,0.175346,0.178169,0.18151,0.176972,0.484641,0.90773,0.454969,1.240346,0.280084,1.322893,0.866023,0.276001,1.350257,0.276365,0.266521,0.258962,0.263474,0.267503,0.259166,0.243876,,0.243786,0.168466,0.07532,0.168195,0.110839,0.998424,0.259116,0.175346,0.08377,0.195497,0.126255,1.058577,0.273008,0.178169,0.094839,0.211991,0.138227,1.075979,0.278928,0.18151,0.097418,0.221878,0.138149,1.083534,0.336614,0.176972,0.159643,0.477304,0.145231,1.087716
5,15.0,15.0,3.184772,4.39179,3.037993,4.033275,1.73539,3.779409,4.619791,2.165177,4.489936,1.736634,1.566117,2.725875,2.909722,2.739387,2.93855,6.927168,7.005503,6.456433,7.16329,5.086927,7.146277,6.814795,5.306528,7.233563,5.131779,5.288416,5.139472,4.818171,4.665989,4.706107,2.542117,,0.611318,0.367044,0.244274,0.843187,0.174887,1.026564,0.818582,0.328194,0.490387,1.476591,0.225786,1.089025,1.091158,0.306078,0.785079,2.292155,0.242943,1.1061,1.091842,0.319222,0.77262,2.35754,0.275098,1.111874,1.115073,0.299637,0.815436,2.543515,0.258574,1.114355
6,15.0,15.0,16.789748,16.767925,16.676715,16.766611,16.956662,16.868241,16.645175,16.948461,16.917916,16.970533,16.967534,16.956708,16.934006,16.929218,16.940187,31.785409,31.764779,31.78083,31.74119,31.760043,31.742798,31.757592,31.776482,31.684863,31.76352,31.772551,31.767381,31.770209,31.767637,31.767778,17.000099,,16.789748,16.967534,-0.177786,1.331446,0.158653,1.060284,16.767925,16.956708,-0.188783,1.546716,0.186613,1.113488,16.766611,16.934006,-0.167395,1.645323,0.198655,1.128952,16.868241,16.929218,-0.060976,1.396491,0.197056,1.134513,16.917916,16.940187,-0.02227,1.270322,0.201281,1.137011
17,15.0,15.0,8.261815,8.654064,8.140302,9.387741,8.403376,9.164998,8.213975,7.807481,10.006466,8.123586,8.232149,7.511009,8.209867,8.140454,8.696982,7.301584,9.265561,6.838449,9.350172,3.766263,9.2441,8.904842,3.512104,8.957216,3.245942,2.987372,2.974905,4.33307,3.662702,4.374096,4.262099,,2.608724,2.627469,-0.018745,1.242623,0.332188,1.006611,2.73291,2.591578,0.141332,1.844394,0.334694,1.066067,2.946723,2.684577,0.262146,1.870723,0.354849,1.082756,2.829138,2.682631,0.146508,2.518989,0.389443,1.089088,3.155376,2.67714,0.478236,2.616042,0.432229,1.091716
19,15.0,15.0,5.684029,6.363074,5.62544,6.239621,5.70427,6.270089,5.918388,5.637657,6.332001,5.646547,5.605006,5.720319,5.684324,5.687619,5.693423,3.445999,3.255976,3.616181,3.35671,3.061977,3.309328,2.807136,2.603366,3.113338,2.734489,2.612537,2.414211,2.4251,2.678421,2.302621,5.860543,,4.693283,4.44409,0.249193,0.838925,0.181212,1.073613,5.149678,4.469051,0.680627,2.548802,0.20202,1.131404,5.160474,4.472919,0.687555,2.448857,0.220951,1.145314,5.191435,4.484643,0.706792,2.58916,0.228102,1.149789,5.299149,4.480264,0.818885,3.181751,0.232736,1.151619
32,31.0,31.0,4.116813,4.057418,4.025227,3.987084,3.805876,4.433486,3.90214,3.592741,4.097065,4.029874,3.735865,3.386389,3.57646,3.742232,3.581575,5.17169,6.30949,5.043238,6.769103,4.953049,6.801446,5.90049,4.995549,6.645978,4.931866,4.684515,6.024972,6.25114,5.917147,5.727472,3.322194,,2.049206,1.911911,0.137295,1.033208,0.58078,1.000953,2.096035,1.806496,0.289539,1.221368,0.529399,1.051665,2.16029,1.779781,0.38051,1.518233,0.682557,1.06663,2.417878,1.911775,0.506102,1.778637,0.54637,1.072435,2.228432,1.743014,0.485418,1.987566,0.719424,1.075312
33,16.0,16.0,0.214791,0.297232,0.169279,0.321424,0.143156,0.329272,0.245407,0.137062,0.386028,0.135682,0.101002,0.113602,0.100105,0.107114,0.111268,1.787947,2.756116,1.748757,2.888969,0.296564,2.977015,2.694063,0.281204,2.842174,0.295656,0.245867,0.270289,0.239541,0.235365,0.246016,0.670398,,0.212513,0.100437,0.112076,0.240494,0.130098,1.006739,0.293438,0.11388,0.179558,0.505389,0.141689,1.064635,0.327602,0.099731,0.227871,0.601594,0.151097,1.081246,0.334983,0.106776,0.228207,0.60668,0.163379,1.088067,0.396255,0.111208,0.285047,0.806586,0.169382,1.0917
51,15.0,15.0,0.235267,0.257992,0.198936,0.349719,0.192001,0.353838,0.212859,0.173669,0.380532,0.176251,0.145327,0.163356,0.161934,0.161705,0.170593,0.5807,0.689818,0.546475,0.791135,0.210305,0.814942,0.645926,0.197827,0.833992,0.205472,0.168177,0.167387,0.172607,0.172435,0.175837,1.977547,,0.235267,0.145327,0.08994,0.223197,0.130403,1.047712,0.257992,0.163356,0.094637,0.253327,0.148799,1.112633,0.349719,0.161934,0.187785,0.571173,0.15918,1.132548,0.353838,0.161705,0.192132,0.546417,0.167639,1.141498,0.380532,0.170593,0.209939,0.629475,0.163101,1.145985
52,15.0,15.0,3.960943,3.318825,3.801466,3.493023,3.700997,3.497729,3.102445,2.968178,3.762521,3.176329,2.441559,2.554346,2.475261,2.352254,3.24353,2.012556,2.353193,1.986506,3.200708,1.290781,3.319494,2.191963,1.281809,3.610918,1.457468,0.901033,1.160383,1.01296,1.570125,1.568476,6.876084,,2.536129,2.463732,0.072397,0.188352,0.114342,1.002995,2.552999,2.465385,0.087614,0.2153,0.114301,1.064761,2.557336,2.45966,0.097676,0.223914,0.128708,1.082791,2.556899,2.449728,0.107171,0.228006,0.126362,1.089616,2.561005,2.449995,0.11101,0.234967,0.134707,1.093036
53,15.0,15.0,1.631689,1.703984,1.607786,1.793525,1.424839,1.846094,1.670465,1.429253,1.739504,1.370762,1.344576,1.395068,1.368307,1.374982,1.374159,0.835574,0.769614,0.810905,0.800804,0.699771,0.806098,0.734761,0.69058,0.834175,0.700919,0.675139,0.669289,0.67409,0.680343,0.679106,2.157149,,1.631689,1.344576,0.287113,0.927487,0.140205,1.020109,1.703984,1.395068,0.308916,0.839186,0.227608,1.088903,1.793525,1.368307,0.425218,1.105183,0.205987,1.109176,1.846094,1.374982,0.471112,1.424784,0.212587,1.116807,1.739504,1.374159,0.365345,1.171015,0.223651,1.120531
60,15.0,15.0,4.629842,4.142093,4.332321,4.289142,3.981171,4.024045,3.811946,3.836512,4.122155,3.621979,3.094261,3.138006,3.683585,3.179989,3.54932,4.465382,2.259703,4.535528,3.396027,3.877674,4.172791,2.220945,4.356101,4.400014,4.513834,4.505282,0.911094,0.80636,3.703131,3.772113,10.922759,,0.520113,0.225192,0.294921,1.097205,0.171111,1.067777,0.573005,0.239704,0.3333,1.178058,0.191513,1.121877,0.625529,0.242227,0.383302,1.322275,0.202472,1.136256,0.539403,0.246991,0.292412,0.928177,0.215898,1.142054,0.631953,0.254392,0.377561,1.228891,0.221544,1.144843
61,16.0,16.0,2.515667,2.31641,2.363461,2.601217,1.729465,2.596634,2.214139,1.986647,2.273599,1.858001,1.954545,2.082614,2.120399,2.251,1.937972,3.297449,4.017273,3.291325,4.289522,0.856288,3.878547,3.438945,1.749207,3.931749,0.843187,1.731948,1.612178,2.429715,1.622605,1.576893,3.679288,,1.224178,1.19151,0.032668,0.144627,0.097855,0.954631,1.237402,1.190643,0.046759,0.169129,0.123265,1.031218,1.242393,1.192238,0.050155,0.179922,0.123955,1.055034,1.267096,1.194468,0.072628,0.271477,0.121389,1.065873,1.267934,1.194302,0.073631,0.264849,0.124863,1.071737
62,15.0,15.0,6.862552,6.869717,6.848964,6.873038,6.846297,6.873668,6.853045,6.84184,6.900076,6.843302,6.82694,6.823857,6.823866,6.833608,6.834256,2.554628,2.560559,2.526681,2.559564,2.514844,2.576685,2.532369,2.521411,2.560445,2.498692,2.473624,2.483255,2.475945,2.478555,2.481163,15.69063,,6.862552,6.82694,0.035612,0.164933,0.099402,1.027642,6.869717,6.823857,0.045859,0.192133,0.114319,1.084975,6.873038,6.823866,0.049172,0.19842,0.122102,1.104286,6.873668,6.833608,0.040059,0.345143,0.128588,1.112441,6.900076,6.834256,0.065821,0.454275,0.130681,1.116456
66,15.0,15.0,2.378772,3.247543,2.214044,2.856869,2.086399,3.550201,3.11344,2.045148,3.82471,1.768531,1.886666,2.360364,2.624379,2.699656,2.639959,4.007567,4.330796,3.356571,4.53731,1.931434,4.421505,3.988989,1.546216,4.292853,1.29256,0.467194,0.894007,0.801568,1.372299,1.473072,10.520725,,0.331245,0.12665,0.204595,0.541412,0.134203,0.992853,0.430378,0.125982,0.304396,0.850784,0.145889,1.060335,0.565052,0.138782,0.42627,0.962532,0.173094,1.078421,0.632975,0.129157,0.503818,1.071043,0.17289,1.085934,0.556865,0.132647,0.424218,0.803927,0.162645,1.089696
76,15.0,15.0,49.022863,48.990472,49.022863,49.008088,49.018953,48.976228,48.990472,49.004425,48.832624,49.015018,49.008957,48.994836,48.997706,48.987289,48.962756,44.234633,44.391574,44.234633,44.363383,44.366684,44.34942,44.178774,44.341302,44.222136,44.365352,44.353461,44.388246,44.321016,44.35611,44.323284,49.280558,,49.022863,49.008957,0.013906,0.331704,0.180193,1.020966,48.990472,48.994836,-0.004364,0.479956,0.195991,1.0805,49.008088,48.997706,0.010383,0.564492,0.194318,1.097986,48.976228,48.987289,-0.011061,0.517137,0.19774,1.104803,48.832624,48.962756,-0.130132,0.877817,0.255779,1.108078
79,15.0,15.0,1.770374,1.274319,1.166324,1.377149,0.897827,1.180041,1.099879,0.863395,1.313114,0.635234,0.732344,0.352025,0.229096,0.523392,0.502078,2.094492,2.175488,1.840996,2.327234,1.472632,2.529523,2.098821,1.539144,2.7306,1.108932,1.666678,0.758987,0.750907,0.846148,1.015924,6.614847,,0.272214,0.213324,0.05889,0.24809,0.128375,1.014675,0.465657,0.21093,0.254726,0.943721,0.145186,1.081115,0.502561,0.209745,0.292816,1.067971,0.154331,1.101168,0.557875,0.211666,0.346209,1.184515,0.171425,1.109449,0.501606,0.206488,0.295118,1.02308,0.175078,1.113674
92,15.0,15.0,2.605046,3.88853,2.541216,4.737715,2.101688,4.904817,3.568196,2.029031,5.196044,1.754623,1.61824,2.656568,3.176189,3.10403,3.158879,13.573013,14.285168,12.329284,13.972794,12.189254,14.02475,12.402587,11.195498,14.218565,12.106639,11.232779,10.88538,11.365728,11.296495,12.239468,6.246598,,1.321953,0.302488,1.019465,2.080387,0.329197,0.974831,1.956377,0.380321,1.576056,3.416758,0.389917,1.032894,2.765797,0.799414,1.966383,4.418688,0.760597,1.049909,3.189569,1.049007,2.140562,4.816663,0.941005,1.056146,3.431696,1.131851,2.299845,4.96582,0.97449,1.058813
95,15.0,15.0,2.572865,2.591502,2.064427,2.634515,2.102071,2.657268,2.240964,2.233472,2.932228,2.350464,1.970082,2.126875,2.259934,2.154464,2.152243,8.401894,8.53133,8.426575,8.719189,5.854631,9.111266,8.618831,5.921192,9.206568,5.515362,4.49645,3.653707,2.651869,3.119348,3.175903,2.238031,,0.353522,0.154827,0.198695,0.520499,0.160096,0.950584,0.610069,0.149547,0.460522,1.115893,0.20004,1.010145,0.817965,0.135733,0.682232,1.672464,0.219364,1.027304,1.040547,0.145498,0.895049,2.252838,0.240551,1.034933,0.946855,0.139792,0.807063,1.924274,0.238641,1.039069
97,15.0,15.0,2.173932,2.270717,2.147047,2.291911,2.089209,2.391373,2.236325,2.097768,2.334154,2.077971,2.0716,2.09414,2.096286,2.08375,2.089116,1.622301,1.747349,1.566708,2.195198,0.817038,2.313914,1.696203,0.786409,2.240337,0.791763,0.750975,0.788866,0.787415,0.834663,0.803395,6.267172,,2.173932,2.0716,0.102332,0.339518,0.145629,1.004932,2.270717,2.09414,0.176577,0.511257,0.199355,1.06885,2.291911,2.096286,0.195625,0.492792,0.20063,1.087721,2.391373,2.08375,0.307623,0.705805,0.227402,1.095344,2.334154,2.089116,0.245038,0.614608,0.203859,1.099219
99,16.0,16.0,17.268103,16.587317,16.889376,16.791212,17.238659,16.344504,16.595667,17.339626,16.463468,17.232731,17.337075,16.206147,16.697548,16.34923,16.381672,18.951546,20.021994,18.930798,19.41479,18.386288,19.58841,20.102639,18.841632,19.617685,18.460156,18.57363,20.748449,20.242218,20.26227,20.266474,15.230104,,15.467695,15.364438,0.103257,1.128012,0.16022,1.053574,15.383501,15.373815,0.009687,0.391917,0.181824,1.107933,15.353345,15.368062,-0.014717,0.678132,0.192028,1.12487,15.358439,15.363353,-0.004913,0.491043,0.198111,1.131654,15.429494,15.367289,0.062205,0.919694,0.196579,1.135003
102,16.0,16.0,0.58812,0.795449,0.510182,0.931192,0.205123,0.941573,0.710352,0.16754,0.834441,0.168597,0.153871,0.141911,0.145408,0.159168,0.156848,0.298318,0.446046,0.223734,0.593166,0.192768,0.687991,0.354368,0.149906,0.728667,0.151021,0.137802,0.146016,0.153527,0.15876,0.161073,0.089935,,0.613222,0.158884,0.454338,1.570838,0.202157,1.081724,0.713856,0.151369,0.562486,1.940421,0.230462,1.135184,0.801893,0.151595,0.650298,2.114504,0.238935,1.148408,0.844317,0.167985,0.676331,2.183155,0.255975,1.153089,0.724765,0.16704,0.557725,1.738651,0.258301,1.15518
106,15.0,15.0,8.671298,7.5422,8.774923,7.055594,7.896299,7.707868,7.014171,8.089512,8.049758,8.095529,7.924717,6.88469,6.189951,6.837135,7.268802,7.759355,10.055999,7.449434,9.370695,4.748128,8.868397,9.957511,4.340515,9.052923,3.254504,2.639288,2.947457,3.460455,2.783339,3.834861,7.75014,,2.982885,2.968961,0.013924,1.397795,0.936067,0.941419,3.567106,2.911897,0.655209,3.283969,0.642756,1.004928,3.617268,2.988697,0.628571,3.124572,0.663877,1.019177,4.150927,3.046179,1.104748,3.340191,0.751235,1.025727,4.045956,3.037979,1.007977,3.007831,0.705628,1.030183
109,15.0,15.0,2.241161,2.493733,2.17199,3.110629,1.802125,2.71657,2.36609,1.845253,2.409382,1.719267,1.666513,2.016778,2.25532,1.97563,1.967743,2.08667,2.112661,1.778373,2.385466,1.856982,2.942549,1.711619,1.847974,2.885244,1.773155,0.920046,0.701965,1.283705,1.028092,1.089721,15.673959,,0.740228,0.266018,0.474211,1.188442,0.164781,1.06892,0.858241,0.274431,0.58381,1.632495,0.210284,1.134326,0.894737,0.28684,0.607897,1.694514,0.23178,1.145359,0.708533,0.282532,0.426001,1.090965,0.23331,1.148228,0.797214,0.287233,0.509982,1.284752,0.238477,1.149151
110,15.0,15.0,8.958037,7.960584,7.989035,8.510509,7.216415,8.415552,7.702701,7.35144,8.195199,6.531692,6.193297,6.458479,6.413061,6.718523,6.693715,9.209935,7.506113,8.365999,8.266248,8.217594,8.294552,7.280602,6.989369,8.698397,8.184616,6.979693,3.461311,3.528291,4.365353,5.005596,15.677474,,2.464007,0.790697,1.67331,3.227822,1.275963,1.022652,2.210585,1.010904,1.19968,2.399117,0.788606,1.095719,2.132487,0.817032,1.315455,2.254556,0.829887,1.112749,2.185666,0.802076,1.38359,2.346739,0.915333,1.11853,1.897528,0.754977,1.142551,2.004595,0.500167,1.121127
111,15.0,15.0,0.202778,0.239751,0.161133,0.25124,0.158604,0.24938,0.191403,0.141931,0.248848,0.131426,0.126588,0.142166,0.1415,0.142109,0.141414,9.553796,9.886115,9.34915,10.126551,9.44528,10.026705,9.67481,9.435041,9.928164,9.437642,9.439106,9.434391,9.431894,9.432144,9.433296,0.508918,,0.202778,0.126588,0.07619,0.190635,0.137417,1.006969,0.239751,0.142166,0.097585,0.264702,0.150134,1.067795,0.25124,0.1415,0.10974,0.284595,0.16602,1.085439,0.24938,0.142109,0.107272,0.280873,0.172651,1.09278,0.248848,0.141414,0.107435,0.28234,0.168876,1.096411
112,15.0,15.0,7.244685,7.139718,7.148868,7.453677,6.791188,7.06705,6.600603,6.398502,7.346141,6.113794,5.656751,6.317275,6.244204,6.00669,6.284105,10.020624,9.754816,8.481012,9.344336,6.593265,9.170312,8.527749,5.504671,9.052098,4.525068,4.791574,5.330298,4.578151,4.584013,4.851901,8.034875,,5.203647,4.534577,0.66907,2.015901,0.413233,0.969664,5.468541,4.890949,0.577592,2.143125,0.554161,1.029759,5.465148,5.098152,0.366996,1.80057,0.605278,1.044498,5.53575,5.179054,0.356696,1.912274,0.674757,1.049537,5.666258,5.180328,0.485931,2.071636,0.772507,1.051743
115,15.0,15.0,4.626675,5.469034,3.992065,4.710436,3.265122,4.790425,5.260158,3.299607,4.875892,3.146961,2.71909,3.628454,2.943435,2.66295,2.774006,7.308049,6.319336,6.189442,6.332261,4.632946,6.633505,5.766521,4.614928,6.827606,4.440786,2.961723,2.176678,2.037027,2.524828,2.306748,7.964264,,4.065897,2.905118,1.16078,2.720846,0.764524,0.957697,4.881894,3.709903,1.171991,3.373302,1.425596,1.012639,4.413736,2.844957,1.568779,3.069479,1.343881,1.031434,4.175232,2.643512,1.531719,2.811615,0.761297,1.03815,4.167899,2.646627,1.521271,2.873872,0.751135,1.041059
118,15.0,15.0,24.046564,25.370541,23.617616,24.982945,23.86611,25.153157,24.83713,23.186771,23.890374,23.254088,23.286274,24.273173,24.102025,24.941353,23.097001,47.036039,40.336874,47.584701,38.912214,46.94003,37.523469,40.095352,48.035259,36.66764,47.73092,47.022968,39.524136,38.058113,36.21876,35.270027,30.671092,,18.49913,18.031497,0.467633,1.501728,0.172192,0.951883,18.513043,18.021351,0.491692,1.891573,0.18594,1.023243,18.568396,18.032387,0.536009,1.92937,0.190668,1.042128,18.622037,18.01737,0.604667,2.111612,0.202912,1.050833,18.685027,18.00873,0.676297,2.060536,0.19377,1.054888
119,15.0,15.0,3.908102,4.188501,3.599678,4.440604,3.632107,4.331217,3.918382,3.57552,4.137556,3.537365,3.522567,3.789996,3.263813,3.400553,3.171715,4.805644,6.067516,4.719574,5.500361,3.819518,5.561389,5.380715,3.163122,5.532224,2.369606,1.484537,3.812567,2.961668,2.840679,3.305502,5.734747,,0.798016,0.748007,0.050009,0.218685,0.133663,1.013628,0.846906,0.743674,0.103232,0.369877,0.161499,1.073636,0.879651,0.738767,0.140885,0.462341,0.183244,1.091261,0.887797,0.737561,0.150236,0.480229,0.191254,1.099441,0.887825,0.731593,0.156232,0.486333,0.186718,1.104112
121,16.0,16.0,2.433576,2.425957,2.354045,2.461673,2.185356,2.495466,2.34304,2.207326,2.441704,2.186712,2.229729,2.175558,2.168826,2.191457,2.155453,5.9625,6.969449,5.307503,7.303445,3.9298,7.350275,6.070563,3.570515,7.218271,3.349764,3.155132,3.153988,3.151797,3.127786,3.03191,3.140589,,2.433576,2.229729,0.203847,0.879335,0.253739,1.001227,2.425957,2.175558,0.250399,0.987319,0.32549,1.055593,2.461673,2.168826,0.292846,1.134382,0.334031,1.070799,2.495466,2.191457,0.304009,1.490108,0.330825,1.076188,2.441704,2.155453,0.286251,1.267466,0.365808,1.078124
125,15.0,15.0,4.865323,5.514072,4.62078,4.791915,4.335892,5.047236,5.370537,4.097217,5.110285,3.968979,3.808272,4.665209,4.297569,4.400659,4.292753,5.784005,3.191393,5.457169,2.885301,5.435199,2.789207,2.986416,5.039855,2.646584,5.095306,4.951834,0.882515,1.303853,1.732035,1.742266,5.693295,,0.548077,0.122438,0.425639,1.514425,0.148817,1.062332,0.639863,0.127206,0.512658,1.534475,0.185761,1.118015,0.638344,0.130874,0.50747,1.697671,0.194499,1.133713,0.985131,0.128693,0.856438,2.752963,0.197144,1.138334,1.101477,0.136163,0.965314,2.663862,0.21332,1.140255
128,30.0,30.0,8.166093,8.095466,8.128968,8.263619,8.18515,8.395821,8.058297,8.136786,8.294323,8.240314,8.318892,8.317798,8.34439,8.41521,8.473799,4.461231,5.188621,4.425302,5.170284,4.111877,5.014783,5.068846,3.8021,5.254175,3.673345,2.524622,2.516512,2.595789,2.793305,2.780343,7.782856,,7.84319,7.989636,-0.146446,1.284616,0.420185,0.984051,7.819144,7.977742,-0.158598,1.367856,0.446036,1.054719,7.807601,8.031581,-0.223981,1.254433,0.501893,1.076016,7.95688,8.030382,-0.073503,1.382767,0.553435,1.085104,7.838003,7.998926,-0.160923,1.29686,0.352481,1.090283
134,16.0,16.0,15.627475,16.686265,15.41678,15.008818,15.686368,15.19828,16.585348,15.282088,14.765749,14.94006,15.377667,16.483687,15.131548,15.547268,14.492469,10.923985,10.543892,10.861647,9.764679,10.235214,9.991105,9.537028,10.072793,10.742905,9.244339,7.831603,8.287998,7.136579,6.256633,6.609834,15.60758,,9.691543,9.650399,0.041144,0.192727,0.117773,1.009532,9.703816,9.649153,0.054663,0.222468,0.142974,1.065974,9.714686,9.65653,0.058156,0.241702,0.158259,1.085408,9.718993,9.654815,0.064178,0.251621,0.162908,1.093814,9.718088,9.651527,0.06656,0.25318,0.151524,1.098204
140,15.0,15.0,5.815822,5.130873,5.481377,5.473009,4.447641,5.694187,5.050581,4.904403,5.602817,4.62591,4.976385,4.270635,4.392719,4.372083,4.405121,16.976431,15.934,15.425696,15.061965,15.230019,15.245601,13.958213,15.19406,15.038798,15.298681,15.570239,13.911882,12.82115,13.719101,13.702534,4.259775,,0.633296,0.226111,0.407186,1.120865,0.188702,1.025131,0.895646,0.210299,0.685347,1.710466,0.21301,1.068562,0.974152,0.208521,0.765631,1.957938,0.214788,1.078108,1.134868,0.21995,0.914918,2.170359,0.222769,1.079909,1.412722,0.217307,1.195415,3.213467,0.229852,1.079916
142,15.0,15.0,0.784523,0.810286,0.754391,0.953199,0.762368,1.0021,0.774785,0.744086,0.997566,0.738416,0.742505,0.722744,0.724466,0.722178,0.726221,3.708,3.578879,3.682577,3.707963,3.749443,3.769022,3.541992,3.735543,3.815447,3.734533,3.739158,3.740047,3.741715,3.740973,3.742367,0.785155,,0.784523,0.742505,0.042018,0.196076,0.127083,0.996126,0.810286,0.722744,0.087542,0.286952,0.15521,1.056099,0.953199,0.724466,0.228733,0.748224,0.158562,1.076038,1.0021,0.722178,0.279922,0.872499,0.172442,1.085108,0.997566,0.726221,0.271344,0.826706,0.179438,1.090036
158,15.0,15.0,5.935705,5.841476,5.851303,5.582244,5.896419,6.023958,5.717624,5.750809,5.679454,5.714881,5.812462,5.625512,5.540917,5.914627,5.601316,3.346716,4.522758,3.397685,4.606926,2.60223,4.47753,4.391244,2.254221,4.534898,3.422849,3.055888,3.396045,3.388356,3.334994,3.366789,4.827034,,3.167145,3.08782,0.079325,0.201943,0.132839,0.9886,3.208862,3.088806,0.120056,0.330486,0.148587,1.059454,3.210906,3.07783,0.133076,0.423659,0.160616,1.079639,3.243382,3.073299,0.170083,0.618885,0.160373,1.088363,3.245924,3.072752,0.173172,0.621246,0.157874,1.093039
173,15.0,15.0,12.025069,12.462497,11.780226,12.981835,11.533385,13.765864,12.277922,11.078469,13.791946,11.20799,10.79662,11.383862,12.0844,12.885149,12.549194,13.954931,14.239936,13.522332,14.809474,12.773931,15.201876,13.801875,12.400544,15.32574,12.468607,11.269655,12.552748,12.429606,12.924787,12.989243,12.193926,,10.325845,9.195663,1.130182,4.107402,2.404262,0.916177,10.980847,10.128066,0.852781,4.54973,2.905544,0.972428,11.525633,10.667635,0.857998,5.101372,3.154419,0.981159,11.958955,11.183778,0.775177,5.439522,3.639107,0.982719,11.850752,11.012005,0.838748,5.293945,3.703466,0.983106
182,15.0,15.0,14.359213,14.474518,14.316777,14.502838,14.268748,14.550266,14.41799,14.265277,14.540708,14.239304,14.213954,14.21637,14.301421,14.295802,14.308083,17.391699,17.751471,17.329928,17.942301,17.408949,17.944957,17.697117,17.423235,18.028294,17.421788,17.38426,17.409875,17.403088,17.406458,17.451623,32.120209,,15.310973,15.223626,0.087347,0.239701,0.145076,1.012895,15.325327,15.228594,0.096733,0.274741,0.168546,1.077296,15.351497,15.233981,0.117515,0.325398,0.184435,1.095656,15.360954,15.233883,0.127071,0.344001,0.193667,1.10281,15.36521,15.236195,0.129014,0.345925,0.201495,1.10638
184,15.0,15.0,4.878597,4.459115,4.800519,4.331186,4.159922,4.169794,3.982798,4.108706,4.40049,4.131386,4.056522,3.340282,3.40112,3.32708,3.869457,2.419648,2.343809,2.067585,2.514689,2.311621,2.613187,2.096711,2.223119,2.921586,2.01117,1.332627,1.296558,0.955766,1.012458,1.181394,4.201948,,3.171373,2.857519,0.313854,1.187855,0.135713,1.08266,3.155461,2.849698,0.305763,1.051745,0.155585,1.13809,3.04434,2.848171,0.19617,0.58557,0.180524,1.150565,3.36308,2.858796,0.504284,1.775571,0.166712,1.154888,3.422377,2.858431,0.563945,1.94457,0.179733,1.156731
194,30.0,30.0,1.524259,1.570542,1.495518,1.600151,1.484338,1.657375,1.53072,1.48163,1.669474,1.482403,1.471784,1.463087,1.463882,1.46293,1.465461,0.242193,0.270025,0.202788,0.297675,0.18173,0.308832,0.222109,0.175911,0.320074,0.175138,0.164705,0.164209,0.16554,0.164713,0.158396,1.445923,,1.524259,1.471784,0.052475,0.21503,0.130796,1.011739,1.570542,1.463087,0.107455,0.363359,0.150629,1.079448,1.600151,1.463882,0.136268,0.458018,0.155505,1.101562,1.657375,1.46293,0.194445,0.583085,0.169398,1.111236,1.669474,1.465461,0.204012,0.661685,0.171792,1.116328
195,15.0,15.0,0.250992,0.304717,0.223685,0.301669,0.214657,0.544181,0.275546,0.205861,0.570337,0.198716,0.190449,0.186285,0.180419,0.188282,0.191163,0.252392,0.738414,0.221297,0.78416,0.196686,0.821402,0.695114,0.200166,0.828272,0.183132,0.175763,0.170247,0.168478,0.171743,0.178537,0.717819,,0.250992,0.190449,0.060543,0.202526,0.131971,1.021015,0.304717,0.186285,0.118431,0.372315,0.148127,1.082305,0.301669,0.180419,0.12125,0.338306,0.155833,1.101493,0.544181,0.188282,0.3559,1.279506,0.172034,1.109657,0.570337,0.191163,0.379174,1.373804,0.173963,1.113974
206,15.0,15.0,2.091614,1.99011,1.989163,1.891976,1.91243,1.919886,1.895529,1.895312,1.983554,2.030936,1.966848,1.890546,1.715685,1.866677,1.881754,1.641779,1.622307,1.58712,1.750709,1.47423,1.817823,1.554114,1.521175,1.821711,1.405598,1.252053,0.961178,1.301228,1.183327,1.2468,3.704136,,2.091614,1.966848,0.124767,1.618755,0.558817,1.018744,1.99011,1.890546,0.099564,1.548764,0.676709,1.067758,1.891976,1.715685,0.176291,1.42865,0.616385,1.082698,1.919886,1.866677,0.053209,1.385282,0.649159,1.090737,1.983554,1.881754,0.1018,1.364891,0.726087,1.095098
