S,n_windows,I,C,G,G_lo,G_hi,G_over_I,SD,MAD,waveform_pairwise_RMS,rho_bar,rho_bar_lo,rho_bar_hi,K_eff
5,15802,3.531473391259468,3.294950329674605,0.2365230615848635,0.20810581199557077,0.26875058143894215,0.06697574507293956,0.9452348192932497,0.3284327315044493,1.0130857918486007,0.9392911837884496,0.9261407053024412,0.9499741762092286,1.0603492643196577
10,15802,3.5978184902903534,3.298725222676217,0.29909326761413624,0.2746789171877157,0.3246249889620002,0.08313183903560366,1.1535083784218731,0.3457248851314491,1.0733403275052227,0.9313422424654109,0.9173501950105292,0.9425748809061202,1.0687947341014197
15,15802,3.6469980543487868,3.3029164483201754,0.3440816060286112,0.31753384053192896,0.37194743075498193,0.094346528542377,1.283634031703852,0.3704454096128816,1.0897348820695674,0.9253310496998254,0.9109725059724832,0.9370430482641445,1.0752712925324803
20,15802,3.674607445339287,3.3061837423574616,0.3684237029818254,0.34302095365934426,0.39473012303563915,0.1002620575019838,1.3689228244265952,0.37365678105981254,1.0960643160643084,0.9208084916421132,0.9054919425528901,0.9331081238694493,1.0801959499351008
25,15802,3.701616580700983,3.3180916865612216,0.38352489413976143,0.3577633065505973,0.41050848332166634,0.1036101081185271,1.4413234674871302,0.3936084545822336,1.099168573494404,0.9160931240974048,0.9002204655298052,0.929090746756445,1.085378824704824
