nfe,metric,orientation,arm,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,n_clusters,n_subjects,effect_an0,rel_an0,effect_k2s,rel_k2s
4,qrs_core__a1_abs,lower_better,E,0.44999940644871517,0.45242432864464377,-0.0024249221959285906,-0.0028010251197702583,-0.002028557340861959,-0.005388723098693603,True,12400,2,-0.003915866127085222,-0.008581832080627707,-0.000933978264771959,-0.002104969378610452
4,qrs_core__a2_sq,lower_better,E,0.37411493054993095,0.37327598439793386,0.0008389461519971327,0.0003519130556248281,0.0013356110351375571,0.0022424824124604656,True,12400,2,0.0026512544796879188,0.007071302731814219,-0.0009733621756936533,-0.0026074647046685274
4,qrs_core__a3_dabs,lower_better,E,0.2232158898218783,0.21238475937535292,0.01083113044652535,0.010646415423886712,0.011012003101543157,0.04852311569381726,True,12400,2,0.013108221251056741,0.05976483341858827,0.008554039641993956,0.03766610665943792
4,qrs_core__a4_amp,lower_better,E,0.33079818802914196,0.3883412858372012,-0.05754309780805924,-0.059681968251194775,-0.055396241685815556,-0.17395227631352655,True,12400,2,-0.0641851951108986,-0.20446005012183177,-0.05090100050521988,-0.14640564886946097
4,qrs_core__a5_energy,higher_better,E,0.5801924132088238,0.5723198589142199,-0.00787255429460387,-0.009728394670424405,-0.00610857057618144,-0.013568868043385413,True,12400,2,0.0017046241096181456,0.002604247499672598,-0.017449732698825885,-0.03449726280142424
4,qrs_core__n,higher_better,E,202.88319076012374,202.88319076012374,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,peri_qrs__a1_abs,lower_better,E,0.2866062224543017,0.2951614424136477,-0.008555219959346105,-0.008989142309511254,-0.008144208022140728,-0.029850084502998357,True,12400,2,-0.012354844417525414,-0.040307876056247666,-0.004755595501166799,-0.017831219022394793
4,peri_qrs__a2_sq,lower_better,E,0.15113709846524137,0.16075572429674148,-0.009618625831500126,-0.009996232397939002,-0.009239379678920695,-0.06364172614913743,True,12400,2,-0.010717578593871995,-0.06578681774550546,-0.008519673069128257,-0.061134091997651775
4,peri_qrs__a3_dabs,lower_better,E,0.05696372010002708,0.04210928052339813,0.014854439576628957,0.014728036426708842,0.014981140667128866,0.26077018057361545,True,12400,2,0.013393430712167302,0.22160524173146812,0.01631544844109061,0.30502322487131833
4,peri_qrs__a4_amp,lower_better,E,0.8477034272016624,0.7684717930625604,0.07923163413910214,0.07658253001507906,0.0819556138345074,0.09346621895897246,True,12400,2,0.048187849694644444,0.07399646190652674,0.11027541858355984,0.105608721239973
4,peri_qrs__a5_energy,higher_better,E,2.007613173853132,1.9297377263628912,-0.07787544749024086,-0.08875120546019856,-0.06713698663839994,-0.03879006598705344,True,12400,2,-0.0766948004486398,-0.04387151433571562,-0.07905609453184194,-0.03487167098016413
4,peri_qrs__n,higher_better,E,421.00206491143757,421.00206491143757,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,background__a1_abs,lower_better,E,0.2918544036687648,0.301257190449713,-0.009402786780948197,-0.009808556589499487,-0.009020293949724308,-0.03221738874846557,True,12400,2,-0.01604602565208878,-0.051719311623615934,-0.0027595479098076127,-0.010091352506059607
