model,seed,S,K,groups,draws_used,operator,hr_err
iMF,2,2,4,8,32,trimmed20,8.395475308512557
iMF,2,2,8,4,32,median,6.512136434948482
iMF,2,2,8,4,32,mean,8.015386973088134
iMF,2,2,8,4,32,trimmed20,7.09937935561234
iMF,2,2,16,2,32,median,6.209972910408868
iMF,2,2,16,2,32,mean,7.7762780431812395
iMF,2,2,16,2,32,trimmed20,6.541981860023591
iMF,2,2,32,1,32,median,6.072717481456832
iMF,2,2,32,1,32,mean,7.6308559295731735
iMF,2,2,32,1,32,trimmed20,6.380616994294187
PENGUIN (Euler),42,4,1,32,32,median,8.264873644148425
PENGUIN (Euler),42,4,1,32,32,mean,8.264873644148425
PENGUIN (Euler),42,4,1,32,32,trimmed20,8.264873644148425
PENGUIN (Euler),42,4,2,16,32,median,7.703401394061613
PENGUIN (Euler),42,4,2,16,32,mean,7.703401394061613
PENGUIN (Euler),42,4,2,16,32,trimmed20,7.703401394061613
PENGUIN (Euler),42,4,3,10,30,median,6.910190980029833
PENGUIN (Euler),42,4,3,10,30,mean,7.412328904520849
PENGUIN (Euler),42,4,3,10,30,trimmed20,7.412328904520847
PENGUIN (Euler),42,4,4,8,32,median,6.7164613309480945
PENGUIN (Euler),42,4,4,8,32,mean,7.2405708230750365
PENGUIN (Euler),42,4,4,8,32,trimmed20,7.240570823075035
PENGUIN (Euler),42,4,8,4,32,median,6.317109875981762
PENGUIN (Euler),42,4,8,4,32,mean,6.942030905131984
PENGUIN (Euler),42,4,8,4,32,trimmed20,6.481574041372173
PENGUIN (Euler),42,4,16,2,32,median,6.140623895773428
PENGUIN (Euler),42,4,16,2,32,mean,6.768261945313777
PENGUIN (Euler),42,4,16,2,32,trimmed20,6.186555179750578
PENGUIN (Euler),42,4,32,1,32,median,6.047053066317243
PENGUIN (Euler),42,4,32,1,32,mean,6.666463880522806
PENGUIN (Euler),42,4,32,1,32,trimmed20,6.08683011981039
PENGUIN (Euler),1,4,1,32,32,median,9.411955758653326
PENGUIN (Euler),1,4,1,32,32,mean,9.411955758653326
PENGUIN (Euler),1,4,1,32,32,trimmed20,9.411955758653326
PENGUIN (Euler),1,4,2,16,32,median,8.750394320117747
PENGUIN (Euler),1,4,2,16,32,mean,8.750394320117747
PENGUIN (Euler),1,4,2,16,32,trimmed20,8.750394320117747
PENGUIN (Euler),1,4,3,10,30,median,7.463794257755338
PENGUIN (Euler),1,4,3,10,30,mean,8.417663072517131
PENGUIN (Euler),1,4,3,10,30,trimmed20,8.417663072517131
PENGUIN (Euler),1,4,4,8,32,median,7.2451069075019
PENGUIN (Euler),1,4,4,8,32,mean,8.222042502054382
PENGUIN (Euler),1,4,4,8,32,trimmed20,8.222042502054384
PENGUIN (Euler),1,4,8,4,32,median,6.511555962421421
PENGUIN (Euler),1,4,8,4,32,mean,7.861918067651965
PENGUIN (Euler),1,4,8,4,32,trimmed20,7.058482437335114
PENGUIN (Euler),1,4,16,2,32,median,6.162464981318391
PENGUIN (Euler),1,4,16,2,32,mean,7.644509540108393
PENGUIN (Euler),1,4,16,2,32,trimmed20,6.512062462303451
PENGUIN (Euler),1,4,32,1,32,median,5.989560355286129
PENGUIN (Euler),1,4,32,1,32,mean,7.526424751979399
PENGUIN (Euler),1,4,32,1,32,trimmed20,6.34707582310132
PENGUIN (Euler),2,4,1,32,32,median,9.304414811720351
PENGUIN (Euler),2,4,1,32,32,mean,9.304414811720351
PENGUIN (Euler),2,4,1,32,32,trimmed20,9.304414811720351
PENGUIN (Euler),2,4,2,16,32,median,8.592546970909922
PENGUIN (Euler),2,4,2,16,32,mean,8.592546970909922
PENGUIN (Euler),2,4,2,16,32,trimmed20,8.592546970909922
PENGUIN (Euler),2,4,3,10,30,median,7.4700561036071615
PENGUIN (Euler),2,4,3,10,30,mean,8.282363396445106
PENGUIN (Euler),2,4,3,10,30,trimmed20,8.282363396445106
PENGUIN (Euler),2,4,4,8,32,median,7.250710829511159
PENGUIN (Euler),2,4,4,8,32,mean,8.091939046866834
PENGUIN (Euler),2,4,4,8,32,trimmed20,8.091939046866834
PENGUIN (Euler),2,4,8,4,32,median,6.6163293822400595
PENGUIN (Euler),2,4,8,4,32,mean,7.782665403284113
PENGUIN (Euler),2,4,8,4,32,trimmed20,7.079324087130337
PENGUIN (Euler),2,4,16,2,32,median,6.323164376849507
PENGUIN (Euler),2,4,16,2,32,mean,7.596555226165409
PENGUIN (Euler),2,4,16,2,32,trimmed20,6.603578479450674
PENGUIN (Euler),2,4,32,1,32,median,6.193241415606146
PENGUIN (Euler),2,4,32,1,32,mean,7.4967279548336405
PENGUIN (Euler),2,4,32,1,32,trimmed20,6.461505745183218
