model,B,n_cal,method,K,S,frequency,entropy_nats,is_fullval
iMF,16,50,UCB,8,2,0.895,0.35603384296516183,True
iMF,16,50,UCB,4,4,0.005,0.35603384296516183,False
iMF,16,50,UCB,2,8,0.0,0.35603384296516183,False
iMF,16,50,UCB,1,16,0.0,0.35603384296516183,False
iMF,16,50,ERM,16,1,0.075,0.2663844632679204,False
iMF,16,50,ERM,8,2,0.925,0.2663844632679204,True
iMF,16,50,ERM,4,4,0.0,0.2663844632679204,False
iMF,16,50,ERM,2,8,0.0,0.2663844632679204,False
iMF,16,50,ERM,1,16,0.0,0.2663844632679204,False
iMF,16,100,UCB,16,1,0.03,0.13474216817976675,False
iMF,16,100,UCB,8,2,0.97,0.13474216817976675,True
iMF,16,100,UCB,4,4,0.0,0.13474216817976675,False
iMF,16,100,UCB,2,8,0.0,0.13474216817976675,False
iMF,16,100,UCB,1,16,0.0,0.13474216817976675,False
iMF,16,100,ERM,16,1,0.01,0.056001534354847345,False
iMF,16,100,ERM,8,2,0.99,0.056001534354847345,True
iMF,16,100,ERM,4,4,0.0,0.056001534354847345,False
iMF,16,100,ERM,2,8,0.0,0.056001534354847345,False
iMF,16,100,ERM,1,16,0.0,0.056001534354847345,False
iMF,16,200,UCB,16,1,0.0,-0.0,False
iMF,16,200,UCB,8,2,1.0,-0.0,True
iMF,16,200,UCB,4,4,0.0,-0.0,False
iMF,16,200,UCB,2,8,0.0,-0.0,False
iMF,16,200,UCB,1,16,0.0,-0.0,False
iMF,16,200,ERM,16,1,0.0,-0.0,False
iMF,16,200,ERM,8,2,1.0,-0.0,True
iMF,16,200,ERM,4,4,0.0,-0.0,False
iMF,16,200,ERM,2,8,0.0,-0.0,False
iMF,16,200,ERM,1,16,0.0,-0.0,False
CD,32,5,UCB,32,1,0.445,1.4982826999832055,True
CD,32,5,UCB,16,2,0.195,1.4982826999832055,False
CD,32,5,UCB,8,4,0.16,1.4982826999832055,False
CD,32,5,UCB,4,8,0.105,1.4982826999832055,False
CD,32,5,UCB,2,16,0.045,1.4982826999832055,False
CD,32,5,UCB,1,32,0.05,1.4982826999832055,False
CD,32,5,ERM,32,1,0.565,1.1913697032001065,True
CD,32,5,ERM,16,2,0.23,1.1913697032001065,False
CD,32,5,ERM,8,4,0.13,1.1913697032001065,False
CD,32,5,ERM,4,8,0.045,1.1913697032001065,False
CD,32,5,ERM,2,16,0.015,1.1913697032001065,False
CD,32,5,ERM,1,32,0.015,1.1913697032001065,False
CD,32,10,UCB,32,1,0.6,1.0607204048169834,True
CD,32,10,UCB,16,2,0.245,1.0607204048169834,False
CD,32,10,UCB,8,4,0.095,1.0607204048169834,False
CD,32,10,UCB,4,8,0.055,1.0607204048169834,False
CD,32,10,UCB,2,16,0.0,1.0607204048169834,False
CD,32,10,UCB,1,32,0.005,1.0607204048169834,False
CD,32,10,ERM,32,1,0.695,0.807856441831419,True
CD,32,10,ERM,16,2,0.245,0.807856441831419,False
CD,32,10,ERM,8,4,0.03,0.807856441831419,False
CD,32,10,ERM,4,8,0.03,0.807856441831419,False
CD,32,10,ERM,2,16,0.0,0.807856441831419,False
CD,32,10,ERM,1,32,0.0,0.807856441831419,False
CD,32,25,UCB,32,1,0.765,0.7477920611974391,True
CD,32,25,UCB,16,2,0.135,0.7477920611974391,False
CD,32,25,UCB,8,4,0.085,0.7477920611974391,False
CD,32,25,UCB,4,8,0.015,0.7477920611974391,False
CD,32,25,UCB,2,16,0.0,0.7477920611974391,False
CD,32,25,UCB,1,32,0.0,0.7477920611974391,False
CD,32,25,ERM,32,1,0.88,0.43440520862696663,True
CD,32,25,ERM,16,2,0.09,0.43440520862696663,False
CD,32,25,ERM,8,4,0.03,0.43440520862696663,False
CD,32,25,ERM,4,8,0.0,0.43440520862696663,False
CD,32,25,ERM,2,16,0.0,0.43440520862696663,False
CD,32,25,ERM,1,32,0.0,0.43440520862696663,False
CD,32,50,UCB,32,1,0.9,0.38131648785332906,True
CD,32,50,UCB,16,2,0.075,0.38131648785332906,False
CD,32,50,UCB,8,4,0.025,0.38131648785332906,False
CD,32,50,UCB,4,8,0.0,0.38131648785332906,False
CD,32,50,UCB,2,16,0.0,0.38131648785332906,False
CD,32,50,UCB,1,32,0.0,0.38131648785332906,False
CD,32,50,ERM,32,1,0.94,0.2540011950325827,True
CD,32,50,ERM,16,2,0.05,0.2540011950325827,False
CD,32,50,ERM,8,4,0.01,0.2540011950325827,False
CD,32,50,ERM,4,8,0.0,0.2540011950325827,False
CD,32,50,ERM,2,16,0.0,0.2540011950325827,False
CD,32,50,ERM,1,32,0.0,0.2540011950325827,False
CD,32,100,UCB,32,1,0.975,0.11690684913753106,True
CD,32,100,UCB,16,2,0.025,0.11690684913753106,False
CD,32,100,UCB,8,4,0.0,0.11690684913753106,False
CD,32,100,UCB,4,8,0.0,0.11690684913753106,False
CD,32,100,UCB,2,16,0.0,0.11690684913753106,False
CD,32,100,UCB,1,32,0.0,0.11690684913753106,False
CD,32,100,ERM,32,1,0.99,0.056001534354847345,True
CD,32,100,ERM,16,2,0.01,0.056001534354847345,False
CD,32,100,ERM,8,4,0.0,0.056001534354847345,False
CD,32,100,ERM,4,8,0.0,0.056001534354847345,False
CD,32,100,ERM,2,16,0.0,0.056001534354847345,False
CD,32,100,ERM,1,32,0.0,0.056001534354847345,False
CD,32,200,UCB,32,1,1.0,-0.0,True
CD,32,200,UCB,16,2,0.0,-0.0,False
CD,32,200,UCB,8,4,0.0,-0.0,False
CD,32,200,UCB,4,8,0.0,-0.0,False
CD,32,200,UCB,2,16,0.0,-0.0,False
CD,32,200,UCB,1,32,0.0,-0.0,False
CD,32,200,ERM,32,1,1.0,-0.0,True
CD,32,200,ERM,16,2,0.0,-0.0,False
CD,32,200,ERM,8,4,0.0,-0.0,False
CD,32,200,ERM,4,8,0.0,-0.0,False
CD,32,200,ERM,2,16,0.0,-0.0,False
CD,32,200,ERM,1,32,0.0,-0.0,False
CD,16,5,UCB,16,1,0.605,1.1474867177602268,True
CD,16,5,UCB,8,2,0.185,1.1474867177602268,False
CD,16,5,UCB,4,4,0.12,1.1474867177602268,False
CD,16,5,UCB,2,8,0.035,1.1474867177602268,False
CD,16,5,UCB,1,16,0.055,1.1474867177602268,False
CD,16,5,ERM,16,1,0.705,0.9335813886674592,True
CD,16,5,ERM,8,2,0.165,0.9335813886674592,False
CD,16,5,ERM,4,4,0.075,0.9335813886674592,False
CD,16,5,ERM,2,8,0.02,0.9335813886674592,False
CD,16,5,ERM,1,16,0.035,0.9335813886674592,False
CD,16,10,UCB,16,1,0.725,0.8431139298335764,True
CD,16,10,UCB,8,2,0.185,0.8431139298335764,False
CD,16,10,UCB,4,4,0.055,0.8431139298335764,False
CD,16,10,UCB,2,8,0.025,0.8431139298335764,False
CD,16,10,UCB,1,16,0.01,0.8431139298335764,False
CD,16,10,ERM,16,1,0.825,0.5629970962040217,True
CD,16,10,ERM,8,2,0.145,0.5629970962040217,False
CD,16,10,ERM,4,4,0.02,0.5629970962040217,False
CD,16,10,ERM,2,8,0.01,0.5629970962040217,False
CD,16,10,ERM,1,16,0.0,0.5629970962040217,False
CD,16,25,UCB,16,1,0.95,0.22905845844861727,True
CD,16,25,UCB,8,2,0.035,0.22905845844861727,False
CD,16,25,UCB,4,4,0.015,0.22905845844861727,False
CD,16,25,UCB,2,8,0.0,0.22905845844861727,False
CD,16,25,UCB,1,16,0.0,0.22905845844861727,False
CD,16,25,ERM,16,1,0.975,0.11690684913753106,True
CD,16,25,ERM,8,2,0.025,0.11690684913753106,False
CD,16,25,ERM,4,4,0.0,0.11690684913753106,False
CD,16,25,ERM,2,8,0.0,0.11690684913753106,False
CD,16,25,ERM,1,16,0.0,0.11690684913753106,False
CD,16,50,UCB,16,1,0.995,0.03147906594716675,True
CD,16,50,UCB,8,2,0.0,0.03147906594716675,False
CD,16,50,UCB,4,4,0.005,0.03147906594716675,False
CD,16,50,UCB,2,8,0.0,0.03147906594716675,False
CD,16,50,UCB,1,16,0.0,0.03147906594716675,False
CD,16,50,ERM,16,1,1.0,-0.0,True
CD,16,50,ERM,8,2,0.0,-0.0,False
CD,16,50,ERM,4,4,0.0,-0.0,False
CD,16,50,ERM,2,8,0.0,-0.0,False
CD,16,50,ERM,1,16,0.0,-0.0,False
CD,16,100,UCB,16,1,1.0,-0.0,True
CD,16,100,UCB,8,2,0.0,-0.0,False
CD,16,100,UCB,4,4,0.0,-0.0,False
CD,16,100,UCB,2,8,0.0,-0.0,False
CD,16,100,UCB,1,16,0.0,-0.0,False
CD,16,100,ERM,16,1,1.0,-0.0,True
CD,16,100,ERM,8,2,0.0,-0.0,False
