model,B,n_cal,policy,mean_regret,mean_regret_ci,near_optimal_rate,near_optimal_rate_ci,material_rate,mean_heldout_risk,mean_heldout_risk_ci,median_regret,regret_p2.5_p97.5_across_subsets,oracle_recovery,fullval_recovery,fullval_recovery_ci,within_delta_of_fullval,entropy_nats,micro_mean_regret
CD,16,25,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.070345,"[5.305806, 6.863292]",,,,,,,,
CD,16,50,UCB,0.005607,"[0.0, 0.051335]",0.995,"[0.885, 1.0]",0.005,6.060905,"[5.318593, 6.879835]",0.0,"[0.0, 0.0]",0.995,0.995,"[0.884875, 1.0]",0.995,0.031479,0.005552
CD,16,50,ERM,0.0,"[0.0, 0.025261]",1.0,"[0.945, 1.0]",0.0,6.055298,"[5.312841, 6.861815]",0.0,"[0.0, 0.0]",1.0,1.0,"[0.944875, 1.0]",1.0,-0.0,0.0
CD,16,50,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.055298,"[5.308596, 6.854931]",,,,,,,,
CD,16,50,pure_depth,2.072756,"[1.737124, 2.425868]",0.0,"[0.0, 0.0]",1.0,8.128053,"[7.406748, 8.951018]",,,,,,,,
CD,16,50,balanced,0.944627,"[0.721288, 1.180291]",0.0,"[0.0, 0.0]",1.0,6.999925,"[6.293885, 7.786093]",,,,,,,,
CD,16,50,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.055298,"[5.308596, 6.854931]",,,,,,,,
CD,16,50,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.055298,"[5.308596, 6.854931]",,,,,,,,
CD,16,100,UCB,0.0,"[0.0, 0.010452]",1.0,"[0.98, 1.0]",0.0,6.061654,"[5.315769, 6.860269]",0.0,"[0.0, 0.0]",1.0,1.0,"[0.98, 1.0]",1.0,-0.0,0.0
CD,16,100,ERM,0.0,"[0.0, 0.003918]",1.0,"[0.995, 1.0]",0.0,6.061654,"[5.315769, 6.860269]",0.0,"[0.0, 0.0]",1.0,1.0,"[0.995, 1.0]",1.0,-0.0,0.0
CD,16,100,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.061654,"[5.315769, 6.860256]",,,,,,,,
CD,16,100,pure_depth,2.079698,"[1.735668, 2.424295]",0.0,"[0.0, 0.0]",1.0,8.141351,"[7.395781, 8.95177]",,,,,,,,
CD,16,100,balanced,0.943401,"[0.722929, 1.181219]",0.0,"[0.0, 0.0]",1.0,7.005055,"[6.287775, 7.785888]",,,,,,,,
CD,16,100,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.061654,"[5.315769, 6.860256]",,,,,,,,
CD,16,100,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.061654,"[5.315769, 6.860256]",,,,,,,,
CD,16,200,UCB,0.0,"[0.0, 0.000506]",1.0,"[1.0, 1.0]",0.0,6.03828,"[5.314478, 6.863358]",0.0,"[0.0, 0.0]",1.0,1.0,"[1.0, 1.0]",1.0,-0.0,0.0
CD,16,200,ERM,0.0,"[0.0, 0.000506]",1.0,"[1.0, 1.0]",0.0,6.03828,"[5.314478, 6.863358]",0.0,"[0.0, 0.0]",1.0,1.0,"[1.0, 1.0]",1.0,-0.0,0.0
CD,16,200,pure_width,0.0,"[0.0, 0.000506]",1.0,"[1.0, 1.0]",0.0,6.03828,"[5.314478, 6.863358]",,,,,,,,
CD,16,200,pure_depth,2.08397,"[1.731304, 2.429276]",0.0,"[0.0, 0.0]",1.0,8.12225,"[7.39912, 8.938004]",,,,,,,,
CD,16,200,balanced,0.93514,"[0.722365, 1.177714]",0.0,"[0.0, 0.0]",1.0,6.97342,"[6.284953, 7.784154]",,,,,,,,
CD,16,200,historical,0.0,"[0.0, 0.000506]",1.0,"[1.0, 1.0]",0.0,6.03828,"[5.314478, 6.863358]",,,,,,,,
CD,16,200,fullval,0.0,"[0.0, 0.000506]",1.0,"[1.0, 1.0]",0.0,6.03828,"[5.314478, 6.863358]",,,,,,,,
PENGUIN,32,5,UCB,0.474978,"[0.323323, 0.691019]",0.59,"[0.49, 0.715]",0.255,6.704778,"[5.839927, 7.650106]",0.020832,"[0.0, 2.957441]",0.23,0.27,"[0.235, 0.42]",0.59,1.604313,0.48219
PENGUIN,32,5,ERM,0.26478,"[0.173404, 0.379342]",0.73,"[0.619875, 0.815]",0.15,6.49458,"[5.66384, 7.314363]",0.015758,"[0.0, 2.035818]",0.275,0.335,"[0.29, 0.5]",0.73,1.39254,0.270835
PENGUIN,32,5,pure_width,0.881752,"[0.65395, 1.164078]",0.0,"[0.0, 0.0]",1.0,7.111552,"[6.308312, 8.005896]",,,,,,,,
PENGUIN,32,5,pure_depth,2.919594,"[2.509799, 3.375525]",0.0,"[0.0, 0.0]",1.0,9.149394,"[8.435172, 9.865415]",,,,,,,,
PENGUIN,32,5,balanced,0.012433,"[0.0, 0.138197]",1.0,"[1.0, 1.0]",0.0,6.242233,"[5.492994, 7.034717]",,,,,,,,
PENGUIN,32,5,historical,0.012433,"[0.0, 0.138197]",1.0,"[1.0, 1.0]",0.0,6.242233,"[5.492994, 7.034717]",,,,,,,,
PENGUIN,32,5,fullval,0.000234,"[0.0, 0.002535]",1.0,"[1.0, 1.0]",0.0,6.230033,"[5.447828, 7.004718]",,,,,,,,
PENGUIN,32,10,UCB,0.373061,"[0.15415, 0.467943]",0.72,"[0.61, 0.855]",0.17,6.601112,"[5.669327, 7.410069]",0.018716,"[0.0, 2.998541]",0.255,0.41,"[0.3, 0.545]",0.72,1.451431,0.375357
PENGUIN,32,10,ERM,0.127432,"[0.083071, 0.22114]",0.83,"[0.72, 0.91]",0.075,6.355483,"[5.573261, 7.158439]",0.014969,"[0.0, 0.930072]",0.26,0.435,"[0.345, 0.595]",0.83,1.154004,0.129639
PENGUIN,32,10,pure_width,0.881372,"[0.655436, 1.16237]",0.0,"[0.0, 0.0]",1.0,7.109422,"[6.309497, 8.009997]",,,,,,,,
PENGUIN,32,10,pure_depth,2.921237,"[2.505486, 3.375632]",0.0,"[0.0, 0.0]",1.0,9.149288,"[8.431713, 9.870244]",,,,,,,,
PENGUIN,32,10,balanced,0.012841,"[0.0, 0.13887]",1.0,"[1.0, 1.0]",0.0,6.240892,"[5.496614, 7.033053]",,,,,,,,
PENGUIN,32,10,historical,0.012841,"[0.0, 0.13887]",1.0,"[1.0, 1.0]",0.0,6.240892,"[5.496614, 7.033053]",,,,,,,,
PENGUIN,32,10,fullval,0.001099,"[0.0, 0.00395]",1.0,"[1.0, 1.0]",0.0,6.22915,"[5.448215, 7.007066]",,,,,,,,
PENGUIN,32,25,UCB,0.075943,"[0.036654, 0.152976]",0.895,"[0.745, 0.98]",0.065,6.307118,"[5.513069, 7.127768]",0.018182,"[0.0, 0.533476]",0.155,0.44,"[0.38, 0.700125]",0.895,0.999235,0.07586
PENGUIN,32,25,ERM,0.050027,"[0.027988, 0.098757]",0.95,"[0.855, 0.995]",0.05,6.281202,"[5.497156, 7.075421]",0.017855,"[0.0, 0.519133]",0.185,0.48,"[0.425, 0.735]",0.95,0.887496,0.050532
PENGUIN,32,25,pure_width,0.886187,"[0.657124, 1.166274]",0.0,"[0.0, 0.0]",1.0,7.117362,"[6.309381, 8.006727]",,,,,,,,
PENGUIN,32,25,pure_depth,2.924305,"[2.504934, 3.377811]",0.0,"[0.0, 0.0]",1.0,9.15548,"[8.433747, 9.867229]",,,,,,,,
PENGUIN,32,25,balanced,0.015759,"[0.0, 0.137799]",1.0,"[1.0, 1.0]",0.0,6.246934,"[5.495443, 7.034022]",,,,,,,,
PENGUIN,32,25,historical,0.015759,"[0.0, 0.137799]",1.0,"[1.0, 1.0]",0.0,6.246934,"[5.495443, 7.034022]",,,,,,,,
PENGUIN,32,25,fullval,0.003706,"[0.0, 0.007193]",1.0,"[1.0, 1.0]",0.0,6.234882,"[5.448038, 7.001892]",,,,,,,,
PENGUIN,32,50,UCB,0.041705,"[0.023203, 0.088591]",0.965,"[0.85, 1.0]",0.035,6.25503,"[5.489175, 7.057478]",0.021581,"[0.0, 0.53588]",0.13,0.525,"[0.44, 0.825125]",0.965,0.816853,0.04062
PENGUIN,32,50,ERM,0.02299,"[0.022603, 0.05805]",1.0,"[0.93, 1.0]",0.0,6.236315,"[5.47949, 7.044997]",0.019408,"[0.0, 0.070736]",0.2,0.6,"[0.47, 0.85]",1.0,0.673012,0.022379
PENGUIN,32,50,pure_width,0.892126,"[0.65682, 1.163708]",0.0,"[0.0, 0.0]",1.0,7.105452,"[6.307023, 8.010487]",,,,,,,,
PENGUIN,32,50,pure_depth,2.922744,"[2.507916, 3.382648]",0.0,"[0.0, 0.0]",1.0,9.136069,"[8.436235, 9.872118]",,,,,,,,
PENGUIN,32,50,balanced,0.016059,"[0.0, 0.137939]",1.0,"[1.0, 1.0]",0.0,6.229385,"[5.492648, 7.02766]",,,,,,,,
PENGUIN,32,50,historical,0.016059,"[0.0, 0.137939]",1.0,"[1.0, 1.0]",0.0,6.229385,"[5.492648, 7.02766]",,,,,,,,
PENGUIN,32,50,fullval,0.008259,"[0.0, 0.011325]",1.0,"[1.0, 1.0]",0.0,6.221585,"[5.447961, 7.01335]",,,,,,,,
PENGUIN,32,100,UCB,0.034475,"[0.012414, 0.055268]",1.0,"[0.95, 1.0]",0.0,6.248655,"[5.476404, 7.031304]",0.03047,"[0.0, 0.090041]",0.105,0.51,"[0.445, 0.945125]",1.0,0.692947,0.033629
PENGUIN,32,100,ERM,0.034296,"[0.012311, 0.045039]",1.0,"[0.975, 1.0]",0.0,6.248475,"[5.474232, 7.030575]",0.03047,"[0.0, 0.090041]",0.13,0.535,"[0.48, 0.95]",1.0,0.690695,0.033466
PENGUIN,32,100,pure_width,0.898048,"[0.661537, 1.168566]",0.0,"[0.0, 0.0]",1.0,7.112227,"[6.302637, 8.011577]",,,,,,,,
PENGUIN,32,100,pure_depth,2.933955,"[2.51418, 3.38132]",0.0,"[0.0, 0.0]",1.0,9.148135,"[8.441053, 9.873308]",,,,,,,,
PENGUIN,32,100,balanced,0.022255,"[7.2e-05, 0.139413]",1.0,"[0.985, 1.0]",0.0,6.236435,"[5.495563, 7.032657]",,,,,,,,
PENGUIN,32,100,historical,0.022255,"[7.2e-05, 0.139413]",1.0,"[0.985, 1.0]",0.0,6.236435,"[5.495563, 7.032657]",,,,,,,,
PENGUIN,32,100,fullval,0.01337,"[0.0, 0.018626]",1.0,"[1.0, 1.0]",0.0,6.227549,"[5.450363, 7.006162]",,,,,,,,
PENGUIN,32,200,UCB,0.078455,"[0.002288, 0.086163]",1.0,"[0.945, 1.0]",0.0,6.254601,"[5.475995, 7.036616]",0.068012,"[0.0, 0.211838]",0.09,0.525,"[0.47, 1.0]",1.0,0.691897,0.076218
PENGUIN,32,200,ERM,0.076529,"[0.002288, 0.085969]",1.0,"[0.945, 1.0]",0.0,6.252676,"[5.477903, 7.032074]",0.068012,"[0.0, 0.211838]",0.165,0.6,"[0.51, 1.0]",1.0,0.673012,0.074103
PENGUIN,32,200,pure_width,0.928502,"[0.676969, 1.18837]",0.0,"[0.0, 0.015]",0.995,7.104648,"[6.30875, 8.009298]",,,,,,,,
PENGUIN,32,200,pure_depth,2.942578,"[2.52957, 3.398447]",0.0,"[0.0, 0.0]",1.0,9.118724,"[8.430068, 9.876399]",,,,,,,,
PENGUIN,32,200,balanced,0.046456,"[0.005215, 0.143177]",1.0,"[0.864875, 1.0]",0.0,6.222602,"[5.480884, 7.065642]",,,,,,,,
PENGUIN,32,200,historical,0.046456,"[0.005215, 0.143177]",1.0,"[0.864875, 1.0]",0.0,6.222602,"[5.480884, 7.065642]",,,,,,,,
PENGUIN,32,200,fullval,0.033077,"[0.002247, 0.042543]",1.0,"[0.99, 1.0]",0.0,6.209223,"[5.450314, 7.011142]",,,,,,,,
PENGUIN,16,5,UCB,0.580027,"[0.365849, 0.678094]",0.34,"[0.34, 0.735125]",0.355,6.976232,"[6.077383, 7.813182]",0.288182,"[0.0, 2.381733]",0.34,0.34,"[0.299875, 0.525]",0.34,1.476056,0.601175
PENGUIN,16,5,ERM,0.341893,"[0.227575, 0.433788]",0.5,"[0.455, 0.82]",0.225,6.738098,"[5.917068, 7.578339]",0.142016,"[0.0, 2.381733]",0.5,0.5,"[0.405, 0.64]",0.5,1.232252,0.359353
PENGUIN,16,5,pure_width,0.79588,"[0.521671, 1.070366]",0.0,"[0.0, 0.0]",1.0,7.192085,"[6.380902, 8.082187]",,,,,,,,
PENGUIN,16,5,pure_depth,2.333116,"[1.922222, 2.723797]",0.0,"[0.0, 0.0]",1.0,8.729322,"[8.031437, 9.454431]",,,,,,,,
PENGUIN,16,5,balanced,0.279235,"[0.097982, 0.464949]",0.0,"[0.0, 1.0]",0.0,6.67544,"[5.913027, 7.450577]",,,,,,,,
PENGUIN,16,5,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.396206,"[5.630417, 7.209209]",,,,,,,,
PENGUIN,16,5,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.396206,"[5.630417, 7.209209]",,,,,,,,
PENGUIN,16,10,UCB,0.439317,"[0.214249, 0.53452]",0.535,"[0.46, 0.84]",0.255,6.83387,"[5.891288, 7.660982]",0.0,"[0.0, 2.410716]",0.535,0.535,"[0.395, 0.695]",0.535,1.287227,0.453593
PENGUIN,16,10,ERM,0.19286,"[0.124588, 0.282223]",0.675,"[0.564875, 0.915]",0.12,6.587413,"[5.795726, 7.419167]",0.0,"[0.0, 1.394423]",0.675,0.675,"[0.484875, 0.775]",0.675,0.937984,0.20332
PENGUIN,16,10,pure_width,0.795984,"[0.523671, 1.071521]",0.0,"[0.0, 0.0]",1.0,7.190537,"[6.382643, 8.087379]",,,,,,,,
PENGUIN,16,10,pure_depth,2.335561,"[1.924198, 2.725077]",0.0,"[0.0, 0.0]",1.0,8.730114,"[8.03074, 9.458251]",,,,,,,,
PENGUIN,16,10,balanced,0.278802,"[0.098634, 0.466253]",0.0,"[0.0, 1.0]",0.0,6.673356,"[5.909299, 7.450587]",,,,,,,,
PENGUIN,16,10,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.394554,"[5.633875, 7.212866]",,,,,,,,
PENGUIN,16,10,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.394554,"[5.633875, 7.212866]",,,,,,,,
PENGUIN,16,25,UCB,0.157536,"[0.052562, 0.209402]",0.645,"[0.65, 0.965]",0.065,6.557471,"[5.721017, 7.371815]",0.0,"[0.0, 0.880479]",0.645,0.645,"[0.519875, 0.905]",0.645,0.837115,0.166839
PENGUIN,16,25,ERM,0.118128,"[0.038396, 0.121858]",0.73,"[0.72, 0.985]",0.055,6.518063,"[5.701125, 7.301737]",0.0,"[0.0, 0.880434]",0.73,0.73,"[0.59, 0.93]",0.73,0.719742,0.125778
PENGUIN,16,25,pure_width,0.799009,"[0.522446, 1.067671]",0.0,"[0.0, 0.0]",1.0,7.198944,"[6.38184, 8.081465]",,,,,,,,
PENGUIN,16,25,pure_depth,2.334471,"[1.921113, 2.725557]",0.0,"[0.0, 0.0]",1.0,8.734406,"[8.030207, 9.460332]",,,,,,,,
PENGUIN,16,25,balanced,0.283395,"[0.098081, 0.463079]",0.055,"[0.0, 1.0]",0.0,6.68333,"[5.916077, 7.45125]",,,,,,,,
PENGUIN,16,25,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.399935,"[5.628025, 7.202399]",,,,,,,,
PENGUIN,16,25,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.399935,"[5.628025, 7.202399]",,,,,,,,
PENGUIN,16,50,UCB,0.027833,"[0.007227, 0.082725]",0.92,"[0.775, 0.995]",0.0,6.415471,"[5.663155, 7.27815]",0.0,"[0.0, 0.350312]",0.92,0.92,"[0.605, 0.985]",0.92,0.278769,0.029243
PENGUIN,16,50,ERM,0.024448,"[0.004795, 0.063906]",0.94,"[0.82, 1.0]",0.005,6.412086,"[5.65329, 7.252573]",0.0,"[0.0, 0.35288]",0.94,0.94,"[0.675, 0.99]",0.94,0.244178,0.025802
PENGUIN,16,50,pure_width,0.79801,"[0.521237, 1.066954]",0.0,"[0.0, 0.0]",1.0,7.185649,"[6.386489, 8.074298]",,,,,,,,
PENGUIN,16,50,pure_depth,2.330443,"[1.92063, 2.724806]",0.0,"[0.0, 0.0]",1.0,8.718082,"[8.027845, 9.454127]",,,,,,,,
PENGUIN,16,50,balanced,0.271224,"[0.099351, 0.467721]",0.2,"[0.0, 1.0]",0.0,6.658863,"[5.914036, 7.449369]",,,,,,,,
PENGUIN,16,50,historical,0.0,"[0.0, 0.000147]",1.0,"[1.0, 1.0]",0.0,6.387638,"[5.628691, 7.20633]",,,,,,,,
PENGUIN,16,50,fullval,0.0,"[0.0, 0.000147]",1.0,"[1.0, 1.0]",0.0,6.387638,"[5.628691, 7.20633]",,,,,,,,
PENGUIN,16,100,UCB,0.00683,"[0.0, 0.056428]",0.985,"[0.855, 1.0]",0.0,6.399529,"[5.636934, 7.242265]",0.0,"[0.0, 0.0]",0.985,0.985,"[0.69, 1.0]",0.985,0.077883,0.007009
PENGUIN,16,100,ERM,0.00683,"[0.0, 0.046483]",0.985,"[0.89, 1.0]",0.0,6.399529,"[5.629629, 7.23206]",0.0,"[0.0, 0.0]",0.985,0.985,"[0.76, 1.0]",0.985,0.077883,0.007009
PENGUIN,16,100,pure_width,0.79686,"[0.521226, 1.07044]",0.0,"[0.0, 0.0]",1.0,7.189559,"[6.396115, 8.078695]",,,,,,,,
PENGUIN,16,100,pure_depth,2.338257,"[1.924476, 2.723492]",0.0,"[0.0, 0.0]",1.0,8.730956,"[8.034544, 9.461137]",,,,,,,,
PENGUIN,16,100,balanced,0.280593,"[0.099592, 0.465685]",0.2,"[0.0, 0.98]",0.0,6.673292,"[5.920137, 7.438159]",,,,,,,,
PENGUIN,16,100,historical,0.0,"[0.0, 0.00236]",1.0,"[1.0, 1.0]",0.0,6.392699,"[5.624576, 7.214352]",,,,,,,,
PENGUIN,16,100,fullval,0.0,"[0.0, 0.00236]",1.0,"[1.0, 1.0]",0.0,6.392699,"[5.624576, 7.214352]",,,,,,,,
PENGUIN,16,200,UCB,0.001113,"[0.0, 0.059199]",1.0,"[0.9, 1.0]",0.0,6.37168,"[5.641035, 7.22019]",0.0,"[0.0, 0.0]",0.98,1.0,"[0.889875, 1.0]",1.0,-0.0,0.000993
PENGUIN,16,200,ERM,0.001113,"[0.0, 0.041974]",1.0,"[0.934875, 1.0]",0.0,6.37168,"[5.641035, 7.217126]",0.0,"[0.0, 0.0]",0.98,1.0,"[0.945, 1.0]",1.0,-0.0,0.000993
PENGUIN,16,200,pure_width,0.815601,"[0.528664, 1.068687]",0.0,"[0.0, 0.07]",0.97,7.186168,"[6.382489, 8.084303]",,,,,,,,
PENGUIN,16,200,pure_depth,2.323148,"[1.926607, 2.735863]",0.0,"[0.0, 0.0]",1.0,8.693714,"[8.033076, 9.456685]",,,,,,,,
PENGUIN,16,200,balanced,0.289012,"[0.113388, 0.466997]",0.34,"[0.045, 0.84]",0.095,6.659578,"[5.912474, 7.442667]",,,,,,,,
PENGUIN,16,200,historical,0.001113,"[0.0, 0.021293]",1.0,"[0.985, 1.0]",0.0,6.37168,"[5.641035, 7.214158]",,,,,,,,
PENGUIN,16,200,fullval,0.001113,"[0.0, 0.021293]",1.0,"[0.985, 1.0]",0.0,6.37168,"[5.641035, 7.214158]",,,,,,,,
