model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
PENGUIN,32,5,79,2,16,16.069813,26.167396,8.076082,2.006485,False,8.037705,8,4,15.170806,28.663753,6.087666,0.018068,True,6.060188,16,2,6.069598,6.069598,0.887591,2.927289,0.018068,0.018068,0.0
PENGUIN,32,5,80,8,4,7.623569,10.441497,6.22054,0.026839,True,6.187514,8,4,7.623569,10.441497,6.22054,0.026839,True,6.187514,16,2,6.193701,6.193701,0.876966,2.86527,0.026839,0.026839,0.0
PENGUIN,32,5,81,16,2,1.787063,2.675257,6.311622,0.0,True,6.273048,16,2,1.787063,2.675257,6.311622,0.0,True,6.273048,16,2,6.311622,6.311622,0.888442,2.887143,0.002672,0.002672,0.0
PENGUIN,32,5,82,8,4,6.894119,12.667588,6.233382,0.013678,True,6.19982,8,4,6.894119,12.667588,6.233382,0.013678,True,6.19982,16,2,6.219705,6.219705,0.885916,2.933247,0.013678,0.013678,0.0
PENGUIN,32,5,83,4,8,6.34085,10.898348,6.693281,0.463081,False,6.663088,4,8,6.34085,10.898348,6.693281,0.463081,False,6.663088,16,2,6.2302,6.2302,0.895845,2.923468,0.006152,0.006152,0.0
PENGUIN,32,5,84,2,16,9.466387,14.696773,8.19234,2.010197,False,8.149109,4,8,8.526431,14.896446,6.654802,0.472659,False,6.611951,16,2,6.182143,6.182143,0.880773,2.954716,0.020417,0.020417,0.0
PENGUIN,32,5,85,32,1,3.502175,4.899281,7.17732,0.893828,False,7.206946,16,2,3.384831,5.491981,6.283492,0.0,True,6.246092,16,2,6.283492,6.283492,0.893828,2.888741,0.003811,0.003811,0.0
PENGUIN,32,5,86,2,16,13.478969,20.545662,8.121696,1.987491,False,8.073755,16,2,11.864358,21.76597,6.134205,0.0,True,6.095878,16,2,6.134205,6.134205,0.851128,2.914941,0.009087,0.009087,0.0
PENGUIN,32,5,87,32,1,8.272963,13.701643,7.093328,0.912852,False,7.126461,32,1,8.272963,13.701643,7.093328,0.912852,False,7.126461,16,2,6.180476,6.180476,0.912852,2.897681,0.0121,0.0121,0.0
PENGUIN,32,5,88,16,2,4.297875,6.773408,6.267418,0.0,True,6.230689,16,2,4.297875,6.773408,6.267418,0.0,True,6.230689,16,2,6.267418,6.267418,0.874765,2.861382,0.010653,0.010653,0.0
PENGUIN,32,5,89,8,4,5.503044,8.748781,6.257873,0.01772,True,6.223289,8,4,5.503044,8.748781,6.257873,0.01772,True,6.223289,16,2,6.240154,6.240154,0.845868,2.934579,0.01772,0.01772,0.0
PENGUIN,32,5,90,1,32,13.149487,22.047335,9.081554,3.042087,False,9.052089,1,32,13.149487,22.047335,9.081554,3.042087,False,9.052089,16,2,6.039467,6.039467,0.862116,3.042087,0.020279,0.020279,0.0
PENGUIN,32,5,91,4,8,6.986611,12.81387,6.681912,0.47411,False,6.648522,4,8,6.986611,12.81387,6.681912,0.47411,False,6.648522,16,2,6.207802,6.207802,0.886427,2.92615,0.014834,0.014834,0.0
