corpus,task,arm,nfe,metric,subject_macro_mean,ci_lo,ci_hi,pooled_mean,n_units,n_subjects,gen_seconds
mimicbp,ABP,OT-CFM,50,DBP,9.874340900826489,9.212888359877743,10.571627274866765,9.874340900826489,20610,229,1243.407790445257
mimicbp,ABP,OT-CFM,50,SBP,15.932230850286357,15.198448481247414,16.686565765850986,15.93223085028636,20610,229,1243.407790445257
mimicbp,ABP,iMF,1,DBP,21.981817492392963,20.775630625436055,23.21358134805549,21.981817492392963,20610,229,25.036630746908486
mimicbp,ABP,iMF,1,SBP,16.225573400639032,15.429711534563978,17.03962958019836,16.22557340063903,20610,229,25.036630746908486
mimicbp,ABP,iMF,2,DBP,15.213683283832221,14.14068774159009,16.293025388178577,15.213683283832223,20610,229,49.77193093392998
mimicbp,ABP,iMF,2,SBP,14.757299005840657,14.003137944233991,15.501535397723483,14.75729900584066,20610,229,49.77193093392998
mimicbp,ABP,iMF,4,DBP,12.055367824604417,11.13105498204238,12.997616668827959,12.055367824604417,20610,229,99.56248125294223
mimicbp,ABP,iMF,4,SBP,14.858730762598295,14.100591936523273,15.628386970503358,14.858730762598295,20610,229,99.56248125294223
mimicbp,ABP,iMF,50,DBP,10.730698784111427,9.962839129550659,11.526082271400556,10.730698784111427,20610,229,1242.009244065266
mimicbp,ABP,iMF,50,SBP,15.743519031833756,14.935588423105655,16.563443389885176,15.743519031833758,20610,229,1242.009244065266
