arm,nfe,metric,value,ci_lo,ci_hi,diff_vs_I,diff_ci_lo,diff_ci_hi
I,1,HR,10.13931696312187,9.800761981286193,10.486624436719689,,,
I,1,Rpeak_F1,0.674113237142601,0.665690838631219,0.6823495472326963,,,
I,1,RR_MAE_ms,20.823474461700805,20.607882615948412,21.04267496484602,,,
I,1,MAE,0.4033966810403842,0.3990947378739591,0.4078773741255271,,,
I,1,RMSE,0.4925563047917375,0.48837048994323107,0.4967559725868967,,,
I,1,FD_kanflow,4.125403605089922,,,,,
I,1,Micro_F1,0.673343842099928,,,,,
I,1,Macro_F1,0.6720561206374234,,,,,
I,1,ms_per_window,1.1743464884465444,,,,,
I,2,HR,9.406210210115226,9.073298775532347,9.759332670364072,,,
I,2,Rpeak_F1,0.6723020746150773,0.663791019797857,0.680386452318105,,,
I,2,RR_MAE_ms,20.03820899577141,19.83151917281545,20.26250778010609,,,
I,2,MAE,0.41482326917175727,0.4102279439786093,0.4196497159569921,,,
I,2,RMSE,0.5055168179403443,0.501156816666738,0.5098366313361412,,,
I,2,FD_kanflow,3.7951954886139347,,,,,
I,2,Micro_F1,0.6722756372041271,,,,,
I,2,Macro_F1,0.6702850250691844,,,,,
I,2,ms_per_window,2.1138180450021324,,,,,
I,4,HR,8.965389235429555,8.61567137157753,9.328193830233918,,,
I,4,Rpeak_F1,0.6763373294696031,0.6676171534475968,0.6844569922747471,,,
I,4,RR_MAE_ms,19.129952895921946,18.89945527250547,19.36349537436162,,,
I,4,MAE,0.4057688511390692,0.4008441112211174,0.41086914530947466,,,
I,4,RMSE,0.49856590897626896,0.49398912293031766,0.5031647250226229,,,
I,4,FD_kanflow,3.371734369592609,,,,,
I,4,Micro_F1,0.681055269870179,,,,,
I,4,Macro_F1,0.6741394782643824,,,,,
I,4,ms_per_window,2.991719689851536,,,,,
I,1,HR_consensus_K16,6.674682474445718,6.3119700073122145,7.046773715837309,,,
A,1,HR,10.462637003528252,10.12911625230247,10.801013837897388,0.32332004040638107,0.23628389004492048,0.4153012981853671
A,1,Rpeak_F1,0.6462345250043714,0.6380458195740786,0.6539630797224649,-0.027878712138229483,-0.029271585245284087,-0.026457637657749566
A,1,RR_MAE_ms,20.51175190383623,20.294839749119475,20.731577826969204,-0.129578552000829,-0.29043059411970207,0.0316622943460081
A,1,MAE,0.4364855812081688,0.4325770519509097,0.44058232567672684,0.03308890016778462,0.03225560031953105,0.03389941544504929
A,1,RMSE,0.5256676901998456,0.521964535152046,0.5295519804857431,0.033111385408108124,0.03232158901505338,0.03386097961019683
A,1,FD_kanflow,6.087532472023717,,,,,
A,1,Micro_F1,0.643529751122003,,,,,
A,1,Macro_F1,0.6441630159231837,,,,,
A,1,ms_per_window,2.1931292993843927,,,,,
A,2,HR,10.02291111735495,9.689647936066617,10.368696767735493,0.6167009072397245,0.5368451793012765,0.6996459709986961
A,2,Rpeak_F1,0.6412305496022275,0.6330834029784854,0.6489318435558257,-0.031071525012849877,-0.03239027458888247,-0.029721969321422848
A,2,RR_MAE_ms,19.37073093246612,19.10698039604792,19.6239767394459,-0.6177756948828652,-0.7761120871804316,-0.45275789564564206
A,2,MAE,0.43977457574238743,0.43536877966084603,0.4443157790628887,0.024951306570630154,0.02430508210983514,0.02558804178586152
A,2,RMSE,0.5311009055698093,0.5270339616605881,0.5352876997921829,0.025584087629464913,0.02497663998575979,0.02619992659456188
A,2,FD_kanflow,6.183363855965389,,,,,
A,2,Micro_F1,0.6403123405189189,,,,,
A,2,Macro_F1,0.6392197201820132,,,,,
A,2,ms_per_window,3.6299790458723966,,,,,
A,4,HR,9.4446503125711,9.099676029900444,9.819075445895685,0.4693727479842871,0.38616642423336467,0.5595611282290102
A,4,Rpeak_F1,0.6447146768593411,0.6364648963019028,0.6525776585679995,-0.031622652610262085,-0.03300010964506823,-0.030284201493954208
A,4,RR_MAE_ms,18.15816889650662,17.883115662966265,18.44000809854724,-0.9430843995784397,-1.0904951342395235,-0.7809773587036943
A,4,MAE,0.4210700520204614,0.4161909738086861,0.4261421060421098,0.015301200881392142,0.01468087141289258,0.015929707839874255
A,4,RMSE,0.5155904825652773,0.511082649045035,0.5200589628221484,0.01702457358900832,0.01642233597118661,0.017640876254291036
A,4,FD_kanflow,5.193389523417466,,,,,
A,4,Micro_F1,0.6474826101986126,,,,,
A,4,Macro_F1,0.6426809132104733,,,,,
A,4,ms_per_window,6.028381001254421,,,,,
A,1,HR_consensus_K16,6.6279626919384835,6.267726540265736,6.985621656441447,-0.046719782507234776,-0.1149794050376139,0.02089355210466111
B,1,HR,9.369052871348075,9.034848573571985,9.716591915573074,-0.7702640917737957,-0.8781713613208921,-0.6621369072578376
B,1,Rpeak_F1,0.6616856447808307,0.6535330459326091,0.6697043451122818,-0.012427592361770236,-0.01403596222286545,-0.010864286335791444
B,1,RR_MAE_ms,23.197006682631685,22.997818184713534,23.387578732229482,2.5218415916032155,2.345005311663217,2.6929094467922
B,1,MAE,0.40927650050381703,0.40548915526427015,0.41323288635744204,0.005879819463432793,0.004927260302307755,0.006774285589240053
B,1,RMSE,0.4992815946570659,0.49564690100292225,0.503033291231518,0.006725289865328441,0.005838076528270684,0.007599546622415819
B,1,FD_kanflow,8.156938439957628,,,,,
B,1,Micro_F1,0.6579286046474425,,,,,
B,1,Macro_F1,0.6598061662503647,,,,,
B,1,ms_per_window,0.5516469119081125,,,,,
B,2,HR,9.016327805916562,8.676714126292863,9.385709389345173,-0.38897204956578196,-0.4872708437735216,-0.29483800053265374
