nfe,metric,orientation,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,ci_side,n_clusters,n_subjects,rel_an0,rel_k2s
1,qrs_core__a1_abs,lower_better,0.4729506780434155,0.4668542261654499,0.006096451877965592,0.005408672143373059,0.006796031027298004,0.012890248732037878,True,above_zero (S better),12400,2,0.02048372252379413,0.005103050634668054
1,qrs_core__a2_sq,lower_better,0.40431128882718526,0.37596093206963677,0.028350356757548503,0.027548378612375347,0.029150390401374,0.07012012165128112,True,above_zero (S better),12400,2,0.0774029649042438,0.06278452554412438
1,qrs_core__a3_dabs,lower_better,0.2337787283064559,0.2466760054575713,-0.012897277151115388,-0.013069535580091711,-0.012733316280146931,-0.05516873688442944,True,below_zero (S WORSE),12400,2,-0.05627271658791933,-0.05410187818851981
1,qrs_core__a4_amp,lower_better,0.31698762098676736,0.2671097731209553,0.04987784786581201,0.04781085763832011,0.0519994965074406,0.1573495132413837,True,above_zero (S better),12400,2,0.1743682058039696,0.14083721877090388
1,qrs_core__a5_energy,higher_better,0.5432414667880736,0.5181100060679023,-0.025131460720171226,-0.030401821478984414,-0.019924427464921787,-0.046262044149099374,True,below_zero (S WORSE),12400,2,-0.1183031954528885,0.05221623714097605
1,qrs_core__n,higher_better,202.88319076012374,202.88319076012374,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
1,peri_qrs__a1_abs,lower_better,0.3207562341973668,0.3071541724590755,0.013602061738291291,0.01277397242845287,0.014423765881231678,0.04240622718472787,True,above_zero (S better),12400,2,0.07216348026553156,0.009348320580471359
1,peri_qrs__a2_sq,lower_better,0.19348577303079856,0.17099620804569837,0.022489564985100186,0.021631841529571653,0.023370499894896486,0.11623368805271464,True,above_zero (S better),12400,2,0.14754609160031928,0.0827858847290408
1,peri_qrs__a3_dabs,lower_better,0.07415865629571033,0.0902025345941892,-0.016043878298478857,-0.016156015645132162,-0.015926804687428638,-0.21634532096298129,True,below_zero (S WORSE),12400,2,-0.20540630140019017,-0.22805950033566733
1,peri_qrs__a4_amp,lower_better,1.0415502408660684,0.98905903438219,0.05249120648387827,0.049539742149591726,0.055441640266053846,0.05039719105650725,True,above_zero (S better),12400,2,0.04557575192772322,0.05346475599872021
1,peri_qrs__a5_energy,higher_better,1.9913795098758498,1.5459747129504353,-0.44540479692541457,-0.48224079603592057,-0.41156904158809726,-0.2236664556989354,True,below_zero (S WORSE),12400,2,-0.2744199380207906,-0.1831053539144032
1,peri_qrs__n,higher_better,421.00206491143757,421.00206491143757,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
1,background__a1_abs,lower_better,0.32865053073337447,0.32361773159884355,0.005032799134530934,0.004137711148477218,0.005962826554263808,0.015313528091070987,True,above_zero (S better),12400,2,0.025227077387496157,0.004403791215094973
1,background__a2_sq,lower_better,0.2068221047196246,0.18597892563173868,0.02084317908788589,0.019887366183224113,0.02181967282162124,0.10077829502867533,True,above_zero (S better),12400,2,0.10968081728193359,0.09100250195528913
1,background__a3_dabs,lower_better,0.0711217082851234,0.08733312006018254,-0.016211411775059137,-0.01632889690602374,-0.0161009016933681,-0.22793900998649233,True,below_zero (S WORSE),12400,2,-0.21871445665079517,-0.2380825875964881
1,background__a4_amp,lower_better,0.5754655393192147,0.5463237950959993,0.029141744223215405,0.026396781262852234,0.03197022143784098,0.050640294217601,True,above_zero (S better),12400,2,0.06016674845416765,0.043683593365123397
1,background__a5_energy,higher_better,0.8938961239392438,0.7670988074142638,-0.12679731652497991,-0.13806486951060484,-0.11561528074887553,-0.14184793191205075,True,below_zero (S WORSE),12400,2,-0.20107316189385271,-0.042150374949343886
1,background__n,higher_better,400.1147443284387,400.1147443284387,0.0,0.0,0.0,0.0,False,spans_zero,12400,2,0.0,0.0
1,qrs_rmse_core,lower_better,0.6096157324205157,0.5896166237375697,0.019999108682945903,0.01940473475405741,0.020557718450941863,0.03280609016361554,True,above_zero (S better),12400,2,0.036082887947043035,0.029529392552684143
1,qrs_ptp_dev,lower_better,0.49106478301051804,0.4062112475197082,0.0848535354908098,0.0836050177012604,0.08618090557423663,0.17279499248674965,True,above_zero (S better),12400,2,0.1658251303289252,0.1795220400184463
1,qrs_energy_dev,lower_better,0.6174748921859151,0.5766818242036056,0.04079306798230964,0.03465667647996733,0.04709699809483179,0.06606433475845229,True,above_zero (S better),12400,2,0.1288591304446821,-0.023109465248610968
1,qrs_slope_dev,lower_better,0.4564270598115755,0.3845846541110946,0.07184240570048085,0.07051098991754974,0.07321249593957857,0.15740172313652753,True,above_zero (S better),12400,2,0.14590412886201762,0.16872917476281135
1,qrs_deriv_rmse,lower_better,0.33082097769380614,0.339711625741203,-0.008890648047396907,-0.009113792951087767,-0.008683440376080938,-0.026874499039857357,True,below_zero (S WORSE),12400,2,-0.0271789635809278,-0.02657740072437115
1,qrs_maxderiv_dev,lower_better,0.4564270598115755,0.3845846541110946,0.07184240570048085,0.07051098991754974,0.07321249593957857,0.15740172313652753,True,above_zero (S better),12400,2,0.14590412886201762,0.16872917476281135
1,qrs_curvature_err,lower_better,0.2431697630448021,0.2617021855224886,-0.018532422477686515,-0.018762568253820302,-0.018317614104130693,-0.07621187044654085,True,below_zero (S WORSE),12400,2,-0.07724286673028675,-0.07520286851223103
1,n_beats,neutral,9.61168010846178,9.61168010846178,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,F1__err_energy,neutral,0.0255992514031668,0.025853046757364155,-0.00025379535419735625,-0.00032396065388396773,-0.00017758422205483098,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F1__gt_energy,neutral,0.011959168088966245,0.011959168088966245,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,F1__pred_energy,neutral,0.019090786174936078,0.02021860772967629,-0.0011278215547402114,-0.0011933957671965332,-0.0010560710779146155,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F1__ratio_dev,lower_better,1.2247455881781426,1.2901235393130328,-0.06537795113489012,-0.07244092615463814,-0.0582542416127717,-0.05338084232835856,True,below_zero (S WORSE),12400,2,-0.09509194828993014,-0.01632538093357647
1,F2__err_energy,neutral,0.020365807571972726,0.01962196369604946,0.0007438438759232661,0.0007131274261947669,0.0007756754612170196,nan,True,above_zero (S better),12400,2,nan,nan
1,F2__gt_energy,neutral,0.01488605580006791,0.01488605580006791,0.0,0.0,0.0,nan,False,spans_zero,12400,2,nan,nan
1,F2__pred_energy,neutral,0.008721637710158912,0.008778324058775246,-5.6686348616332924e-05,-7.916167422194125e-05,-3.4872128492590815e-05,nan,True,below_zero (S WORSE),12400,2,nan,nan
1,F2__ratio_dev,lower_better,0.4507650625531745,0.44625027067693446,0.004514791876240097,0.002977290425472781,0.006037616099816883,0.01001584251154659,True,above_zero (S better),12400,2,-0.02001341307124385,0.0468927391133265
1,F3__err_energy,neutral,0.023121687925661813,0.024130758337758105,-0.0010090704120962967,-0.001045251692357584,-0.0009747130733686113,nan,True,below_zero (S WORSE),12400,2,nan,nan
