nfe,metric,orientation,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,n_clusters,n_subjects,effect_an0,rel_an0,effect_k2s,rel_k2s
4,qrs_core__a1_abs,lower_better,0.44474750537615837,0.4645535955687926,-0.01980609019263426,-0.02035774739901593,-0.019216269154607377,-0.044533336226096766,True,12400,2,-0.01934343258545369,-0.04286241120174188,-0.02026874779981483,-0.04625416572521885
4,qrs_core__a2_sq,lower_better,0.3617969411219777,0.3734338472052436,-0.011636906083265923,-0.012260278926607585,-0.010982227593950053,-0.03216419145827599,True,12400,2,-0.012093350616295937,-0.033404734246136054,-0.011180461550235908,-0.030922083380847752
4,qrs_core__a3_dabs,lower_better,0.22909833204055752,0.23776864602713327,-0.00867031398657578,-0.00882101590304016,-0.008521379053096198,-0.037845382414398526,True,12400,2,-0.00933655821077118,-0.04129482200341432,-0.00800406976238038,-0.03448520857690828
4,qrs_core__a4_amp,lower_better,0.3225151337993204,0.32766871079911386,-0.0051535769997934884,-0.006983538635050156,-0.003397171751101674,-0.015979333865927016,True,12400,2,-0.0017725529772687262,-0.00577676310426998,-0.00853460102231825,-0.025236234849855082
4,qrs_core__a5_energy,higher_better,0.5336360516064771,0.5246584142743194,-0.00897763733215779,-0.012078635866275805,-0.0059644886196995196,-0.016823521021735934,True,12400,2,-0.031940694295500005,-0.05394006864484174,0.013985419631184427,0.029435516971263915
4,qrs_core__n,higher_better,202.88319076012374,202.88319076012374,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,peri_qrs__a1_abs,lower_better,0.27836611519984755,0.3021356599449604,-0.023769544745112857,-0.024403018746518946,-0.023109175053855534,-0.08538950485423828,True,12400,2,-0.015166339064883221,-0.05182148453323625,-0.03237275042534249,-0.12259287354387799
4,peri_qrs__a2_sq,lower_better,0.14377190888058625,0.16501188689402235,-0.021239978013436092,-0.021807415761604332,-0.02063420836516769,-0.14773385273111703,True,12400,2,-0.012991494424501631,-0.0864980987997797,-0.02948846160237055,-0.21469601878505729
4,peri_qrs__a3_dabs,lower_better,0.0642987226244514,0.08198845300280239,-0.017689730378350997,-0.01779334297403391,-0.01758276150134689,-0.27511791302093414,True,12400,2,-0.01587151031971814,-0.23358860121219943,-0.01950795043698386,-0.32164257556417564
4,peri_qrs__a4_amp,lower_better,0.8123378219734191,0.8196130089968656,-0.007275187023446626,-0.00955566415508099,-0.004961367408818529,-0.00895586396035687,True,12400,2,0.010060656856425222,0.01594390675136492,-0.024611030903318475,-0.024767751287729966
4,peri_qrs__a5_energy,higher_better,1.684080730670522,1.4674225305604416,-0.21665820011008075,-0.2364523017453988,-0.19927987903940042,-0.128650720932967,True,12400,2,-0.23510636656399536,-0.16436568782326225,-0.19821003365616613,-0.10228740637470463
4,peri_qrs__n,higher_better,421.00206491143757,421.00206491143757,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,background__a1_abs,lower_better,0.2908816996193224,0.31774381598216705,-0.026862116362844617,-0.027427999483875892,-0.02624873241749235,-0.09234722018607272,True,12400,2,-0.023501227327244054,-0.07623901310940955,-0.03022300539844518,-0.1105020993065002
4,background__a2_sq,lower_better,0.15380992374939922,0.17779620088191816,-0.023986277132518934,-0.024551274146657105,-0.023399770768734958,-0.15594752632216052,True,12400,2,-0.020715471599004043,-0.12552608569863377,-0.02725708266603382,-0.19115619669025688
4,background__a3_dabs,lower_better,0.062175754439565176,0.08113814680203371,-0.01896239236246853,-0.019048811691661876,-0.01886927752703254,-0.30498049494357127,True,12400,2,-0.017970699981788386,-0.2713051286307628,-0.01995408474314867,-0.34336376472598
4,background__a4_amp,lower_better,0.4759323997202209,0.4640467168684782,0.011885682851742664,0.00924393272980914,0.014511606097807507,0.024973468624388127,True,12400,2,0.03715094269827656,0.08350098629438583,-0.013379576994791231,-0.02639237465593513
4,background__a5_energy,higher_better,0.8192744245597245,0.7606296958572925,-0.058644728702432126,-0.06427430512978005,-0.053045906005559966,-0.0715813004097468,True,12400,2,-0.10497041305441748,-0.10693870177416041,-0.012319044350446767,-0.018751743373417295
4,background__n,higher_better,400.1147443284387,400.1147443284387,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,qrs_rmse_core,lower_better,0.5766500736386044,0.5851982265333933,-0.008548152894788864,-0.00905198730953336,-0.008012833205273627,-0.014823813063702286,True,12400,2,-0.008916376743506739,-0.015459338741453466,-0.008179929046070991,-0.014188038117963533
4,qrs_ptp_dev,lower_better,0.4532310234208772,0.4159948210866008,0.03723620233427637,0.035850567038569224,0.03861040772755528,0.08215722316011514,True,12400,2,0.04525801154902594,0.1001611847337299,0.02921439311952681,0.06426250460044862
4,qrs_energy_dev,lower_better,0.5843195109841395,0.572066477241594,0.012253033742545605,0.008434302493724729,0.016456759483292838,0.020969749447367136,True,12400,2,0.039765039332471094,0.05966665086732717,-0.015258971847379886,-0.0303851198635485
4,qrs_slope_dev,lower_better,0.42538566359064456,0.38175579163941364,0.04362987195123093,0.04222332425686516,0.04505220654984934,0.10256544986249616,True,12400,2,0.051154468262195996,0.12057586821806342,0.03610527564026586,0.08465083216167475
4,qrs_deriv_rmse,lower_better,0.3260397754888974,0.3295278621982374,-0.003488086709339977,-0.003671169043826232,-0.003307307496534847,-0.01069834716978805,True,12400,2,-0.004345753388171402,-0.01346740519593125,-0.002630420030508552,-0.007985663700632297
4,qrs_maxderiv_dev,lower_better,0.42538566359064456,0.38175579163941364,0.04362987195123093,0.04222332425686516,0.04505220654984934,0.10256544986249616,True,12400,2,0.051154468262195996,0.12057586821806342,0.03610527564026586,0.08465083216167475
4,qrs_curvature_err,lower_better,0.22594619331736765,0.24163722388193637,-0.015691030564568744,-0.015856201187640594,-0.015525922630626481,-0.06944587263981405,True,12400,2,-0.01640049956450498,-0.07284519433921911,-0.014981561564632507,-0.06607066842634315
4,n_beats,neutral,9.61168010846178,9.61168010846178,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F1__err_energy,neutral,0.017301858217082737,0.01868642391411978,-0.0013845656970370424,-0.0014408230571321622,-0.0013267592724642335,0.08002410375031352,True,12400,2,0.0020542173045914533,0.10258868363073247,0.0007149140894826315,0.049034235472683554
4,F1__gt_energy,neutral,0.011959168088966245,0.011959168088966245,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
