dataset,model,rmse,mae,pcc,morph_corr,amp_ratio,amp_ratio_median,hf_ratio_pred,hf_ratio_gt,qrs_energy_retention,max_slope_ratio,rpeak_precision,rpeak_recall,rpeak_f1,hr_abs_err,rr_mae_ms,beats_ratio,rmse_qrs,rmse_nonqrs
wildppg,MSE,0.3500113743613721,0.29450790095175833,0.11775877448520153,0.3160492492348912,0.2413968735000978,0.19387780918705758,0.006538171299675096,0.2798842449674964,0.06837209748001999,0.047328700236843234,0.4732711150294974,0.3970672254496893,0.42085713615249476,20.214060300368292,17.344312726739425,0.7117933025689115,0.43519644259248536,0.3401429232221596
wildppg,OT1,0.35458242538430174,0.30069144129681113,0.14064335261284522,0.37932513031358017,0.32145799844690914,0.2508726728970006,0.06456434034038669,0.2798842449674964,0.12415399199005579,0.15237843490063196,0.5196401684371994,0.4600374319584937,0.481116791562724,15.587550388752451,15.113236096270906,0.777607778298744,0.4398344255587498,0.3476700811384556
wildppg,iMF1,0.48519355715759716,0.4140543548893215,0.048510750960855616,0.5511208540375794,1.0394450767722867,0.9969763502553308,0.2202435530675112,0.2798842449674964,1.178298216271861,1.0832707554811902,0.3961149492375497,0.38074240018856376,0.3851953066294742,11.854721169673326,25.73998437374373,0.9279915109937568,0.584673817474332,0.47975611473986374
wildppg,OT50,0.4402715621624593,0.369271707072422,0.06621215332611939,0.6699211441722588,0.9770242078273205,0.9738946493276618,0.2629241873332914,0.2798842449674964,0.776043032641638,0.9599826991669729,0.4432345482063936,0.440693511481119,0.43994307329758187,9.432528846411996,21.248640830980293,0.9755694297065866,0.5472317418447646,0.4245356602532149
dalia_s2,MSE,0.2862141579983765,0.1959256094800914,0.004731206552192902,0.17520669949863169,0.06410976188672274,0.058160335581421925,0.006545638411231051,0.3230336005509061,0.01749461998499254,0.01128961381821818,0.12027637132515182,0.055143073284204445,0.07093879756248456,33.78227500344728,27.62784090909091,0.42733531819873466,0.41263061021186886,0.22809298272273804
dalia_s2,OT1,0.3035346042771626,0.22062219357301258,0.00798565022837265,0.21743569130700627,0.1451546966818137,0.13882749056946322,0.14980710783706208,0.3230336005509061,0.07544370773699083,0.10054796302640714,0.1673739837398374,0.05609290143519548,0.07949050369540933,41.96027640636176,22.56373355263158,0.34257536285820617,0.4252869620877066,0.2532589725343165
dalia_s2,iMF1,0.44262941927513644,0.3660585026217335,0.0027465890952131085,0.5951267536985673,0.8956913680474436,0.8754723117816127,0.25230889185266137,0.3230336005509061,0.6553931386737042,0.9730845224494186,0.14018120632754777,0.1404526145739617,0.13947365951136684,9.581699988908525,31.912835899758456,1.0009304056568664,0.5404032310992516,0.4215598519738207
dalia_s2,OT50,0.4351275649392758,0.3539975967793104,0.0006835816575585213,0.6503153265639183,0.9493581848182346,0.9154376059266237,0.26927094431116694,0.3230336005509061,0.6838058946763619,0.9054991864185613,0.14231408022871436,0.13999311698730257,0.14036863315974094,8.081092729427047,32.000632712026416,0.983717901004838,0.5342423196775357,0.4124485028856904
dalia_s1,MSE,0.32070264583234254,0.2583719866759769,0.016478130010093253,0.1836711108665433,0.03620738535345377,0.03387027503200214,0.005397023972616521,0.1981962830023099,0.014309428805911312,0.007891095433765708,0.089866174466522,0.026056324314468398,0.03677933003691861,30.862795339591635,25.58876811594203,0.2272479068074263,0.4581363956039005,0.26404756754761943
dalia_s1,OT1,0.3471263243686486,0.2818839143513891,-0.00102205668056409,0.16776361307111487,0.20687814210250977,0.1532358618401023,0.10168944330165475,0.1981962830023099,0.11138284497318218,0.13107761525573808,0.12922441493249487,0.05183282571890674,0.06925443843645096,35.22759156306307,31.3720703125,0.3790498725882781,0.4840824881606788,0.29956786676638597
dalia_s1,iMF1,0.44904694925896776,0.372156601277107,0.0008545863719066662,0.5811520536446547,0.7111048579108462,0.7008582442028645,0.3032579044052699,0.1981962830023099,0.3746904975243394,0.9277039551663079,0.12332502664822387,0.12759020402121835,0.12425425042517227,11.960474626793436,31.409904970760234,1.0303967965052785,0.5556665168624086,0.4255466133991514
dalia_s1,OT50,0.44825769000025145,0.352528574499283,-0.0015704660759277916,0.6832125852714189,0.8695308158121491,0.8413375314100157,0.2535848071028535,0.1981962830023099,0.5174229642601775,1.002167513162579,0.12366100932564877,0.1280286404380946,0.12505372342972584,8.15670289799964,33.169996773598825,1.0342191481616307,0.5677802443743868,0.4181094030070391
