dataset,model,lag_median_ms,lag_iqr_ms,abs_lag_mean_ms,frac_at_range_limit,pcc_before,pcc_after,rmse_before,rmse_after,morph_before,morph_after,delta_global_morph,delta_global_pcc
wildppg,MSE,-15.625,164.0625,104.56992257486563,0.13795751215766572,0.11775877448520153,0.22500634800673036,0.3500113743613721,0.3458424055637909,0.3160492492348912,0.37551297599396627,0.059463726759075075,0.10724757352152883
wildppg,OT1,0.0,93.75,84.13784553365754,0.07192219093933964,0.14064335261284522,0.27179934123614086,0.35458242538430174,0.34750759089486877,0.37932513031358017,0.419858119723668,0.040532989410087816,0.13115598862329564
wildppg,iMF1,-7.8125,117.1875,93.03813667775788,0.06577937036089071,0.048510750960855616,0.17034075236481108,0.48519355715759716,0.47110647312628007,0.5511208540375794,0.5767283104824988,0.025607456444919463,0.12183000140395547
wildppg,OT50,0.0,93.75,80.46255119017148,0.03788072690043512,0.06621215332611939,0.21523357526318113,0.4402715621624593,0.42270444031953164,0.6699211441722588,0.6883172301862157,0.018396086013956925,0.14902142193706175
dalia_s2,MSE,7.8125,281.25,138.14786585365854,0.17170731707317075,0.004731206552192902,0.11373360372993546,0.2862141579983765,0.28502117353891115,0.17520669949863169,0.24377121731639836,0.06856451781776668,0.10900239717774256
dalia_s2,OT1,-7.8125,265.625,135.33536585365854,0.09658536585365854,0.00798565022837265,0.11654785883194635,0.3035346042771626,0.30073858670076153,0.21743569130700627,0.27598653192966566,0.05855084062265939,0.1085622086035737
dalia_s2,iMF1,0.0,265.625,134.64939024390245,0.06731707317073171,0.0027465890952131085,0.14420529828490072,0.44262941927513644,0.4257259929681028,0.5951267536985673,0.662644594546855,0.06751784084828771,0.14145870918968761
dalia_s2,OT50,15.625,281.25,138.9253048780488,0.07512195121951219,0.0006835816575585213,0.14660866916793022,0.4351275649392758,0.4163874949304482,0.6503153265639183,0.7319111907097083,0.08159586414579001,0.1459250875103717
dalia_s1,MSE,31.25,281.25,141.86033883579495,0.14943527367506515,0.016478130010093253,0.13585737978625148,0.32070264583234254,0.3201533159548847,0.1836711108665433,0.27909592692441165,0.09542481605786834,0.11937924977615823
dalia_s1,OT1,-39.0625,328.125,155.5373045178106,0.17984361424847958,-0.00102205668056409,0.15174898626003913,0.3471263243686486,0.3391829390864447,0.16776361307111487,0.27731021706330733,0.10954660399219246,0.15277104294060323
dalia_s1,iMF1,-23.4375,289.0625,140.64536272806257,0.0738488271068636,0.0008545863719066662,0.13818595929693275,0.44904694925896776,0.4332530868965198,0.5811520536446547,0.651382292782049,0.07023023913739423,0.1373313729250261
dalia_s1,OT50,-31.25,296.875,145.55278019113814,0.09296264118158123,-0.0015704660759277916,0.16723645678567683,0.44825769000025145,0.4240083722406613,0.6832125852714189,0.7622409174880886,0.07902833221666972,0.16880692286160462
