dataset,model,quantity,mean,ci95_lo,ci95_hi,n,clusters,bootstrap
dalia_s2,iMF1,oracle_beat_corr,0.42228074586731373,0.42228074586731373,0.42228074586731373,9906,1,window(exploratory)
dalia_s2,iMF1,delta_local_corr,0.4201654080607929,0.4201654080607929,0.4201654080607929,9906,1,window(exploratory)
dalia_s2,iMF1,oracle_p2p_ratio,0.6535176080369561,0.6535176080369561,0.6535176080369561,9906,1,window(exploratory)
dalia_s2,iMF1,oracle_slope_ratio,0.6328825713776229,0.6328825713776229,0.6328825713776229,9906,1,window(exploratory)
dalia_s2,iMF1,oracle_absent,0.6340601655562286,0.6340601655562286,0.6340601655562286,9906,1,window(exploratory)
dalia_s2,iMF1,missing_per_gt_beat,0.8595473854260384,0.8595473854260384,0.8595473854260384,1025,1,window(exploratory)
dalia_s2,OT50,global_lag_abs_ms,138.9253048780488,138.9253048780488,138.9253048780488,1025,1,window(exploratory)
dalia_s2,OT50,delta_global_morph,0.061159521033763334,0.061159521033763334,0.061159521033763334,640,1,window(exploratory)
dalia_s2,OT50,oracle_beat_corr,0.4322558518395353,0.4322558518395353,0.4322558518395353,9906,1,window(exploratory)
dalia_s2,OT50,delta_local_corr,0.4321374721876879,0.4321374721876879,0.4321374721876879,9906,1,window(exploratory)
dalia_s2,OT50,oracle_p2p_ratio,0.716223243467041,0.716223243467041,0.716223243467041,9906,1,window(exploratory)
dalia_s2,OT50,oracle_slope_ratio,0.6514443599428379,0.6514443599428379,0.6514443599428379,9906,1,window(exploratory)
dalia_s2,OT50,oracle_absent,0.6263880476478901,0.6263880476478901,0.6263880476478901,9906,1,window(exploratory)
dalia_s2,OT50,missing_per_gt_beat,0.8600068830126973,0.8600068830126973,0.8600068830126973,1025,1,window(exploratory)
dalia_s2,OT1-OT50,paired_delta_oracle_beat_corr,-0.1492240329158684,-0.1492240329158684,-0.1492240329158684,1025,1,window(exploratory)
dalia_s2,MSE-OT50,paired_delta_oracle_beat_corr,-0.18361768873185705,-0.18361768873185705,-0.18361768873185705,1025,1,window(exploratory)
dalia_s2,iMF1-OT50,paired_delta_oracle_beat_corr,-0.011319368396084165,-0.011319368396084165,-0.011319368396084165,1025,1,window(exploratory)
dalia_s2,OT1-MSE,paired_delta_oracle_beat_corr,0.03439365581598869,0.03439365581598869,0.03439365581598869,1025,1,window(exploratory)
dalia_s2,iMF1-OT1,paired_delta_oracle_beat_corr,0.1379046645197842,0.1379046645197842,0.1379046645197842,1025,1,window(exploratory)
dalia_s1,MSE,global_lag_abs_ms,141.86033883579495,141.86033883579495,141.86033883579495,1151,1,window(exploratory)
dalia_s1,MSE,delta_global_morph,0.049471724543012394,0.049471724543012394,0.049471724543012394,94,1,window(exploratory)
dalia_s1,MSE,oracle_beat_corr,0.25133240400606904,0.25133240400606904,0.25133240400606904,10096,1,window(exploratory)
dalia_s1,MSE,delta_local_corr,0.25158426055101213,0.25158426055101213,0.25158426055101213,10096,1,window(exploratory)
dalia_s1,MSE,oracle_p2p_ratio,0.012537664195240161,0.012537664195240161,0.012537664195240161,10096,1,window(exploratory)
dalia_s1,MSE,oracle_slope_ratio,0.0048555239223634855,0.0048555239223634855,0.0048555239223634855,10096,1,window(exploratory)
dalia_s1,MSE,oracle_absent,1.0,1.0,1.0,10096,1,window(exploratory)
dalia_s1,MSE,missing_per_gt_beat,0.9739436756855315,0.9739436756855315,0.9739436756855315,1151,1,window(exploratory)
