B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
256,HF,0.000354,QRS,0,100,-0.040432,-0.041853,-0.041137,-0.040784,train_crossfit
256,HF,0.04035,HF,0,100,-0.035447,-0.036582,-0.036006,0.004344,train_crossfit
256,RESID,0.373931,FULL,0,100,-0.019933,-0.042874,-0.030534,0.343398,train_crossfit
256,RESID,0.059578,QRS,0,100,-0.039036,-0.044263,-0.041374,0.018204,train_crossfit
256,RESID,0.009508,HF,0,100,-0.035406,-0.036762,-0.036069,-0.02656,train_crossfit
512,RAW,0.333603,FULL,0,100,-0.018304,-0.037274,-0.028437,0.305167,train_crossfit
512,RAW,0.051084,QRS,0,100,-0.038744,-0.04253,-0.040632,0.010452,train_crossfit
512,RAW,0.009887,HF,0,100,-0.035421,-0.036464,-0.03593,-0.026042,train_crossfit
512,WHITE,0.010933,FULL,0,100,-0.025244,-0.030765,-0.028184,-0.017251,train_crossfit
512,WHITE,0.004489,QRS,0,100,-0.039539,-0.041612,-0.040687,-0.036197,train_crossfit
512,WHITE,0.00984,HF,0,100,-0.035423,-0.036404,-0.035885,-0.026045,train_crossfit
512,HF,-0.0015,FULL,0,100,-0.024681,-0.031288,-0.028006,-0.029507,train_crossfit
512,HF,-0.000362,QRS,0,100,-0.039706,-0.041415,-0.040585,-0.040946,train_crossfit
512,HF,0.046961,HF,0,100,-0.035303,-0.036529,-0.035933,0.011028,train_crossfit
1,RAW,-0.002011,FULL,1,100,-0.019969,-0.024009,-0.022103,-0.024114,train_crossfit
1,RAW,-0.000439,QRS,1,100,-0.024743,-0.025875,-0.025341,-0.02578,train_crossfit
1,RAW,0.000159,HF,1,100,-0.042363,-0.043372,-0.042873,-0.042715,train_crossfit
1,WHITE,-0.002011,FULL,1,100,-0.019969,-0.024009,-0.022103,-0.024114,train_crossfit
1,WHITE,-0.000439,QRS,1,100,-0.024743,-0.025875,-0.025341,-0.02578,train_crossfit
1,WHITE,0.000159,HF,1,100,-0.042363,-0.043372,-0.042873,-0.042715,train_crossfit
1,HF,-0.002011,FULL,1,100,-0.019969,-0.024009,-0.022103,-0.024114,train_crossfit
1,HF,-0.000439,QRS,1,100,-0.024743,-0.025875,-0.025341,-0.02578,train_crossfit
1,HF,0.000159,HF,1,100,-0.042363,-0.043372,-0.042873,-0.042715,train_crossfit
8,RAW,0.186411,FULL,1,100,-0.013713,-0.026386,-0.01974,0.166671,train_crossfit
8,RAW,0.036638,QRS,1,100,-0.023263,-0.026211,-0.024781,0.011858,train_crossfit
8,RAW,0.000564,HF,1,100,-0.042846,-0.043798,-0.043273,-0.042709,train_crossfit
8,WHITE,0.001206,FULL,1,100,-0.017746,-0.022209,-0.01997,-0.018763,train_crossfit
8,WHITE,0.000438,QRS,1,100,-0.024281,-0.025377,-0.024818,-0.024379,train_crossfit
8,WHITE,0.001221,HF,1,100,-0.042608,-0.043741,-0.043236,-0.042015,train_crossfit
8,HF,-0.000804,FULL,1,100,-0.017692,-0.02194,-0.019937,-0.02074,train_crossfit
8,HF,1.4e-05,QRS,1,100,-0.024193,-0.025429,-0.024831,-0.024817,train_crossfit
8,HF,0.008424,HF,1,100,-0.042665,-0.043739,-0.043231,-0.034807,train_crossfit
32,RAW,0.304649,FULL,1,100,-0.012262,-0.028252,-0.020248,0.284401,train_crossfit
32,RAW,0.059791,QRS,1,100,-0.023144,-0.026139,-0.024673,0.035117,train_crossfit
32,RAW,0.003159,HF,1,100,-0.042352,-0.043607,-0.042913,-0.039754,train_crossfit
32,WHITE,0.00311,FULL,1,100,-0.018057,-0.022635,-0.020404,-0.017294,train_crossfit
32,WHITE,0.001349,QRS,1,100,-0.02409,-0.025243,-0.024664,-0.023315,train_crossfit
32,WHITE,0.0028,HF,1,100,-0.04224,-0.043297,-0.042808,-0.040008,train_crossfit
32,HF,-0.001705,FULL,1,100,-0.018524,-0.022703,-0.020437,-0.022142,train_crossfit
32,HF,-0.000104,QRS,1,100,-0.024286,-0.025222,-0.024716,-0.02482,train_crossfit
32,HF,0.020725,HF,1,100,-0.042234,-0.043543,-0.042846,-0.02212,train_crossfit
64,RAW,0.338913,FULL,1,100,-0.011267,-0.028654,-0.020974,0.317939,train_crossfit
64,RAW,0.066479,QRS,1,100,-0.022491,-0.026055,-0.024326,0.042153,train_crossfit
64,RAW,0.00309,HF,1,100,-0.042408,-0.043381,-0.042891,-0.039801,train_crossfit
64,WHITE,0.007536,FULL,1,100,-0.018552,-0.022576,-0.020729,-0.013194,train_crossfit
64,WHITE,0.003467,QRS,1,100,-0.023836,-0.024886,-0.024358,-0.02089,train_crossfit
64,WHITE,0.003961,HF,1,100,-0.042432,-0.043354,-0.042918,-0.038957,train_crossfit
64,HF,0.001078,FULL,1,100,-0.01838,-0.022788,-0.02075,-0.019672,train_crossfit
64,HF,0.000216,QRS,1,100,-0.023765,-0.024869,-0.024329,-0.024113,train_crossfit
64,HF,0.026895,HF,1,100,-0.042211,-0.043556,-0.042889,-0.015994,train_crossfit
64,RESID,0.371986,FULL,1,100,-0.01028,-0.027953,-0.020609,0.351377,train_crossfit
64,RESID,0.071377,QRS,1,100,-0.022348,-0.025946,-0.024254,0.047123,train_crossfit
64,RESID,0.003677,HF,1,100,-0.042309,-0.043444,-0.04291,-0.039233,train_crossfit
128,RAW,0.361079,FULL,1,100,-0.014131,-0.027486,-0.020527,0.340552,train_crossfit
128,RAW,0.071791,QRS,1,100,-0.023341,-0.026549,-0.024753,0.047037,train_crossfit
128,RAW,0.004502,HF,1,100,-0.041992,-0.043108,-0.04249,-0.037988,train_crossfit
128,WHITE,0.010061,FULL,1,100,-0.018086,-0.022726,-0.020292,-0.010231,train_crossfit
128,WHITE,0.004335,QRS,1,100,-0.024064,-0.025246,-0.02468,-0.020345,train_crossfit
