run,label,scale,checkpoint,epoch,n_windows,delta2_mean,mse_V,u_norm,v_theta_norm,V_norm,dudt_norm,interval_dudt_norm,jvp_norm,residual_norm,grad_norm,grad_max_abs,w_mean,w_median,w_p01,w_p10,w_p25,w_p75,w_p90,w_p99,w_min,w_max,w_std,w_saturation_frac,w_near_lower_frac,loss_before_weighting,loss_after_weighting,target_std,target_mean
outputs/b1v2_vanilla_fixed_dalia_s2_seed42,B1-b1v2_vanilla_fixed_dalia_s2_seed42-best,native (no target transform),checkpoint_best.pt,134,512,169.87876796722412,0.16589723341166973,33.092723965644836,33.2802928686142,33.68233275413513,24.34225344657898,2.5467824563384056,24.34225344657898,12.62454241514206,1.5025641326596846,0.7062678933143616,0.0073394475621171296,0.006760164629667997,0.002485962482751347,0.004351670359028503,0.005507086883881129,0.00881410573492758,0.010821111733093858,0.014683408022392541,0.002232876177004073,0.015330103633459657,0.0029626400137203746,0.0,0.0,169.87876796722412,0.9999266117811203,0.30146974325180054,-0.4122263193130493
outputs/b1v2_vanilla_fixed_dalia_s2_seed42,B1-b1v2_vanilla_fixed_dalia_s2_seed42-final,native (no target transform),checkpoint_final.pt,299,512,205.3407506942749,0.2005280815064907,34.628798723220825,34.601444244384766,35.40833067893982,32.29361951351166,3.694712594151497,32.29361951351166,13.44366604089737,1.4194212999675926,0.5724523067474365,0.007048569299513474,0.006493317399872467,0.0016271363892883528,0.003392276761587709,0.00490937870927155,0.008507167483912781,0.011399907118175179,0.01571775769116357,0.001384753109960002,0.01675465324660763,0.0034380828583380207,0.0,0.0,205.3407506942749,0.9999295212328434,0.30146974325180054,-0.4122263193130493
outputs/b1v2_curriculum_fixed_dalia_s2_seed42,B1-b1v2_curriculum_fixed_dalia_s2_seed42-best,native (no target transform),checkpoint_best.pt,24,512,176.76493453979492,0.17262200638651848,34.148650884628296,34.2365620136261,34.23115277290344,28.331710696220398,2.779974900186062,28.331710696220398,12.897665441036224,1.3876794836759019,0.2673301100730896,0.0069856594782322645,0.006635092111537233,0.0024483717934344895,0.0041143681955873035,0.0052283420955063775,0.0082528555940371,0.010286264878232032,0.01348814822267741,0.002181881238357164,0.01412230619462207,0.002691325804335065,0.0,0.0,176.76493453979492,0.9999301545321941,0.30146974325180054,-0.4122263193130493
outputs/b1v2_curriculum_fixed_dalia_s2_seed42,B1-b1v2_curriculum_fixed_dalia_s2_seed42-final,native (no target transform),checkpoint_final.pt,299,512,188.38741493225098,0.18397208396345377,35.22530698776245,35.15897464752197,35.85463833808899,31.862872838974,3.5104834586381912,31.862872838974,13.163486659526825,2.3425306704120845,1.2640291452407837,0.007074927008943632,0.006475235364632681,0.0019107722255284898,0.003331280982820317,0.005100224749185145,0.008629630814539269,0.011308694462059066,0.015453719184733927,0.0017088955355575308,0.01629306928953156,0.0033319140784442425,0.0,0.0,188.38741493225098,0.9999292604625225,0.30146974325180054,-0.4122263193130493
