model_a,model_b,rmse,mae,pcc,d_amp,d_morph,d_hf,d_spec
R,O1,7.191948890686035,6.072401523590088,0.9402953386306763,0.028542139592649618,0.024787831770022417,0.0025467099782196037,10.518558502197266
R,O50,9.726335525512695,7.7357378005981445,0.866122305393219,0.09968249675488372,0.04500652624476864,0.015415879558762363,39.1956787109375
R,M1,29.570819854736328,24.964073181152344,-0.004761856980621815,0.2524811022059539,0.7888452905873359,0.5280123544736592,323.9230651855469
O1,O50,6.078964710235596,4.591183662414551,0.9268896579742432,0.12822463634753334,0.020218694474746224,0.01286916958054276,31.70986557006836
O1,M1,29.079730987548828,24.729887008666992,-0.04285242408514023,0.2810232417986035,0.7640574588173135,0.5254656444954396,313.96856689453125
O50,M1,29.4293212890625,24.619869232177734,0.017026588320732117,0.15279860545107016,0.7438387643425672,0.5125964749148969,301.18487548828125
