arm,sbp_win_ae,dbp_win_ae,sbp_beat_ae,dbp_beat_ae,morph_corr,pp_ae,pp_ratio,amp_ratio,peak_timing_mae_ms,pulse_interval_mae_ms,pulse_count_ratio,peak_f1,peak_precision,peak_recall,rmse,mae,pcc,slope_ratio,hf_ratio_pr,hf_ratio_gt,rmse_peak,rmse_nonpeak,peak_region_energy_ratio,peak_amp_ae,n_peaks_gt,n_peaks_pr,n_valid_morph,frac_windows_no_pred_peaks,nfe,latency_ms,shuffle_sbpdbp_penalty,shuffle_morph_penalty,sbp_win_ae_shuffled,dbp_win_ae_shuffled,morph_shuffled,sbp_win_ae_shuffled_vs_own_target
O50,15.942210410394349,9.803764656433373,14.972390047431512,9.447354076557632,0.8840941779464332,13.060812806042001,1.0545520920937066,1.062866011717434,36.60521134937179,18.098389737991265,1.018761992806843,0.8833101132912242,0.8788706872274883,0.8909816200272299,16.11882898699942,13.45634697708674,0.7773137883201097,1.2025272555262763,0.037355154145948234,0.042698846728367434,19.013842670712755,12.986458584106645,1.674920457341265,15.93356645531898,11.080058224163027,11.164774381368268,3421,0.0,50,4167.464053956792,0.3664490212519613,0.15536867194468396,16.52975836785773,9.949114741473913,0.7287255060017492,15.989912227980435
O20,14.89360265162661,9.46682626538228,15.075086886254635,9.338361999978144,0.8959370365399771,13.224603089911449,0.9936607687134198,1.0019491462121017,35.45315425594512,13.929448689956331,1.0058784862136665,0.9060029357526062,0.9059035395304271,0.9084400357950946,15.145353535342599,12.884906213876983,0.8180252472622139,1.0866836912847828,0.029898032152501995,0.042698846728367434,17.605286116370987,12.388402220949509,1.3717231431577404,15.705017190382966,11.080058224163027,11.069286754002912,3414,0.0,20,1671.1709299124777,0.3699042035676161,0.16335245343572224,15.436719802789813,9.66351752135431,0.7325845831042549,14.893419379577193
O10,14.797782020624375,9.34464181292005,15.120333118244377,9.356893399500951,0.904107705426673,13.644703481638102,0.960739048199106,0.9725715824783803,34.95254902137281,12.242994905385736,1.0006889280364923,0.9150298629756599,0.9172277846570775,0.9151057466795788,14.825744317192177,12.70896075955298,0.8319563488835222,1.0051734428138424,0.02427938349593805,0.042698846728367434,17.07207056549439,12.247077180204434,1.2357549513878607,15.617754582299282,11.080058224163027,11.026783114992721,3401,0.0,10,836.1056054709479,0.3362727785735151,0.16763903696027327,15.270013121225949,9.544956269465507,0.7364686684663997,14.768273397165268
O4,14.888705937414711,9.389007722724125,15.152058081925349,9.440419802047973,0.9087376384345613,14.042910418447969,0.9379235036028974,0.9539875951743368,34.55066618831926,11.75968886462882,1.0017596825883557,0.9194794357457602,0.9215069226522984,0.919855354503357,14.686274119478472,12.64487014143054,0.8390755683855388,0.9716973200027025,0.0219180359837248,0.042698846728367434,16.786945115426743,12.2255708984586,1.1499452708980402,15.533675937091603,11.080058224163027,11.040174672489083,3392,0.0,4,329.24023852683604,0.2813183613739687,0.17337296254790135,15.296132323419164,9.54421805946761,0.73536467588666,14.838879028053784
O2,14.979035716494097,9.44107949313812,15.200781158935902,9.48699092226431,0.9082423063246953,14.283677408476583,0.9241453254065856,0.9401770180056015,34.69625518194276,12.455649563318778,1.0068176929016193,0.917552452761338,0.9177605344572033,0.9199802788985687,14.64878509783849,12.62897283319476,0.8407051008232643,0.9425875351406257,0.022680208100320492,0.042698846728367434,16.7104453683073,12.210903328197318,1.1103182023052218,15.537302955169409,11.080058224163027,11.092576419213973,3390,0.0,2,169.90556102246046,0.26821456531596866,0.1760930979306614,15.380905611129828,9.575638729134328,0.7321492083940339,14.93400764965074
O1,15.093199786279225,9.506598558939528,15.317205379658217,9.440382271423784,0.9043128724211794,14.334577630388685,0.9180058196090268,0.9346413753699007,35.111914375298184,14.612900291120814,1.017089946516158,0.9131936222550202,0.9096294659014521,0.9199388917327718,14.64498962155249,12.62309311397558,0.8405043620952396,0.9312310524778832,0.024485984565405475,0.042698846728367434,16.706549228226773,12.209769688527137,1.0898349983484812,15.645719598870063,11.080058224163027,11.196215429403201,3385,0.0,1,85.30219364911318,0.26980940306551027,0.1766906020116933,15.50152534362704,9.637891807722733,0.7276222704094861,15.069175644698275
M1,16.281398234582536,21.821691273740633,15.219916311205735,18.447188621976316,0.14025541360386592,14.028276289116695,1.29961210157199,1.2156646171685042,48.080886099835354,323.2600982532751,1.7720905201931039,0.3361090380233828,0.27372513848638336,0.4539921878595838,32.26457697939144,26.780956816083307,-0.005360499852197498,6.126473105580922,0.5499516290608452,0.042698846728367434,40.896319160294844,24.49741568891589,2.1006259201916024,20.29743171391261,11.080058224163027,18.409898107714703,3422,0.0,1,83.54839461389929,0.053986564369701284,0.004224436199400328,16.389580452598338,21.821482184464234,0.1360309774044656,16.160862407656563
M2,14.816254570529278,15.230371641245124,15.33474917571444,13.270464764168862,0.2039751028105039,12.080171844948847,1.1549008939315308,1.123324170105669,47.8606893337974,298.2942139737991,1.6522020587680832,0.33099634381286425,0.2766579041815634,0.4291061665581002,28.8251541892861,23.411614288096864,0.005488450504300173,3.0964571772432725,0.44394292195898305,0.042698846728367434,36.08069480218568,22.184442372995345,1.8139929573305136,19.18659800118269,11.080058224163027,17.172052401746726,3404,0.0,2,169.63151341769844,0.08508445484322369,0.013246769693603222,14.990747472327175,15.226047649133674,0.19072833311690068,14.713713331375233
M4,14.840843600477193,12.107793410966144,14.715316450404982,10.435861523113223,0.24069671688806255,11.997476824298175,1.0813678309375354,1.0509014566218835,47.5471553086669,284.808269650655,1.5944226061451106,0.3343005115363469,0.2835239759264324,0.4241926463244622,26.633674336451456,21.406356957003887,0.01797141515108379,2.2969546136196257,0.4058102412515332,0.042698846728367434,32.38840787990298,21.23550332054127,1.6088044504281214,17.76466349052817,11.080058224163027,16.570014556040757,3405,0.0,4,334.9472173722461,0.11671816563502091,0.023316940336846614,15.081465992934492,12.100607349778887,0.21737977655121593,14.751226711134375
R,14.312431373207502,8.715445421599231,14.045579908612513,8.76118773692213,0.9291007041912018,13.448501906193673,0.9559007564929408,0.9631835149625503,31.04964085536408,7.820460334788938,0.995633453851196,0.9452997607829174,0.9487050937849943,0.9436975177367941,13.095030907529583,11.244689540016251,0.8704555714134875,0.9078339243419129,0.02193927458718587,0.042698846728367434,15.204899095829571,10.602161770790078,1.1327015907613471,14.171550076303228,11.080058224163027,10.970596797671034,3386,0.0,1,83.5424205288291,1.9278098654712306,0.17110574473582096,16.421491278102824,10.46200524764637,0.7579949594553809,14.312431435397619
