arm,nfe,generative_nfe,latency_ms,sbp_win_ae,dbp_win_ae,morph_corr,pp_abs_dev,slope_ratio,rmse,pareto_optimal,dominated_by
O50,50,True,4167.464053956792,15.942210410394349,9.803764656433373,0.8840941779464332,0.054552092093706595,1.2025272555262763,16.11882898699942,False,O20;O10;R
O20,20,True,1671.1709299124777,14.89360265162661,9.46682626538228,0.8959370365399771,0.006339231286580205,1.0866836912847828,15.145353535342599,True,
O10,10,True,836.1056054709479,14.797782020624375,9.34464181292005,0.904107705426673,0.03926095180089395,1.0051734428138424,14.825744317192177,True,
O4,4,True,329.24023852683604,14.888705937414711,9.389007722724125,0.9087376384345613,0.062076496397102554,0.9716973200027025,14.686274119478472,False,R
O2,2,True,169.90556102246046,14.979035716494097,9.44107949313812,0.9082423063246953,0.07585467459341444,0.9425875351406257,14.64878509783849,False,R
O1,1,True,85.30219364911318,15.093199786279225,9.506598558939528,0.9043128724211794,0.08199418039097317,0.9312310524778832,14.64498962155249,False,R
M1,1,True,83.54839461389929,16.281398234582536,21.821691273740633,0.14025541360386592,0.2996121015719899,6.126473105580922,32.26457697939144,False,O1;R
M2,2,True,169.63151341769844,14.816254570529278,15.230371641245124,0.2039751028105039,0.15490089393153084,3.0964571772432725,28.8251541892861,False,R
M4,4,True,334.9472173722461,14.840843600477193,12.107793410966144,0.24069671688806255,0.08136783093753541,2.2969546136196257,26.633674336451456,False,R
R,1,False,83.5424205288291,14.312431373207502,8.715445421599231,0.9291007041912018,0.04409924350705918,0.9078339243419129,13.095030907529583,True,
