round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
82,17876,0.273333,0.726667,1.0,1.0,1.0,1.0,1.0,0,66
83,18094,0.276667,0.723333,1.0,1.0,1.0,1.0,1.0,0,67
84,18312,0.28,0.72,1.0,1.0,1.0,1.0,1.0,0,68
85,18530,0.283333,0.716667,1.0,1.0,1.0,1.0,1.0,0,69
86,18748,0.286667,0.713333,1.0,1.0,1.0,1.0,1.0,0,70
87,18966,0.29,0.71,1.0,1.0,1.0,1.0,1.0,0,71
88,19184,0.293333,0.706667,1.0,1.0,1.0,1.0,1.0,0,72
89,19402,0.296667,0.703333,1.0,1.0,1.0,1.0,1.0,0,73
90,19620,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0,74
91,19838,0.303333,0.696667,1.0,1.0,1.0,1.0,1.0,0,75
92,20056,0.306667,0.693333,1.0,1.0,1.0,1.0,1.0,0,76
93,20274,0.31,0.69,1.0,1.0,1.0,1.0,1.0,0,77
94,20492,0.313333,0.686667,1.0,1.0,1.0,1.0,1.0,0,78
95,20710,0.316667,0.683333,1.0,1.0,1.0,1.0,1.0,0,79
96,20928,0.32,0.68,1.0,1.0,1.0,1.0,1.0,0,80
97,21146,0.323333,0.676667,1.0,1.0,1.0,1.0,1.0,0,81
98,21364,0.326667,0.673333,1.0,1.0,1.0,1.0,1.0,0,82
99,21582,0.33,0.67,1.0,1.0,1.0,1.0,1.0,0,83
100,21800,0.333333,0.666667,1.0,1.0,1.0,1.0,1.0,0,84
101,22018,0.336667,0.663333,1.0,1.0,1.0,1.0,1.0,0,85
102,22236,0.34,0.66,1.0,1.0,1.0,1.0,1.0,0,86
103,22454,0.343333,0.656667,1.0,1.0,1.0,1.0,1.0,0,87
104,22672,0.346667,0.653333,1.0,1.0,1.0,1.0,1.0,0,88
105,22890,0.35,0.65,1.0,1.0,1.0,1.0,1.0,0,89
106,23108,0.353333,0.646667,1.0,1.0,1.0,1.0,1.0,0,90
107,23326,0.356667,0.643333,1.0,1.0,1.0,1.0,1.0,0,91
108,23544,0.36,0.64,1.0,1.0,1.0,1.0,1.0,0,92
109,23762,0.363333,0.636667,1.0,1.0,1.0,1.0,1.0,0,93
110,23980,0.366667,0.633333,1.0,1.0,1.0,1.0,1.0,0,94
111,24198,0.37,0.63,1.0,1.0,1.0,1.0,1.0,0,95
112,24416,0.373333,0.626667,1.0,1.0,1.0,1.0,1.0,0,96
113,24634,0.376667,0.623333,1.0,1.0,1.0,1.0,1.0,0,97
114,24852,0.38,0.62,1.0,1.0,1.0,1.0,1.0,0,98
115,25070,0.383333,0.616667,1.0,1.0,1.0,1.0,1.0,0,99
116,25288,0.386667,0.613333,1.0,1.0,1.0,1.0,1.0,0,100
117,25506,0.39,0.61,1.0,1.0,1.0,1.0,1.0,0,101
118,25724,0.393333,0.606667,1.0,1.0,1.0,1.0,1.0,0,102
119,25942,0.396667,0.603333,1.0,1.0,1.0,1.0,1.0,0,103
120,26160,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0,104
121,26378,0.403333,0.596667,1.0,1.0,1.0,1.0,1.0,0,105
122,26596,0.406667,0.593333,1.0,1.0,1.0,1.0,1.0,0,106
123,26814,0.41,0.59,1.0,1.0,1.0,1.0,1.0,0,107
124,27032,0.413333,0.586667,1.0,1.0,1.0,1.0,1.0,0,108
125,27250,0.416667,0.583333,1.0,1.0,1.0,1.0,1.0,0,109
126,27468,0.42,0.58,1.0,1.0,1.0,1.0,1.0,0,110
127,27686,0.423333,0.576667,1.0,1.0,1.0,1.0,1.0,0,111
128,27904,0.426667,0.573333,1.0,1.0,1.0,1.0,1.0,0,112
129,28122,0.43,0.57,1.0,1.0,1.0,1.0,1.0,0,113
130,28340,0.433333,0.566667,1.0,1.0,1.0,1.0,1.0,0,114
131,28558,0.436667,0.563333,1.0,1.0,1.0,1.0,1.0,0,115
132,28776,0.44,0.56,1.0,1.0,1.0,1.0,1.0,0,116
133,28994,0.443333,0.556667,1.0,1.0,1.0,1.0,1.0,0,117
134,29212,0.446667,0.553333,1.0,1.0,1.0,1.0,1.0,0,118
135,29430,0.45,0.55,1.0,1.0,1.0,1.0,1.0,0,119
136,29648,0.453333,0.546667,1.0,1.0,1.0,1.0,1.0,0,120
137,29866,0.456667,0.543333,1.0,1.0,1.0,1.0,1.0,0,121
138,30084,0.46,0.54,1.0,1.0,1.0,1.0,1.0,0,122
139,30302,0.463333,0.536667,1.0,1.0,1.0,1.0,1.0,0,123
140,30520,0.466667,0.533333,1.0,1.0,1.0,1.0,1.0,0,124
141,30738,0.47,0.53,1.0,1.0,1.0,1.0,1.0,0,125
142,30956,0.473333,0.526667,1.0,1.0,1.0,1.0,1.0,0,126
143,31174,0.476667,0.523333,1.0,1.0,1.0,1.0,1.0,0,127
144,31392,0.48,0.52,1.0,1.0,1.0,1.0,1.0,0,128
145,31610,0.483333,0.516667,1.0,1.0,1.0,1.0,1.0,0,129
146,31828,0.486667,0.513333,1.0,1.0,1.0,1.0,1.0,0,130
147,32046,0.49,0.51,1.0,1.0,1.0,1.0,1.0,0,131
148,32264,0.493333,0.506667,1.0,1.0,1.0,1.0,1.0,0,132
149,32482,0.496667,0.503333,1.0,1.0,1.0,1.0,1.0,0,133
150,32700,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0,134
151,32918,0.503333,0.496667,1.0,1.0,1.0,1.0,1.0,0,135
152,33136,0.506667,0.493333,1.0,1.0,1.0,1.0,1.0,0,136
153,33354,0.51,0.49,1.0,1.0,1.0,1.0,1.0,0,137
154,33572,0.513333,0.486667,1.0,1.0,1.0,1.0,1.0,0,138
155,33790,0.516667,0.483333,1.0,1.0,1.0,1.0,1.0,0,139
156,34008,0.52,0.48,1.0,1.0,1.0,1.0,1.0,0,140
157,34226,0.523333,0.476667,1.0,1.0,1.0,1.0,1.0,0,141
158,34444,0.526667,0.473333,1.0,1.0,1.0,1.0,1.0,0,142
159,34662,0.53,0.47,1.0,1.0,1.0,1.0,1.0,0,143
160,34880,0.533333,0.466667,1.0,1.0,1.0,1.0,1.0,0,144
161,35098,0.536667,0.463333,1.0,1.0,1.0,1.0,1.0,0,145
162,35316,0.54,0.46,1.0,1.0,1.0,1.0,1.0,0,146
163,35534,0.543333,0.456667,1.0,1.0,1.0,1.0,1.0,0,147
164,35752,0.546667,0.453333,1.0,1.0,1.0,1.0,1.0,0,148
165,35970,0.55,0.45,1.0,1.0,1.0,1.0,1.0,0,149
166,36188,0.553333,0.446667,1.0,1.0,1.0,1.0,1.0,0,150
167,36406,0.556667,0.443333,1.0,1.0,1.0,1.0,1.0,0,151
168,36624,0.56,0.44,1.0,1.0,1.0,1.0,1.0,0,152
169,36842,0.563333,0.436667,1.0,1.0,1.0,1.0,1.0,0,153
170,37060,0.566667,0.433333,1.0,1.0,1.0,1.0,1.0,0,154
171,37278,0.57,0.43,1.0,1.0,1.0,1.0,1.0,0,155
172,37496,0.573333,0.426667,1.0,1.0,1.0,1.0,1.0,0,156
173,37714,0.576667,0.423333,1.0,1.0,1.0,1.0,1.0,0,157
