round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
1,218,0.003333,0.996667,1.0,1.0,1.0,1.0,1.0,1,0
2,436,0.006667,0.993333,1.0,1.0,1.0,1.0,1.0,1,0
3,654,0.01,0.99,1.0,1.0,1.0,1.0,1.0,0,1
4,872,0.013333,0.986667,1.0,1.0,1.0,1.0,1.0,0,2
5,1090,0.016667,0.983333,1.0,1.0,1.0,1.0,1.0,1,0
6,1308,0.02,0.98,1.0,1.0,1.0,1.0,1.0,0,1
7,1526,0.023333,0.976667,1.0,1.0,1.0,1.0,1.0,1,0
8,1744,0.026667,0.973333,1.0,1.0,1.0,1.0,1.0,0,1
9,1962,0.03,0.97,1.0,1.0,1.0,1.0,1.0,0,2
10,2180,0.033333,0.966667,1.0,1.0,1.0,1.0,1.0,0,3
11,2398,0.036667,0.963333,1.0,1.0,1.0,1.0,1.0,0,4
12,2616,0.04,0.96,1.0,1.0,1.0,1.0,1.0,0,5
13,2834,0.043333,0.956667,1.0,1.0,1.0,1.0,1.0,1,0
14,3052,0.046667,0.953333,1.0,1.0,1.0,1.0,1.0,0,1
15,3270,0.05,0.95,1.0,1.0,1.0,1.0,1.0,0,2
16,3488,0.053333,0.946667,1.0,1.0,1.0,1.0,1.0,1,0
17,3706,0.056667,0.943333,1.0,1.0,1.0,1.0,1.0,0,1
18,3924,0.06,0.94,1.0,1.0,1.0,1.0,1.0,0,2
19,4142,0.063333,0.936667,1.0,1.0,1.0,1.0,1.0,0,3
20,4360,0.066667,0.933333,1.0,1.0,1.0,1.0,1.0,0,4
21,4578,0.07,0.93,1.0,1.0,1.0,1.0,1.0,0,5
22,4796,0.073333,0.926667,1.0,1.0,1.0,1.0,1.0,0,6
23,5014,0.076667,0.923333,1.0,1.0,1.0,1.0,1.0,0,7
24,5232,0.08,0.92,1.0,1.0,1.0,1.0,1.0,0,8
25,5450,0.083333,0.916667,1.0,1.0,1.0,1.0,1.0,0,9
26,5668,0.086667,0.913333,1.0,1.0,1.0,1.0,1.0,0,10
27,5886,0.09,0.91,1.0,1.0,1.0,1.0,1.0,0,11
28,6104,0.093333,0.906667,1.0,1.0,1.0,1.0,1.0,0,12
29,6322,0.096667,0.903333,1.0,1.0,1.0,1.0,1.0,0,13
30,6540,0.1,0.9,1.0,1.0,1.0,1.0,1.0,0,14
31,6758,0.103333,0.896667,1.0,1.0,1.0,1.0,1.0,0,15
32,6976,0.106667,0.893333,1.0,1.0,1.0,1.0,1.0,0,16
33,7194,0.11,0.89,1.0,1.0,1.0,1.0,1.0,0,17
34,7412,0.113333,0.886667,1.0,1.0,1.0,1.0,1.0,0,18
35,7630,0.116667,0.883333,1.0,1.0,1.0,1.0,1.0,0,19
36,7848,0.12,0.88,1.0,1.0,1.0,1.0,1.0,0,20
37,8066,0.123333,0.876667,1.0,1.0,1.0,1.0,1.0,0,21
38,8284,0.126667,0.873333,1.0,1.0,1.0,1.0,1.0,0,22
39,8502,0.13,0.87,1.0,1.0,1.0,1.0,1.0,0,23
40,8720,0.133333,0.866667,1.0,1.0,1.0,1.0,1.0,0,24
41,8938,0.136667,0.863333,1.0,1.0,1.0,1.0,1.0,0,25
42,9156,0.14,0.86,1.0,1.0,1.0,1.0,1.0,0,26
43,9374,0.143333,0.856667,1.0,1.0,1.0,1.0,1.0,0,27
44,9592,0.146667,0.853333,1.0,1.0,1.0,1.0,1.0,0,28
45,9810,0.15,0.85,1.0,1.0,1.0,1.0,1.0,0,29
46,10028,0.153333,0.846667,1.0,1.0,1.0,1.0,1.0,0,30
47,10246,0.156667,0.843333,1.0,1.0,1.0,1.0,1.0,0,31
48,10464,0.16,0.84,1.0,1.0,1.0,1.0,1.0,0,32
49,10682,0.163333,0.836667,1.0,1.0,1.0,1.0,1.0,0,33
50,10900,0.166667,0.833333,1.0,1.0,1.0,1.0,1.0,0,34
51,11118,0.17,0.83,1.0,1.0,1.0,1.0,1.0,0,35
52,11336,0.173333,0.826667,1.0,1.0,1.0,1.0,1.0,0,36
53,11554,0.176667,0.823333,1.0,1.0,1.0,1.0,1.0,0,37
54,11772,0.18,0.82,1.0,1.0,1.0,1.0,1.0,0,38
55,11990,0.183333,0.816667,1.0,1.0,1.0,1.0,1.0,0,39
56,12208,0.186667,0.813333,1.0,1.0,1.0,1.0,1.0,0,40
57,12426,0.19,0.81,1.0,1.0,1.0,1.0,1.0,0,41
58,12644,0.193333,0.806667,1.0,1.0,1.0,1.0,1.0,0,42
59,12862,0.196667,0.803333,1.0,1.0,1.0,1.0,1.0,0,43
60,13080,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0,44
61,13298,0.203333,0.796667,1.0,1.0,1.0,1.0,1.0,0,45
62,13516,0.206667,0.793333,1.0,1.0,1.0,1.0,1.0,0,46
63,13734,0.21,0.79,1.0,1.0,1.0,1.0,1.0,0,47
64,13952,0.213333,0.786667,1.0,1.0,1.0,1.0,1.0,0,48
65,14170,0.216667,0.783333,1.0,1.0,1.0,1.0,1.0,0,49
66,14388,0.22,0.78,1.0,1.0,1.0,1.0,1.0,0,50
67,14606,0.223333,0.776667,1.0,1.0,1.0,1.0,1.0,0,51
68,14824,0.226667,0.773333,1.0,1.0,1.0,1.0,1.0,0,52
69,15042,0.23,0.77,1.0,1.0,1.0,1.0,1.0,0,53
70,15260,0.233333,0.766667,1.0,1.0,1.0,1.0,1.0,0,54
71,15478,0.236667,0.763333,1.0,1.0,1.0,1.0,1.0,0,55
72,15696,0.24,0.76,1.0,1.0,1.0,1.0,1.0,0,56
73,15914,0.243333,0.756667,1.0,1.0,1.0,1.0,1.0,0,57
74,16132,0.246667,0.753333,1.0,1.0,1.0,1.0,1.0,0,58
75,16350,0.25,0.75,1.0,1.0,1.0,1.0,1.0,0,59
76,16568,0.253333,0.746667,1.0,1.0,1.0,1.0,1.0,0,60
77,16786,0.256667,0.743333,1.0,1.0,1.0,1.0,1.0,0,61
78,17004,0.26,0.74,1.0,1.0,1.0,1.0,1.0,0,62
79,17222,0.263333,0.736667,1.0,1.0,1.0,1.0,1.0,0,63
80,17440,0.266667,0.733333,1.0,1.0,1.0,1.0,1.0,0,64
81,17658,0.27,0.73,1.0,1.0,1.0,1.0,1.0,0,65
