epoch,global_step,schedule_s,beta_mean_train,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,w_mean,w_median,w_p01,w_p10,w_p25,w_p75,w_p90,w_p99,w_min,w_max,w_std,w_saturation_frac,w_near_lower_frac,delta2_mean,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,218,0.996667,1.0,0.9999600111617954,0.31172050163149834,0.7417188001318126,0.5587257601933793,0.003998720492562066,0.00377409542185028,0.0014689173800400842,0.0021318668358608944,0.0028488094981977664,0.004950213381553863,0.006027442932346785,0.0076052270774407005,0.0013749207635789281,0.007889449110985177,0.0016091489915114159,0.0,0.0,319.201794090621,0.25290002150479196,0.25290002150479196,25.713805865481405,0.30586364893683965,0.6719698309898376,0.8038777032065623,0.001,144.35490848310292,144.35490848310292,16903.03173828125,1,0,0,best
1,436,0.993333,1.0,0.9999489791076118,0.2292108624968507,0.7848194174536871,0.4910544234951702,0.005103003178133603,0.004760975957476457,0.001993565072803203,0.0028957185602998957,0.003715763467154679,0.0062060160348789955,0.007636233109023866,0.009867775067046216,0.0018539156447273653,0.010290077118493548,0.002009923926580253,0.0,0.0,234.71192386172234,0.19852418088865534,0.19852418088865534,nan,nan,nan,nan,0.001,143.4318984230049,287.7868069061078,16903.03173828125,1,1,0,best
2,654,0.99,1.0,0.9999440550257307,0.20249042670251033,0.8034047431081807,0.5219501978076926,0.005595685109931873,0.005280802766536149,0.0023027996219152054,0.0033875919852850087,0.004263665284128399,0.00667873018852717,0.00808861423625585,0.010448856904051788,0.0021269355541193398,0.010895839983110375,0.0020296880016808286,0.0,0.0,207.35019785329837,0.20708017876646773,0.20708017876646773,nan,nan,nan,nan,0.001,143.45697400020435,431.24378090631217,16903.03173828125,0,1,1,
3,872,0.986667,1.0,0.9999398051872166,0.1906559079407005,0.8107594098519841,0.508674579202582,0.0060207425507742465,0.0056916716307777605,0.002396245130445646,0.00354662747389355,0.004519924485133192,0.007242021005634868,0.008714653044264047,0.011372715168538581,0.002211980133316343,0.01191137919903075,0.0022373655658757844,0.0,0.0,195.23164994126066,0.20522233021999753,0.20522233021999753,nan,nan,nan,nan,0.001,143.35683656809852,574.6006174744107,16903.03173828125,0,1,2,
4,1090,0.983333,1.0,0.999938181507478,0.18746046345988546,0.8127617859238878,0.5102765944982888,0.006183026980078958,0.005820791934480156,0.002340375579286948,0.003593437536245793,0.004587168891277643,0.007442200006361743,0.009140166624902038,0.011785483212047898,0.0021445809979255552,0.01229827712853909,0.00236740790349175,0.0,0.0,191.95951493289493,0.18598175685190713,0.18598175685190713,20.761598829838377,0.6031007017827861,0.9577716588973999,1.0477255779269201,0.001,143.85087091405876,718.4514883884694,16903.03173828125,1,4,0,best
5,1308,0.98,1.0,0.9999375737041508,0.18626545875444325,0.814329020747351,0.5221852597977044,0.0062437506826218524,0.005835578646596282,0.002394658345953399,0.0035842238367885487,0.004615471173406775,0.007512587590416501,0.009279322511422525,0.012072268732473117,0.00219805031006092,0.012635740519868672,0.0024281255171929032,0.0,0.0,190.73582983454432,0.1955146557864734,0.1955146557864734,nan,nan,nan,nan,0.001,143.2985318240244,861.7500202124938,16903.03173828125,0,4,1,
6,1526,0.976667,1.0,0.9999359140702344,0.1822498240123648,0.8159855959612295,0.5074722471587155,0.006409519499407039,0.00595460196427249,0.002433898394533279,0.0036629049466290605,0.004710482219832206,0.007752328539702939,0.009489678206358003,0.012593841808207265,0.002232999112117937,0.013198329620661402,0.002541362534655224,0.0,0.0,186.62382010363658,0.18411769408314338,0.18411769408314338,nan,nan,nan,nan,0.001,143.6520045318175,1005.4020247443113,16903.03173828125,1,6,0,best
7,1744,0.973333,1.0,0.9999353937599638,0.1822718591386572,0.8174883931054981,0.5111936901550774,0.006461841715371595,0.006039318366941714,0.0023845411351681133,0.0036744566809454367,0.004714899048649219,0.007794659777006151,0.009609596972533186,0.012832336813433591,0.00217125636765492,0.013460836853883272,0.00259738120569745,0.0,0.0,186.64638386297662,0.19339370912980125,0.19339370912980125,nan,nan,nan,nan,0.001,143.52039026585408,1148.9224150101654,16903.03173828125,0,6,1,
8,1962,0.97,1.0,0.9999343804810026,0.18167921036071732,0.8189172714675238,0.508598149506324,0.006562739695046405,0.006094142546826,0.0023225964629892343,0.003612972545510141,0.00477553802914063,0.007928309670581115,0.009855075332404482,0.013260522148136151,0.002104939954099566,0.013944769673339954,0.0027113233296704744,0.0,0.0,186.03951172434955,0.1938335249755469,0.1938335249755469,nan,nan,nan,nan,0.001,143.4032793729566,1292.325694383122,16903.03173828125,0,6,2,
9,2180,0.966667,1.0,0.9999337875788364,0.18039177669160958,0.8199300336728402,0.5098625952634243,0.0066220559384844715,0.006171613700961301,0.00236208037249776,0.003661873622491973,0.004819115889237322,0.007995336741602065,0.009956721540053434,0.013337457672171637,0.002145067478664681,0.013988978101299444,0.00272949735357409,0.0,0.0,184.72117915722208,0.18569643753988357,0.18569643753988357,17.649505134741474,0.6451721186706807,0.9248049855232239,0.9992542878448919,0.001,143.74755862914026,1436.0732530122623,16903.03173828125,0,6,3,
