scale,arm,sbp_win_ae,dbp_win_ae,sbp_beat_ae,dbp_beat_ae,morph_corr,pp_ae,pp_ratio,amp_ratio,peak_timing_mae_ms,pulse_interval_mae_ms,pulse_count_ratio,peak_f1,peak_precision,peak_recall,rmse,mae,pcc,slope_ratio,hf_ratio_pr,hf_ratio_gt,rmse_peak,rmse_nonpeak,peak_region_energy_ratio,peak_amp_ae,nfe,latency_ms,shuffle_sbpdbp_penalty,shuffle_morph_penalty,frac_windows_no_pred_peaks,pred_mean,pred_std
raw,O50,15.942210410394349,9.803764656433373,14.972390047431512,9.447354076557632,0.8840941779464332,13.060812806042001,1.0545520920937066,1.062866011717434,36.60521134937179,18.098389737991265,1.018761992806843,0.8833101132912242,0.8788706872274883,0.8909816200272299,16.11882898699942,13.45634697708674,0.7773137883201097,1.2025272555262763,0.037355154145948234,0.042698846728367434,19.013842670712755,12.986458584106645,1.674920457341265,15.93356645531898,50,4167.464053956792,0.3664490212519613,0.15536867194468396,0.0,77.01873016357422,16.249650955200195
raw,O20,14.89360265162661,9.46682626538228,15.075086886254635,9.338361999978144,0.8959370365399771,13.224603089911449,0.9936607687134198,1.0019491462121017,35.45315425594512,13.929448689956331,1.0058784862136665,0.9060029357526062,0.9059035395304271,0.9084400357950946,15.145353535342599,12.884906213876983,0.8180252472622139,1.0866836912847828,0.029898032152501995,0.042698846728367434,17.605286116370987,12.388402220949509,1.3717231431577404,15.705017190382966,20,1671.1709299124777,0.3699042035676161,0.16335245343572224,0.0,76.81269073486328,15.322770118713379
raw,O10,14.797782020624375,9.34464181292005,15.120333118244377,9.356893399500951,0.904107705426673,13.644703481638102,0.960739048199106,0.9725715824783803,34.95254902137281,12.242994905385736,1.0006889280364923,0.9150298629756599,0.9172277846570775,0.9151057466795788,14.825744317192177,12.70896075955298,0.8319563488835222,1.0051734428138424,0.02427938349593805,0.042698846728367434,17.07207056549439,12.247077180204434,1.2357549513878607,15.617754582299282,10,836.1056054709479,0.3362727785735151,0.16763903696027327,0.0,77.14830017089844,14.873327255249023
raw,O4,14.888705937414711,9.389007722724125,15.152058081925349,9.440419802047973,0.9087376384345613,14.042910418447969,0.9379235036028974,0.9539875951743368,34.55066618831926,11.75968886462882,1.0017596825883557,0.9194794357457602,0.9215069226522984,0.919855354503357,14.686274119478472,12.64487014143054,0.8390755683855388,0.9716973200027025,0.0219180359837248,0.042698846728367434,16.786945115426743,12.2255708984586,1.1499452708980402,15.533675937091603,4,329.24023852683604,0.2813183613739687,0.17337296254790135,0.0,77.49596405029297,14.588005065917969
raw,O2,14.979035716494097,9.44107949313812,15.200781158935902,9.48699092226431,0.9082423063246953,14.283677408476583,0.9241453254065856,0.9401770180056015,34.69625518194276,12.455649563318778,1.0068176929016193,0.917552452761338,0.9177605344572033,0.9199802788985687,14.64878509783849,12.62897283319476,0.8407051008232643,0.9425875351406257,0.022680208100320492,0.042698846728367434,16.7104453683073,12.210903328197318,1.1103182023052218,15.537302955169409,2,169.90556102246046,0.26821456531596866,0.1760930979306614,0.0,77.60821533203125,14.375336647033691
raw,O1,15.093199786279225,9.506598558939528,15.317205379658217,9.440382271423784,0.9043128724211794,14.334577630388685,0.9180058196090268,0.9346413753699007,35.111914375298184,14.612900291120814,1.017089946516158,0.9131936222550202,0.9096294659014521,0.9199388917327718,14.64498962155249,12.62309311397558,0.8405043620952396,0.9312310524778832,0.024485984565405475,0.042698846728367434,16.706549228226773,12.209769688527137,1.0898349983484812,15.645719598870063,1,85.30219364911318,0.26980940306551027,0.1766906020116933,0.0,77.36590576171875,14.288670539855957
raw,M1,16.281398234582536,21.821691273740633,15.219916311205735,18.447188621976316,0.14025541360386592,14.028276289116695,1.29961210157199,1.2156646171685042,48.080886099835354,323.2600982532751,1.7720905201931039,0.3361090380233828,0.27372513848638336,0.4539921878595838,32.26457697939144,26.780956816083307,-0.005360499852197498,6.126473105580922,0.5499516290608452,0.042698846728367434,40.896319160294844,24.49741568891589,2.1006259201916024,20.29743171391261,1,83.54839461389929,0.053986564369701284,0.004224436199400328,0.0,60.81470489501953,18.42513656616211
raw,M2,14.816254570529278,15.230371641245124,15.33474917571444,13.270464764168862,0.2039751028105039,12.080171844948847,1.1549008939315308,1.123324170105669,47.8606893337974,298.2942139737991,1.6522020587680832,0.33099634381286425,0.2766579041815634,0.4291061665581002,28.8251541892861,23.411614288096864,0.005488450504300173,3.0964571772432725,0.44394292195898305,0.042698846728367434,36.08069480218568,22.184442372995345,1.8139929573305136,19.18659800118269,2,169.63151341769844,0.08508445484322369,0.013246769693603222,0.0,66.69046783447266,17.03244972229004
raw,M4,14.840843600477193,12.107793410966144,14.715316450404982,10.435861523113223,0.24069671688806255,11.997476824298175,1.0813678309375354,1.0509014566218835,47.5471553086669,284.808269650655,1.5944226061451106,0.3343005115363469,0.2835239759264324,0.4241926463244622,26.633674336451456,21.406356957003887,0.01797141515108379,2.2969546136196257,0.4058102412515332,0.042698846728367434,32.38840787990298,21.23550332054127,1.6088044504281214,17.76466349052817,4,334.9472173722461,0.11671816563502091,0.023316940336846614,0.0,71.83917999267578,15.940670013427734
raw,R,14.312431373207502,8.715445421599231,14.045579908612513,8.76118773692213,0.9291007041912018,13.448501906193673,0.9559007564929408,0.9631835149625503,31.04964085536408,7.820460334788938,0.995633453851196,0.9452997607829174,0.9487050937849943,0.9436975177367941,13.095030907529583,11.244689540016251,0.8704555714134875,0.9078339243419129,0.02193927458718587,0.042698846728367434,15.204899095829571,10.602161770790078,1.1327015907613471,14.171550076303228,1,83.5424205288291,1.9278098654712306,0.17110574473582096,0.0,77.76717376708984,14.773672103881836
global-z,O50,18.082704664560733,12.303227056755944,17.88820592872473,12.390731760964531,0.9216437107272942,14.660603449082812,1.0263519541487314,1.0121231139877478,35.81162089414532,12.201199752403147,1.0022207881072835,0.9010677584034456,0.9025878516949197,0.9023156522711231,17.792041476220543,15.513422230480366,0.818124346992779,1.1882452456906107,0.03616853930602417,0.042698846728367434,20.437712224255137,14.728801920354973,1.4403307773858807,18.028565169121386,50,4171.974247554317,1.3669593316845834,0.1719930762192925,0.0002911208151382824,77.28295135498047,15.608467102050781
global-z,O20,17.08968340389246,11.613282933020002,16.907277230786097,11.644644417686408,0.9116109465413178,14.156636649830025,1.0709810716454862,1.0172162043041884,36.01343260010606,19.63814592430859,1.0250812704378587,0.8969834650438608,0.8925204109850979,0.9056451874444401,17.01934294381343,14.704526516582595,0.8167147553872485,1.5360018188592846,0.04643967851584308,0.042698846728367434,19.665169323722694,13.985115281983754,1.4492745462235666,17.072454100498906,20,1666.3507488556206,1.4918437263677555,0.18298022903494926,0.0,77.15245819091797,15.687813758850098
global-z,O10,15.795446799554506,11.366799181031695,15.186414635892865,10.833521465096064,0.8865650402329924,12.678499453348884,1.1042999312992934,1.0343202804026819,36.13533064959024,95.92544577874818,1.206181464968821,0.8443203719689629,0.8008406016785724,0.9131553050609197,16.041193541480986,13.679644995068879,0.8123653456204052,2.122277858810231,0.07874747222340957,0.042698846728367434,18.56030567230269,13.247022510720132,1.478555171044199,15.68894302906161,10,837.804781505838,1.5574746088863636,0.29811450990814525,0.0,77.2007827758789,15.94433879852295
global-z,O4,16.16598186243049,15.60503372347858,15.624334445825657,11.177335631968846,0.8249766398437628,12.302644918960949,1.114594090057723,1.1000668218302414,36.0796701474479,299.80781477438137,1.7094258797072905,0.706236549197002,0.5949310047008832,0.9198607436987728,15.690762362556512,13.184339591058235,0.7941301449606659,3.622326484249379,0.16414392062149713,0.042698846728367434,17.768870369385077,13.571076297482376,1.618504290018106,14.760794415412644,4,329.38070746604353,1.380603716987709,0.4882464220288047,0.0,76.7969970703125,16.919633865356445
