epoch,train_mse,val_mse,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.11791238510473208,0.101015105843544,0.101015105843544,48.612684574906645,0.17870265797332924,0.10872761905193329,0.1619718309859155,0.001,71.61587241990492,71.61587241990492,20615.4521484375,1,0,0,best
1,0.116388998079029,0.09144099801778793,0.09144099801778793,41.14044435176571,0.2474466266693815,0.0776258260011673,0.15404929577464788,0.001,71.88699154811911,143.50286396802403,20615.4521484375,1,1,0,best
2,0.11328031159937382,0.10012952238321304,0.10012952238321304,18.02597922581287,0.4402482090396192,0.12701427936553955,0.7007042253521126,0.001,71.94485783483833,215.44772180286236,20615.4521484375,0,1,1,
3,0.11292553581297397,0.09678661823272705,0.09678661823272705,12.504584772055525,0.4584773766026937,0.1254049837589264,0.8221830985915493,0.001,71.92381105595268,287.37153285881504,20615.4521484375,0,1,2,
4,0.11216626952994954,0.09394054859876633,0.09394054859876633,15.318817422802596,0.5079736830795604,0.20611995458602905,0.7359154929577465,0.001,71.92957090795971,359.30110376677476,20615.4521484375,0,1,3,
5,0.1104722126302394,0.09861951321363449,0.09861951321363449,15.19816433765472,0.431678705886983,0.20980598032474518,0.7306338028169014,0.001,71.94642046093941,431.24752422771417,20615.4521484375,0,1,4,
6,0.11108236939392306,0.09211166203022003,0.09211166203022003,19.22028048933277,0.5509993420537672,0.2195548713207245,0.6549295774647887,0.001,71.89199231914245,503.1395165468566,20615.4521484375,0,1,5,
7,0.11063245037062601,0.08848733454942703,0.08848733454942703,10.653772513948882,0.5595441792721711,0.25317904353141785,0.8565140845070423,0.001,71.88167920405976,575.0211957509164,20615.4521484375,1,7,0,best
8,0.11070347973568873,0.08760557323694229,0.08760557323694229,14.77424813379567,0.5948210947149352,0.21374045312404633,0.75,0.001,71.87205683509819,646.8932525860146,20615.4521484375,1,8,0,best
9,0.11025769595395435,0.09022040665149689,0.09022040665149689,10.723079902154076,0.5837581690950023,0.2303386926651001,0.8547535211267606,0.001,71.89555403683335,718.7888066228479,20615.4521484375,0,8,1,
10,0.10904793420975858,0.0866452157497406,0.0866452157497406,16.409872761623102,0.5801581312202265,0.18770980834960938,0.7438380281690141,0.001,71.89248401112854,790.6812906339765,20615.4521484375,1,10,0,best
11,0.10915496599945156,0.08778475224971771,0.08778475224971771,17.501418459519446,0.5544821603938842,0.24517108500003815,0.7139084507042254,0.001,71.97787523106672,862.6591658650432,20615.4521484375,0,10,1,
12,0.10925853011960333,0.08914483338594437,0.08914483338594437,10.466474821529125,0.6085749555371586,0.2605019807815552,0.8609154929577465,0.001,71.89818448596634,934.5573503510095,20615.4521484375,0,10,2,
13,0.10980884493751959,0.08847938477993011,0.08847938477993011,7.793090485820663,0.634419181836675,0.2879866659641266,0.9322183098591549,0.001,71.9314718390815,1006.488822190091,20615.4521484375,0,10,3,
14,0.10715719684958458,0.08642668277025223,0.08642668277025223,10.739212449072987,0.5979225806015444,0.2167360931634903,0.8547535211267606,0.001,71.929414287908,1078.418236477999,20615.4521484375,1,14,0,best
15,0.10835474421354857,0.08796262741088867,0.08796262741088867,9.713939947485253,0.5936973993232647,0.29172611236572266,0.8653169014084507,0.001,71.941547768889,1150.359784246888,20615.4521484375,0,14,1,
16,0.10786091620949181,0.08735453337430954,0.08735453337430954,9.606905137052099,0.5840453902065073,0.2223828136920929,0.8732394366197183,0.001,71.92704612901434,1222.2868303759024,20615.4521484375,0,14,2,
17,0.10812103233554146,0.08872225135564804,0.08872225135564804,8.140711060383094,0.6068560154618541,0.27497637271881104,0.9251760563380281,0.001,72.05813185498118,1294.3449622308835,20615.4521484375,0,14,3,
18,0.10773994766853072,0.09306097030639648,0.09306097030639648,8.465574033248048,0.5741659370772608,0.21801376342773438,0.903169014084507,0.001,71.94572791806422,1366.2906901489478,20615.4521484375,0,14,4,
19,0.10804377232085574,0.09051200747489929,0.09051200747489929,13.3311433506099,0.585901226993035,0.2710039019584656,0.7975352112676056,0.001,71.94590866705403,1438.2365988160018,20615.4521484375,0,14,5,
20,0.10740365140913614,0.09853580594062805,0.09853580594062805,10.884578217716106,0.5783663659727022,0.26866599917411804,0.8688380281690141,0.001,60.5536947560031,1498.7902935720049,20596.6318359375,0,14,6,
21,0.10679628625512123,0.08634532243013382,0.08634532243013382,12.577335361251711,0.5496187007536951,0.2238672524690628,0.7816901408450704,0.001,71.9906429790426,1570.7809365510475,20615.4521484375,0,14,7,
22,0.10682229748503728,0.09613185375928879,0.09613185375928879,10.597856812547857,0.5950135917768826,0.24932633340358734,0.8626760563380281,0.001,72.06220760312863,1642.8431441541761,20615.4521484375,0,14,8,
23,0.10815920291299169,0.08696603775024414,0.08696603775024414,11.87521477534426,0.5797313153925775,0.2379012107849121,0.8125,0.001,72.06243472592905,1714.9055788801052,20615.4521484375,0,14,9,
24,0.10782797353511507,0.09121832251548767,0.09121832251548767,13.425211582434493,0.5484682632828067,0.23296184837818146,0.7887323943661971,0.001,71.98801813693717,1786.8935970170423,20615.4521484375,0,14,10,
25,0.1082525053823536,0.0940629094839096,0.0940629094839096,10.799456535608583,0.5669335986002183,0.2598758935928345,0.8336267605633803,0.001,71.87601647805423,1858.7696134950966,20615.4521484375,0,14,11,
