epoch,train_loss,train_mae_monitor,val_mae_batchmean,val_mae_window,val_cfm_loss,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
0,0.3393109906126152,0.18467543179338627,0.6703579425811768,0.6684153056798204,0.2568434741761949,0.001,142.63526141480543,142.63526141480543,18409.638671875,1,0,0,best
1,0.22065009596672924,0.14312107803469354,0.5570822159449259,0.5556480161496541,0.24176517294512856,0.001,143.39289310597815,286.0281545207836,18409.638671875,1,1,0,best
2,0.20845890167084608,0.13948995379561727,0.3321396807829539,0.3323951623378656,0.20103990907470384,0.001,143.45483587309718,429.48299039388075,18409.638671875,1,2,0,best
3,0.20160334916277364,0.13645006425001405,0.4351720114549001,0.4335620991431117,0.20485342583722538,0.001,143.139303779928,572.6222941738088,18409.638671875,0,2,1,
4,0.19601163471286948,0.1349721927873113,0.3688103887769911,0.36998254066015324,0.198673062854343,0.001,143.12725760997273,715.7495517837815,18409.638671875,0,2,2,
5,0.18961339552294124,0.13361535123126073,0.41774961683485246,0.4173283598045666,0.19246938907437855,0.001,143.26337491418235,859.0129266979638,18409.638671875,0,2,3,
6,0.18994233642112124,0.13119499381970276,0.3653634852833218,0.3659620310330581,0.18669892764753765,0.001,143.22574497084133,1002.2386716688052,18409.638671875,0,2,4,
7,0.1877139222892848,0.13104032454165546,0.3092900622222159,0.3093745748518211,0.18168021655744976,0.001,143.20035866321996,1145.4390303320251,18409.638671875,1,7,0,best
8,0.18335942991755225,0.13120438327843492,0.3263666397995419,0.3260423515245621,0.18753088927931255,0.001,143.00990174384788,1288.448932075873,18409.638671875,0,7,1,
9,0.1829251924699003,0.13149349394847046,0.33947699268658954,0.33853471184282785,0.18790283385250303,0.001,143.05190414912067,1431.5008362249937,18409.638671875,0,7,2,
10,0.18467453731731934,0.12998862158168445,0.2988901005850898,0.2996533602133565,0.18995975289079878,0.001,142.36571750207804,1573.8665537270717,18409.638671875,1,10,0,best
11,0.17863246683369982,0.13008959506723014,0.34875794582896763,0.3490272154331629,0.18434995371434423,0.001,142.564267328009,1716.4308210550807,18409.638671875,0,10,1,
12,0.17810621966015208,0.12804417020895265,0.3095853163136376,0.3102449329420068,0.17652863305475977,0.001,142.33040660410188,1858.7612276591826,18409.638671875,0,10,2,
13,0.17464885264635086,0.1291925685988231,0.3121308816803826,0.3112825491489508,0.18070916417572233,0.001,142.2594125890173,2001.0206402482,18409.638671875,0,10,3,
14,0.17438873492858625,0.1268345249647444,0.35771989987956154,0.3576705841550144,0.17956083806024659,0.001,142.293583184015,2143.314223432215,18409.638671875,0,10,4,
15,0.17630803334442052,0.1272594588385387,0.31178323179483414,0.312160324987113,0.1759126078751352,0.001,142.30220982106403,2285.616433253279,18409.638671875,0,10,5,
16,0.17274742431261322,0.1278000398793004,0.3754546642303467,0.3736998088374589,0.17847156276305517,0.001,142.38643751200289,2428.002870765282,18409.638671875,0,10,6,
17,0.17394121702421794,0.12674657407809387,0.3500237382120556,0.3499150811624569,0.1788244570295016,0.001,142.30969642591663,2570.3125671911985,18409.638671875,0,10,7,
18,0.17394819395108657,0.12722223837944593,0.43387499617205727,0.4321048645505222,0.18161694622702068,0.001,142.30409885803238,2712.616666049231,18409.638671875,0,10,8,
19,0.173416480794549,0.12651412934064865,0.3237655543618732,0.3242292581249611,0.17986571664611498,0.001,142.36517332307994,2854.981839372311,18409.638671875,0,10,9,
20,0.1717441829768094,0.12694343284449794,0.3167192174328698,0.31592781410925586,0.17444398626685143,0.001,142.32302837003954,2997.3048677423503,18409.638671875,0,10,10,early_stop(patience=10)
