subject,n_blocks,SBP_K32_S1,SBP_K16_S2,SBP_K8_S4,SBP_K4_S8,SBP_K2_S16,SBP_K1_S32,SBP_K16_S1,SBP_K8_S2,SBP_K4_S4,SBP_K2_S8,SBP_K1_S16,SBP_K1_S1,SBP_K1_S2,SBP_K1_S4,SBP_K1_S8,SBP_K16_S4,SBP_K16_S8,SBP_heun50,DBP_K32_S1,DBP_K16_S2,DBP_K8_S4,DBP_K4_S8,DBP_K2_S16,DBP_K1_S32,DBP_K16_S1,DBP_K8_S2,DBP_K4_S4,DBP_K2_S8,DBP_K1_S16,DBP_K1_S1,DBP_K1_S2,DBP_K1_S4,DBP_K1_S8,DBP_K16_S4,DBP_K16_S8,DBP_heun50,MAP_K32_S1,MAP_K16_S2,MAP_K8_S4,MAP_K4_S8,MAP_K2_S16,MAP_K1_S32,MAP_K16_S1,MAP_K8_S2,MAP_K4_S4,MAP_K2_S8,MAP_K1_S16,MAP_K1_S1,MAP_K1_S2,MAP_K1_S4,MAP_K1_S8,MAP_K16_S4,MAP_K16_S8,MAP_heun50
1160,105.0,37.347707,37.68823,37.833825,38.253949,38.577239,36.631005,37.327268,37.616115,37.80746,38.092879,38.478907,37.097541,37.456439,37.656256,38.047888,37.907698,38.482664,37.045884,15.469007,15.138377,15.326328,16.033539,17.653582,19.332271,15.490543,15.155132,15.250243,15.999895,17.602484,15.604247,15.160413,15.234493,15.968738,15.311107,16.063154,20.865678,23.170761,23.66096,24.384546,25.573048,27.012272,27.82945,23.156218,23.654829,24.404014,25.449237,26.978772,23.065402,23.565651,24.290128,25.439799,24.394312,25.563289,29.070966
1163,105.0,16.623968,16.406143,16.156897,15.978749,15.905632,17.108116,16.667516,16.380535,16.278211,16.153468,16.074824,16.909466,16.653223,16.476848,16.222319,16.196816,15.886071,17.008077,5.725512,5.835573,5.957549,6.03929,6.504149,7.725474,5.738484,5.8741,5.960108,6.06357,6.633469,6.016128,6.011277,5.978967,6.08168,5.956271,6.000495,8.886194,8.990782,8.818171,8.589317,8.218284,7.845311,7.697225,8.99746,8.83057,8.633945,8.305352,7.869717,9.133046,8.959406,8.725768,8.315827,8.574194,8.147446,7.771557
1166,105.0,23.760283,23.994389,23.983403,24.252698,24.26482,21.948482,23.730053,23.955949,23.983895,24.11234,23.995569,23.555856,23.774882,23.727764,23.931935,24.066628,24.353939,22.050471,4.963323,4.843066,4.888158,5.351011,6.659372,8.45576,4.973238,4.882693,4.960441,5.438779,6.804788,5.31526,5.101555,5.160223,5.559009,4.885919,5.227158,10.014599,8.08185,8.465043,9.049095,10.025426,11.4569,12.277973,8.076531,8.477484,9.033508,10.022315,11.458581,8.133624,8.521639,9.081548,10.036373,9.030892,10.018295,13.49998
1170,105.0,9.986393,10.400301,10.93729,11.727722,12.725664,12.979298,10.061311,10.471102,10.746926,11.652961,13.110436,10.122196,10.451055,10.874447,11.874007,10.901593,11.85136,13.537363,6.398949,6.69841,6.767996,6.427731,5.751699,5.215064,6.406408,6.735094,6.751529,6.460832,5.692567,6.427578,6.659297,6.733387,6.509332,6.749276,6.393853,5.302347,7.020721,6.777383,6.509103,6.115912,5.669819,5.537987,7.018428,6.796241,6.559292,6.158873,5.661683,7.105599,6.872832,6.577155,6.155531,6.483787,6.056443,5.491098
1179,105.0,26.644926,26.95723,27.176772,27.723228,28.384308,26.90462,26.615846,26.955199,27.147787,27.722811,28.417967,26.676726,26.996195,27.163953,27.710574,27.160679,27.751692,27.381275,9.340129,9.133788,9.334543,10.198923,11.792167,13.301043,9.375029,9.158234,9.365917,10.154556,11.799513,9.657995,9.309813,9.392704,10.203334,9.3416,10.192213,14.786602,15.967556,16.428235,17.041902,18.139831,19.66722,20.451547,15.966969,16.400621,17.001597,18.057467,19.695703,15.849262,16.300043,16.949984,18.076988,17.073492,18.202735,21.827258
1224,105.0,30.12371,30.579699,30.836288,31.268051,31.686018,29.88028,30.108802,30.558266,30.72826,31.038718,31.375352,29.791893,30.14678,30.328954,30.771566,30.86199,31.410855,30.399215,10.226355,9.908638,10.040809,10.611119,12.131833,13.984941,10.23493,9.971919,10.058579,10.695856,12.105174,10.385674,10.078309,10.1455,10.666147,10.014951,10.540893,15.345031,16.998723,17.40611,18.119776,19.143287,20.667364,21.684749,16.969617,17.460112,18.084821,19.145955,20.586813,16.949645,17.386414,18.030514,19.087581,18.071878,19.131022,22.884153
1230,105.0,18.150017,18.572487,18.805367,19.396603,19.894545,18.161288,18.149572,18.543753,18.825606,19.466897,19.917522,18.190594,18.643712,18.928119,19.441689,18.818623,19.35297,18.36778,5.788579,5.999656,5.878111,5.191593,3.953214,3.437548,5.780787,5.975324,5.826552,5.133055,3.916065,5.777007,6.019561,5.866414,5.141886,5.889826,5.177974,3.752216,4.703479,4.83122,5.055503,5.559209,6.504229,7.263424,4.710789,4.837754,5.090246,5.567568,6.546008,4.781004,4.909864,5.12309,5.622623,5.047193,5.506136,8.306311
1231,105.0,9.314954,9.166228,9.082589,8.772811,8.318264,9.950615,9.317737,9.191014,9.085894,8.678981,8.42613,9.394057,9.242051,9.110698,8.729746,9.008841,8.546934,9.92568,9.19179,9.353679,9.070286,8.294196,7.105014,6.614933,9.187178,9.379944,9.025144,8.211507,7.109581,9.066969,9.25026,8.91991,8.171162,9.066342,8.286075,6.487474,9.748566,9.301383,8.715446,7.857039,6.904636,6.683577,9.737567,9.303705,8.708464,7.902453,6.977745,9.795113,9.377613,8.795655,7.943502,8.714038,7.864158,6.232734
1244,105.0,8.194772,8.224085,8.25,8.53635,8.915996,8.033603,8.160209,8.182374,8.218383,8.5321,9.046156,8.075982,8.093349,8.181377,8.643165,8.256683,8.543372,8.45794,5.173909,5.374215,5.245403,4.769589,4.023012,4.00921,5.194851,5.367358,5.209125,4.678451,4.181189,5.057496,5.248489,5.150692,4.74909,5.275484,4.735214,4.472831,5.182498,4.973924,4.712922,4.33724,4.167334,4.390913,5.186728,4.989458,4.722276,4.377562,4.239288,5.348396,5.129412,4.842389,4.445071,4.696127,4.325238,4.69868
1255,105.0,9.085718,9.167905,9.239798,9.626953,10.108554,9.800994,9.086025,9.206451,9.40068,9.701075,9.854099,9.168801,9.293243,9.349755,9.552302,9.237276,9.391685,10.184875,8.44639,8.93233,8.785975,7.918413,6.660654,5.800317,8.471155,8.95339,8.766375,7.997817,6.622646,8.549593,9.01198,8.812662,7.993299,8.778467,7.954237,5.508176,8.470803,8.137699,7.644003,7.066773,6.555066,6.392605,8.479443,8.12663,7.639393,7.047765,6.496726,8.519499,8.171129,7.693985,7.038332,7.657811,7.085709,6.495352
1259,105.0,16.849165,16.614414,16.275535,15.604968,15.227269,15.872518,16.869422,16.630633,16.250449,15.831778,15.332388,16.955754,16.683097,16.296615,15.719185,16.228201,15.614858,15.777923,8.445399,8.570714,8.338477,7.862667,7.553461,7.921794,8.504613,8.575542,8.254859,7.748863,7.527908,8.296338,8.392626,8.280608,7.861387,8.366359,7.879931,8.29835,9.670589,9.591302,9.550415,9.556088,9.687084,9.927086,9.681683,9.617824,9.527306,9.578961,9.772931,9.762513,9.690917,9.639477,9.668392,9.529693,9.555883,10.137644
1261,105.0,8.294624,8.228769,8.287502,8.259973,8.420313,9.576892,8.301831,8.286504,8.259195,8.308717,8.665178,8.367,8.335212,8.367709,8.414276,8.279882,8.235321,9.766715,3.99345,3.969989,3.957782,4.05177,4.67476,6.613662,3.97841,3.959176,3.931978,4.014524,4.991407,4.048939,3.975134,3.924997,4.094963,3.966026,4.001298,8.276421,5.1218,4.997737,4.88694,4.952567,5.317828,5.831425,5.114445,4.997959,4.879153,4.921289,5.448954,5.124181,5.006546,4.936194,4.980249,4.891763,4.930199,6.596778
1263,105.0,16.496653,16.0293,15.646428,15.072264,14.225368,16.275099,16.49555,16.032897,15.752673,15.035083,14.68932,16.674273,16.308005,16.004893,15.336415,15.641002,14.929918,15.831459,6.722084,7.032305,6.954114,6.282608,4.866979,4.383584,6.716904,7.025079,6.984376,6.230065,4.993369,6.563209,6.928354,6.941528,6.329511,6.940469,6.252259,4.278217,10.189253,9.697917,9.042352,8.037582,6.692757,5.899905,10.181144,9.722576,9.073712,8.015205,6.68874,10.229302,9.751697,9.070452,8.009414,9.018117,7.984237,5.153928
1264,105.0,13.470516,13.62713,13.731972,14.069499,14.541421,14.602112,13.478343,13.611582,13.714238,14.022696,14.580016,13.378593,13.516303,13.683662,14.039958,13.757337,14.050498,15.064712,8.831376,8.878285,8.801689,8.568926,8.181342,8.148451,8.843111,8.867129,8.812247,8.555997,8.206535,8.717066,8.672323,8.56634,8.445546,8.819246,8.586402,8.140555,10.162467,10.026412,9.867811,9.731509,9.824078,10.202082,10.149851,10.027883,9.921434,9.787166,9.857976,10.200801,10.082469,9.939812,9.768977,9.863252,9.648957,10.40083
1267,105.0,16.269648,16.129426,16.068325,15.915494,15.681746,16.851656,16.253258,16.11313,16.035877,15.843087,16.050386,16.337836,16.229432,16.243385,16.138997,16.055721,15.859052,16.846455,12.330103,12.823456,12.786122,12.008491,10.199932,8.482251,12.379233,12.816449,12.835524,12.038943,10.206931,12.359601,12.838379,12.786181,12.005153,12.795145,12.005641,7.175398,15.483412,15.059802,14.541334,13.645979,12.364814,11.877014,15.476308,15.093397,14.597535,13.677399,12.509899,15.645032,15.235088,14.696238,13.772088,14.509409,13.545574,10.965146
1271,105.0,10.407357,10.372983,10.459148,10.614384,10.653789,10.53155,10.40588,10.440902,10.51804,10.549067,10.613024,10.513641,10.540385,10.540672,10.587136,10.355273,10.489406,10.640494,8.616412,8.902276,8.78587,8.208609,7.358927,7.487383,8.634415,8.892727,8.805824,8.270466,7.438854,8.920397,9.105371,8.88318,8.238887,8.764906,8.173037,7.640657,8.392911,8.205207,7.977975,7.764799,7.584381,7.819637,8.396448,8.224264,8.017106,7.753636,7.624058,8.502924,8.321817,8.087625,7.810465,7.954661,7.667296,7.996803
1274,105.0,12.194374,12.579066,12.901913,13.479314,14.405414,13.930251,12.186855,12.628862,12.878297,13.436295,14.338964,12.12693,12.551543,12.826715,13.443656,12.862606,13.494548,14.630177,5.504506,5.439726,5.492552,5.868119,7.539043,10.247208,5.50867,5.390407,5.514305,5.906876,7.574722,5.749054,5.62615,5.641345,5.967705,5.530775,5.90565,11.911365,6.863602,7.352682,8.101597,9.305875,11.033095,12.459893,6.879724,7.35887,8.060391,9.242672,10.972873,6.800411,7.274804,7.998687,9.210209,8.088703,9.343223,13.80517
1288,105.0,12.253801,12.289086,12.287668,12.334135,12.215245,13.045736,12.280228,12.289642,12.340615,12.360455,12.347896,12.244311,12.321006,12.372137,12.397158,12.340669,12.311315,12.992566,10.477541,10.504836,10.319124,9.915637,9.60571,9.706228,10.453269,10.478421,10.272068,9.983148,9.630341,10.330061,10.315816,10.192705,9.964294,10.351266,9.934436,9.646473,11.986257,11.907396,11.780157,11.672717,11.616524,11.755428,11.990114,11.89254,11.803359,11.682618,11.60547,12.043766,11.952587,11.832277,11.674408,11.796696,11.679605,11.765934
1293,105.0,9.075558,8.686157,8.498403,8.335423,8.365649,9.074077,9.066909,8.689344,8.59027,8.498654,8.438633,9.273939,8.921066,8.657567,8.455866,8.464853,8.165206,9.131834,15.291766,15.744059,15.838163,15.193926,13.454813,11.568943,15.296751,15.768674,15.766855,15.213425,13.481567,15.289244,15.793888,15.863638,15.256618,15.827508,15.20415,9.928474,18.10728,17.584751,16.866733,15.715436,14.067787,12.921184,18.104856,17.600637,16.928651,15.754516,14.020954,18.198826,17.678843,16.946696,15.72372,16.853434,15.63218,11.604546
1305,105.0,20.599206,20.805606,20.905173,21.128862,21.279882,19.843932,20.597556,20.799281,20.915339,21.171725,20.859597,20.602841,20.816499,20.826645,20.868777,20.908479,21.066263,19.889708,6.184571,6.149437,6.094293,6.245239,6.98675,8.111004,6.197571,6.121028,6.09728,6.211017,6.977487,6.36328,6.272017,6.185615,6.2254,6.130172,6.319665,8.947342,10.987858,11.193286,11.462035,11.96373,12.85568,13.422852,10.98898,11.185967,11.440989,11.979505,12.788499,10.920411,11.122534,11.399311,11.931318,11.473136,11.998931,14.159668
1311,105.0,8.701172,8.772296,8.839704,8.948714,9.057232,9.629608,8.676816,8.805168,8.838521,8.830855,9.667015,8.705095,8.817365,8.914029,9.194797,8.84286,8.976484,9.952499,7.083011,6.768324,7.053261,8.090432,10.036508,12.044045,7.053103,6.811646,7.057775,8.065075,10.14903,7.200629,6.866513,7.064174,8.114342,7.015937,8.040111,13.889534,4.844144,5.236264,5.871385,6.99235,8.445768,9.129925,4.833878,5.269032,5.910292,6.893264,8.511427,4.827959,5.240205,5.840985,6.924658,5.830417,6.914224,10.463542
1314,105.0,10.195191,10.341367,10.542431,10.711331,11.26129,11.383928,10.187808,10.359016,10.489411,10.800728,11.562595,10.211691,10.366118,10.539423,10.977981,10.498493,10.769364,11.780781,12.875309,13.244633,13.049415,12.203971,10.428484,8.405753,12.890153,13.255399,13.037572,12.225503,10.536033,12.851993,13.138748,13.029188,12.367556,13.020284,12.177534,7.056893,9.011529,8.6666,8.192719,7.426237,6.453531,5.916981,9.012171,8.683421,8.188884,7.447766,6.58642,9.150749,8.809014,8.321901,7.570111,8.172104,7.395281,5.298598
1316,105.0,13.40963,13.471822,13.669805,14.142199,14.73175,14.718941,13.38596,13.486348,13.732556,14.164641,14.468201,13.488557,13.578498,13.726886,13.972126,13.665441,14.107631,14.922747,13.845995,14.215648,14.079023,13.256615,11.424005,9.876955,13.884116,14.167709,14.036473,13.156226,11.306501,13.701043,14.015926,13.846418,13.024479,14.094538,13.280319,8.909038,13.858381,13.51636,13.077641,12.306377,11.259534,10.705359,13.861014,13.553409,13.069425,12.281884,11.288441,13.899448,13.554498,13.089222,12.32409,13.044148,12.275826,9.940724
1349,105.0,12.181512,12.504322,12.744118,13.203331,13.641861,12.426966,12.196435,12.506249,12.737,13.087899,13.825553,12.202156,12.48351,12.724606,13.21642,12.761203,13.265384,12.836874,7.386163,7.53267,7.242925,6.318182,4.943339,5.057783,7.360855,7.526099,7.204706,6.204162,5.198463,7.24598,7.368797,7.070666,6.282917,7.236497,6.358333,5.35368,5.802371,5.631339,5.517639,5.533253,5.710734,6.336052,5.796081,5.652422,5.507956,5.457316,5.863582,5.773415,5.624191,5.502804,5.547969,5.481563,5.550388,7.156928
1355,105.0,14.607096,14.761425,14.963708,15.404029,15.961906,15.675337,14.571273,14.731064,14.905122,15.304759,16.086327,14.524756,14.657301,14.783688,15.297093,15.006858,15.457907,16.15094,5.484002,5.54227,5.457869,5.31862,5.421328,5.810994,5.445935,5.531673,5.46005,5.327411,5.324206,5.504995,5.597341,5.52607,5.292565,5.457942,5.315948,6.752435,8.724052,8.743255,8.755954,9.016252,9.800056,10.338741,8.722885,8.720326,8.769815,9.016499,9.71342,8.641932,8.66386,8.703437,8.955904,8.785405,9.024932,11.406695
