epoch,train_loss_weighted,train_mse,train_u_abs,train_dudt_abs,val_imf_mse_fixed,selection_metric,diag_hr_abs_err,diag_morph_corr,diag_amp_ratio,diag_beats_ratio,lr,epoch_time_s,elapsed_s,peak_mem_MiB,is_best,best_epoch,no_improve,event
26,0.9999993937936696,159.88459909612482,76.18278638666327,13.40301802591844,124.293396028698,124.293396028698,nan,nan,nan,nan,0.001,191.52153925714083,4818.8047448806465,17696.09716796875,0,25,1,
27,0.9999993707646023,182.17331650473855,76.03514808307995,14.055704493956132,129.66924421848395,129.66924421848395,nan,nan,nan,nan,0.001,191.47755314712413,5010.282298027771,17696.09716796875,0,25,2,
28,0.9999993616884405,146.9286893671209,76.3487702109597,14.878980723294346,125.00448206496714,125.00448206496714,nan,nan,nan,nan,0.001,191.30636859312654,5201.588666620897,17696.09716796875,0,25,3,
29,0.9999993698163466,137.62468988245183,76.69641394181686,16.991444750265643,121.36540962067085,121.36540962067085,nan,nan,nan,nan,0.001,191.371274078032,5392.959940698929,17696.09716796875,1,29,0,best
30,0.9999993385239081,132.05761730887673,76.61103829470548,15.5072372935035,122.13708142772359,122.13708142772359,nan,nan,nan,nan,0.001,191.39792590099387,5584.357866599923,17696.09716796875,0,29,1,
31,0.9999994009124988,156.13156073434013,73.83299543419663,16.66323538215793,137.53869735196105,137.53869735196105,nan,nan,nan,nan,0.001,74.09129903884605,5658.449165638769,17589.53466796875,0,29,2,
32,0.999999330396002,145.67938776016234,76.23665466308594,14.075903534889221,133.25980146630877,133.25980146630877,nan,nan,nan,nan,0.001,191.3300714129582,5849.779237051727,17696.09716796875,0,29,3,
33,0.9999993415041404,145.87155921242453,76.34361437017267,14.86835827177221,144.39660324574874,144.39660324574874,nan,nan,nan,nan,0.001,191.70962617592886,6041.488863227656,17696.09716796875,0,29,4,
34,0.9999993722547185,136.46665178645742,76.58869790163907,15.834793871099299,128.98705042325534,128.98705042325534,nan,nan,nan,nan,0.001,191.60236386908218,6233.091227096738,17696.09716796875,0,29,5,
35,0.9999993546442552,136.84642191800205,76.37907340309836,13.37992441220717,122.21139284661012,122.21139284661012,nan,nan,nan,nan,0.001,191.25028934096918,6424.3415164377075,17696.09716796875,0,29,6,
36,0.9999993467872793,154.31041950746015,76.51827007640492,14.317664523558182,184.16620658809305,184.16620658809305,nan,nan,nan,nan,0.001,191.4035715078935,6615.745087945601,17696.09716796875,0,29,7,
37,0.9999993688680909,161.1573263688521,76.43986074274237,15.691708419539712,138.59852633571353,138.59852633571353,nan,nan,nan,nan,0.001,191.1775136529468,6806.922601598548,17696.09716796875,0,29,8,
38,0.9999993488192558,132.73889337886465,76.49628635753285,14.402247484163805,121.32106938049664,121.32106938049664,nan,nan,nan,nan,0.001,191.08913807198405,6998.011739670532,17696.09716796875,1,38,0,best
39,0.9999992129754046,146.58669257650573,77.18271925011459,16.394446937405334,174.01409828642494,174.01409828642494,nan,nan,nan,nan,0.001,73.90243151620962,7071.914171186741,17589.53466796875,0,38,1,
40,0.9999993671070445,148.23920285485008,76.30160111514004,12.508867195519533,122.21630969794728,122.21630969794728,nan,nan,nan,nan,0.001,190.94384301407263,7262.858014200814,17696.09716796875,0,38,2,
41,0.999999331750653,137.7983686620539,76.22304234938188,14.110135117444125,116.40832734827981,116.40832734827981,nan,nan,nan,nan,0.001,191.21511601400562,7454.07313021482,17696.09716796875,1,41,0,best
42,0.9999993098053065,129.02617993788286,76.59795747236772,13.016079843044281,132.06430505823207,132.06430505823207,nan,nan,nan,nan,0.001,191.17406884697266,7645.247199061792,17696.09716796875,0,41,1,
43,0.9999992988326333,136.75506030862982,76.34255268790506,14.803659126975319,139.8964144540988,139.8964144540988,nan,nan,nan,nan,0.001,190.79246826004237,7836.039667321835,17696.09716796875,0,41,2,
44,0.9999993336471644,288.92297259244054,76.2842662117698,14.118773679299789,116.970784643233,116.970784643233,nan,nan,nan,nan,0.001,190.8756047768984,8026.915272098733,17696.09716796875,0,41,3,
45,0.999999285150658,127.56831136183305,76.42972415577282,14.063397539745678,152.21888944185696,152.21888944185696,nan,nan,nan,nan,0.001,191.33651934214868,8218.251791440882,17696.09716796875,0,41,4,
46,0.9999993522058833,133.6212790662592,76.43293913060968,12.815018080581318,116.85772087227585,116.85772087227585,nan,nan,nan,nan,0.001,191.07580156321637,8409.327593004098,17696.09716796875,0,41,5,
47,0.9999992002029808,109.50307643656826,76.88700851129026,15.900761302636594,115.56215685548267,115.56215685548267,nan,nan,nan,nan,0.001,74.02664118492976,8483.354234189028,17589.53466796875,1,47,0,best
48,0.9999993130564689,127.3764755335721,77.08151978579434,14.450079588456587,143.8720613441576,143.8720613441576,nan,nan,nan,nan,0.001,190.91008380590938,8674.264317994937,17696.09716796875,0,47,1,
49,0.9999993737448346,139.28599912470037,76.40238347487016,13.693125925280832,112.48838011043364,112.48838011043364,nan,nan,nan,nan,0.001,190.86144776199944,8865.125765756937,17696.09716796875,1,49,0,best
50,0.9999993363564664,132.32793496738782,76.23644287802956,13.068493814901872,114.08719404280356,114.08719404280356,nan,nan,nan,nan,0.001,191.41262135002762,9056.538387106964,17696.09716796875,0,49,1,
51,0.9999993014064702,133.13413707559758,76.20302966724742,14.65632350878282,127.06852844977311,127.06852844977311,nan,nan,nan,nan,0.001,191.3344686771743,9247.872855784139,17696.09716796875,0,49,2,
52,0.9999993079087951,128.6131060600281,76.25737152099609,12.753933696313338,122.64745575994507,122.64745575994507,nan,nan,nan,nan,0.001,190.9942035030108,9438.86705928715,17696.09716796875,0,49,3,
53,0.999999306418679,126.46055322126908,76.59990626248447,14.546969671682877,121.89137368704858,121.89137368704858,nan,nan,nan,nan,0.001,191.0499696470797,9629.91702893423,17696.09716796875,0,49,4,
54,0.9999992833896116,127.99021308205344,76.14736919403076,12.767771026221189,114.09991802748112,114.09991802748112,nan,nan,nan,nan,0.001,190.89527274295688,9820.812301677186,17696.09716796875,0,49,5,
55,0.9999992853524733,109.75323065932915,76.33986142216897,13.952950282972685,114.51590619318166,114.51590619318166,nan,nan,nan,nan,0.001,74.00845223595388,9894.82075391314,17589.53466796875,0,49,6,
56,0.9999992641535672,131.117742729187,76.4166972767223,14.253121053088796,112.9028283676191,112.9028283676191,nan,nan,nan,nan,0.001,191.10892245615833,10085.929676369298,17696.09716796875,0,49,7,
57,0.9999993060122837,131.3192801475525,76.60244371240789,15.412199141762473,129.98165902031792,129.98165902031792,nan,nan,nan,nan,0.001,191.3867943759542,10277.316470745252,17696.09716796875,0,49,8,
58,0.9999992797320539,131.03578682812778,76.30573083704168,14.220264250581915,121.32582439737781,121.32582439737781,nan,nan,nan,nan,0.001,190.9952265569009,10468.311697302153,17696.09716796875,0,49,9,
59,0.9999992863698439,134.83677618720316,76.19645437760786,13.782728841088035,125.81560803709546,125.81560803709546,nan,nan,nan,nan,0.001,191.07976816804148,10659.391465470195,17696.09716796875,0,49,10,
60,0.9999992529099638,125.86867589950562,76.0558612650091,15.542264147238297,114.41889589206446,114.41889589206446,nan,nan,nan,nan,0.001,191.07262507104315,10850.464090541238,17696.09716796875,0,49,11,
61,0.9999992702494968,122.97789819890802,76.20631953152743,15.498387419093739,153.2201880213202,153.2201880213202,nan,nan,nan,nan,0.001,190.98459085007198,11041.44868139131,17696.09716796875,0,49,12,
62,0.9999992602250792,125.04298188469626,76.46939050501044,15.653548310019753,114.0482892289121,114.0482892289121,nan,nan,nan,nan,0.001,190.9567052400671,11232.405386631377,17696.09716796875,0,49,13,
63,0.9999992458187804,122.84444143334213,78.60691701149453,22.225919781898966,118.1020182324271,118.1020182324271,nan,nan,nan,nan,0.001,73.94121119799092,11306.346597829368,17589.53466796875,0,49,14,
64,0.9999993194233288,152.51073898835617,76.64658281152899,17.181456966833636,124.25656090760842,124.25656090760842,nan,nan,nan,nan,0.001,191.1782783169765,11497.524876146344,17696.09716796875,0,49,15,
65,0.9999992480332202,127.69977127421986,76.57138888619163,15.832862010869112,114.68273949691033,114.68273949691033,nan,nan,nan,nan,0.001,190.7787511688657,11688.30362731521,17696.09716796875,0,49,16,
66,0.9999992688948458,138.4397871797735,76.14127039475875,17.51738033511422,137.7090167944927,137.7090167944927,nan,nan,nan,nan,0.001,190.95522706699558,11879.258854382206,17696.09716796875,0,49,17,
67,0.9999992657791484,132.12971756675026,76.69158524599942,17.243634113398464,165.23813356796222,165.23813356796222,nan,nan,nan,nan,0.001,191.03169466997497,12070.29054905218,17696.09716796875,0,49,18,
68,0.9999992921948433,149.96791108738293,76.50430292649703,16.868443380702626,121.1317048858034,121.1317048858034,nan,nan,nan,nan,0.001,190.93211358296685,12261.222662635148,17696.09716796875,0,49,19,
69,0.999999235976826,136.85509967803955,76.12793247916481,15.454730348153548,112.94468966644374,112.94468966644374,nan,nan,nan,nan,0.001,190.86036956007592,12452.083032195223,17696.09716796875,0,49,20,early_stop(patience=20)
